dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.370547,10.771753,0.000653,0.065252,3.262589,163.129440,0.038377
0.020000,5.370844,10.771764,0.000950,0.014869,-2.519132,-289.086028,0.038077
0.020000,5.371439,10.771787,0.001545,0.029747,0.743887,163.150945,0.037476
0.020000,5.372331,10.771820,0.002438,0.044642,0.744745,0.042893,0.036574
0.020000,5.383431,10.772219,0.013545,0.555365,25.536141,1239.569807,0.035370
0.020000,5.397965,10.772722,0.028088,0.727128,8.588158,-847.399147,0.033863
0.020000,5.415410,10.773297,0.045542,0.872746,7.280908,-65.362485,0.032050
0.020000,5.435771,10.773928,0.065913,1.018513,7.288370,0.373054,0.029929
0.020000,5.459048,10.774597,0.089200,1.164353,7.291960,0.179499,0.027498
0.020000,5.485244,10.775282,0.115404,1.310235,7.294129,0.108472,0.024755
0.020000,5.514369,10.775958,0.144538,1.456653,7.320872,1.337170,0.021694
0.020000,5.546420,10.776599,0.176595,1.602854,7.310057,-0.540766,0.018314
0.020000,5.581402,10.777175,0.211582,1.749370,7.325796,0.786931,0.014609
0.020000,5.619323,10.777653,0.249505,1.896165,7.339745,0.697454,0.010577
0.020000,5.660184,10.777996,0.290368,2.043155,7.349519,0.488732,0.006212
0.020000,5.703989,10.778165,0.334174,2.190258,7.355172,0.282623,0.001509
0.020000,5.750747,10.778118,0.380931,2.337868,7.380503,1.266569,6.279649
0.020000,5.800455,10.777808,0.430640,2.485451,7.379112,-0.069566,6.274255
0.020000,5.853121,10.777187,0.483310,2.633497,7.402298,1.159328,6.268508
0.020000,5.908750,10.776200,0.538947,2.781875,7.418902,0.830198,6.262401
0.020000,5.967344,10.774793,0.597558,2.930543,7.433404,0.725089,6.255929
0.020000,6.028902,10.772904,0.659146,3.079372,7.441473,0.403426,6.249084
0.020000,6.093427,10.770470,0.723717,3.228565,7.459655,0.909136,6.241862
0.020000,6.160919,10.767422,0.791277,3.378018,7.472644,0.649417,6.234255
0.020000,6.231379,10.763690,0.861837,3.527965,7.497356,1.235608,6.226257
0.020000,6.304805,10.759196,0.935399,3.678131,7.508300,0.547207,6.217863
0.020000,6.381192,10.753862,1.011972,3.828643,7.525567,0.863352,6.209065
