dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.408531,9.782482,0.000653,0.065252,3.262589,163.129440,0.038377
0.020000,5.408531,9.782482,0.003263,0.195755,6.525178,163.129440,0.038077
0.020000,5.408531,9.782482,0.008483,0.326259,6.525178,-0.000000,0.037476
0.020000,5.408531,9.782482,0.016313,0.456762,6.525178,0.000000,0.036574
0.020000,5.418440,9.782838,0.026753,0.587266,6.525178,-0.000000,0.035370
0.020000,5.431482,9.783290,0.039804,0.717770,6.525178,0.000000,0.033863
0.020000,5.447134,9.783806,0.055464,0.848273,6.525178,0.000000,0.032050
0.020000,5.465396,9.784372,0.073735,0.978777,6.525178,0.000000,0.029929
0.020000,5.486268,9.784971,0.094615,1.109280,6.525178,0.000000,0.027498
0.020000,5.509748,9.785585,0.118106,1.239784,6.525178,-0.000000,0.024755
0.020000,5.535844,9.786191,0.144206,1.370287,6.525178,0.000000,0.021694
0.020000,5.564549,9.786765,0.172917,1.500791,6.525178,-0.000000,0.018314
0.020000,5.595865,9.787281,0.204238,1.631294,6.525178,0.000000,0.014609
0.020000,5.629794,9.787708,0.238169,1.761798,6.525178,-0.000000,0.010577
0.020000,5.666334,9.788015,0.274710,1.892302,6.525178,0.000000,0.006212
0.020000,5.705483,9.788166,0.313861,2.022805,6.525178,0.000000,0.001509
0.020000,5.747245,9.788124,0.355622,2.153309,6.525178,-0.000000,6.279649
0.020000,5.791614,9.787848,0.399993,2.283812,6.525178,0.000000,6.274255
0.020000,5.838591,9.787293,0.446975,2.414316,6.525178,0.000000,6.268508
0.020000,5.888175,9.786414,0.496566,2.544819,6.525178,-0.000000,6.262401
0.020000,5.940363,9.785161,0.548767,2.675323,6.525178,0.000000,6.255929
0.020000,5.995148,9.783480,0.603579,2.805826,6.525178,-0.000000,6.249084
0.020000,6.052529,9.781315,0.661000,2.936330,6.525178,0.000000,6.241862
0.020000,6.112497,9.778607,0.721032,3.066833,6.525178,0.000000,6.234255
0.020000,6.175051,9.775293,0.783674,3.197337,6.525178,0.000000,6.226257
0.020000,6.240181,9.771308,0.848926,3.327841,6.525178,-0.000000,6.217863
0.020000,6.307880,9.766580,0.916787,3.458344,6.525178,0.000000,6.209065
0.020000,6.378132,9.761039,0.987259,3.588848,6.525178,0.000000,6.199859
0.020000,6.450931,9.754606,1.060341,3.719351,6.525178,-0.000000,6.190237
