dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.446516,8.793211,0.000653,0.065252,3.262589,163.129440,0.038377
0.020000,5.446218,8.793199,0.000950,0.014869,-2.519132,-289.086028,0.038077
0.020000,5.445624,8.793177,0.001545,0.029747,0.743887,163.150945,0.037476
0.020000,5.444732,8.793144,0.002438,0.044642,0.744745,0.042893,0.036574
0.020000,5.453449,8.793457,0.011161,0.436162,19.575994,941.562447,0.035370
0.020000,5.465000,8.793857,0.022719,0.577894,7.086612,-624.469086,0.033863
0.020000,5.478858,8.794314,0.036584,0.693268,5.768711,-65.895061,0.032050
0.020000,5.495022,8.794815,0.052755,0.808567,5.764921,-0.189501,0.029929
0.020000,5.513488,8.795346,0.071229,0.923696,5.756471,-0.422502,0.027498
0.020000,5.534253,8.795888,0.092001,1.038603,5.745335,-0.556808,0.024755
0.020000,5.557320,8.796424,0.115074,1.153645,5.752123,0.339412,0.021694
0.020000,5.582678,8.796931,0.140438,1.268198,5.727636,-1.224330,0.018314
0.020000,5.610328,8.797387,0.168091,1.382652,5.722709,-0.246358,0.014609
0.020000,5.640264,8.797764,0.198030,1.496950,5.714913,-0.389808,0.010577
0.020000,5.672483,8.798034,0.230250,1.610999,5.702429,-0.624220,0.006212
0.020000,5.706977,8.798167,0.264744,1.724707,5.685383,-0.852285,0.001509
0.020000,5.743744,8.798130,0.301512,1.838358,5.682580,-0.140128,6.279649
0.020000,5.782774,8.797887,0.340542,1.951510,5.657593,-1.249358,6.274255
0.020000,5.824061,8.797400,0.381832,2.064527,5.650874,-0.335960,6.268508
0.020000,5.867600,8.796628,0.425378,2.177288,5.638028,-0.642307,6.262401
0.020000,5.913382,8.795528,0.471173,2.289743,5.622738,-0.764493,6.255929
0.020000,5.961395,8.794055,0.519209,2.401779,5.601812,-1.046314,6.249084
0.020000,6.011630,8.792160,0.569480,2.513546,5.588361,-0.672563,6.241862
0.020000,6.064076,8.789792,0.621979,2.624959,5.570650,-0.885552,6.234255
0.020000,6.118723,8.786897,0.676703,2.736201,5.562078,-0.428569,6.226257
0.020000,6.175558,8.783419,0.733644,2.847063,5.543131,-0.947368,6.217863
0.020000,6.234568,8.779299,0.792797,2.957658,5.529740,-0.669537,6.209065
0.020000,6.295734,8.774474,0.854153,3.067797,5.506941,-1.139930,6.199859
0.020000,6.359045,8.768880,0.917711,3.177899,5.505074,-0.093382,6.190237
0.020000,6.424481,8.762449,0.983463,3.287576,5.483896,-1.058881,6.180197
0.020000,6.492025,8.755111,1.051404,3.397079,5.475151,-0.437256,6.169732
0.020000,6.561657,8.746793,1.121531,3.506357,5.463896,-0.562743,6.158839
0.020000,6.633359,8.737419,1.193843,3.615582,5.461219,-0.133840,6.147515
0.020000,6.707105,8.726911,1.268334,3.724544,5.448097,-0.656115,6.135758
0.020000,6.782876,8.715186,1.345007,3.833647,5.455142,0.352249,6.123567
0.020000,6.860645,8.702163,1.423859,3.942607,5.448041,-0.355034,6.110941
0.020000,6.940390,8.687753,1.504895,4.051780,5.458635,0.529699,6.097883
0.020000,7.022079,8.671870,1.588114,4.160984,5.460206,0.078529,6.084396
0.020000,7.105689,8.654421,1.673525,4.270534,5.477482,0.863799,6.070485
0.020000,7.191188,8.635315,1.761133,4.380383,5.492464,0.749121,6.056158
0.020000,7.278546,8.614455,1.850947,4.490714,5.516528,1.203178,6.041423
0.020000,7.367732,8.591747,1.942978,4.601577,5.543151,1.331175,6.026293
0.020000,7.458716,8.567089,2.037244,4.713289,5.585617,2.123295,6.010780
0.020000,7.551461,8.540385,2.133758,4.825680,5.619560,1.697145,5.994903
0.020000,7.645936,8.511534,2.232540,4.939091,5.670555,2.549716,5.978681
0.020000,7.742104,8.480433,2.333612,5.053602,5.725520,2.748276,5.962135
0.020000,7.839930,8.446982,2.436999,5.169368,5.788308,3.139402,5.945293
0.020000,7.939378,8.411079,2.542730,5.286531,5.858134,3.491300,5.928180
0.020000,8.040412,8.372623,2.650834,5.405238,5.935389,3.862732,5.910830
