dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.411001,10.772479,0.000647,0.064729,3.236428,161.821400,6.280691
0.020000,5.410168,10.772480,0.001480,0.041629,-1.155001,-219.571427,6.281532
0.020000,5.408592,10.772482,0.003056,0.078790,1.858067,150.653380,0.000029
0.020000,5.413857,10.772488,0.008320,0.263205,9.220732,368.133257,0.002558
0.020000,5.420865,10.772518,0.015328,0.350432,4.361380,-242.967601,0.005941
0.020000,5.429609,10.772589,0.024072,0.437191,4.337965,-1.170761,0.010185
0.020000,5.440076,10.772722,0.034541,0.523431,4.311972,-1.299671,0.015303
0.020000,5.452254,10.772945,0.046721,0.609000,4.278458,-1.675669,0.021306
0.020000,5.466128,10.773288,0.060599,0.693916,4.245788,-1.633527,0.028211
0.020000,5.481680,10.773788,0.076158,0.777954,4.201922,-2.193290,0.036032
0.020000,5.498889,10.774484,0.093382,0.861184,4.161467,-2.022753,0.044787
0.020000,5.517734,10.775420,0.112250,0.943417,4.111689,-2.488902,0.054495
0.020000,5.538194,10.776645,0.132746,1.024795,4.068890,-2.139951,0.065176
0.020000,5.560240,10.778213,0.154848,1.105114,4.015923,-2.648354,0.076849
0.020000,5.583850,10.780181,0.178541,1.184608,3.974722,-2.060016,0.089532
0.020000,5.608995,10.782612,0.203803,1.263104,3.924808,-2.495738,0.103244
0.020000,5.635648,10.785572,0.230620,1.340843,3.886940,-1.893369,0.118001
0.020000,5.663783,10.789133,0.258979,1.417954,3.855535,-1.570268,0.133815
0.020000,5.693373,10.793371,0.288870,1.494591,3.831883,-1.182593,0.150696
0.020000,5.724394,10.798366,0.320291,1.571025,3.821701,-0.509080,0.168648
0.020000,5.756825,10.804205,0.353243,1.647615,3.829497,0.389761,0.187668
0.020000,5.790646,10.810980,0.387737,1.724685,3.853487,1.199547,0.207747
0.020000,5.825846,10.818788,0.423792,1.802769,3.904214,2.536340,0.228863
0.020000,5.862415,10.827734,0.461440,1.882364,3.979740,3.776294,0.250986
0.020000,5.900351,10.837929,0.500722,1.964104,4.087002,5.363084,0.274073
0.020000,5.939659,10.849491,0.541695,2.048654,4.227513,7.025545,0.298068
0.020000,5.980350,10.862548,0.584429,2.136730,4.403802,8.814469,0.322898
0.020000,6.022443,10.877236,0.629011,2.229089,4.617925,10.706151,0.348477
0.020000,6.065963,10.893698,0.675541,2.326486,4.869835,12.595477,0.374704
0.020000,6.110941,10.912089,0.724134,2.429644,5.157917,14.404092,0.401463
0.020000,6.157413,10.932570,0.774918,2.539236,5.479603,16.084330,0.428622
0.020000,6.205416,10.955311,0.828036,2.655855,5.830948,17.567269,0.456041
0.020000,6.254989,10.980487,0.883635,2.779975,6.206000,18.752557,0.483567
0.020000,6.306170,11.008276,0.941874,2.911932,6.597860,19.593028,0.511043
0.020000,6.358993,11.038859,1.002912,3.051907,6.998722,20.043112,0.538307
0.020000,6.413490,11.072414,1.066910,3.199921,7.400704,20.099063,0.565195
0.020000,6.469685,11.109113,1.134027,3.355843,7.796093,19.769479,0.591549
0.020000,6.527597,11.149120,1.204415,3.519399,8.177839,19.087292,0.617214
0.020000,6.587242,11.192590,1.278219,3.690198,8.539915,18.103794,0.642044
0.020000,6.648628,11.239659,1.355574,3.867762,8.878238,16.916168,0.665902
0.020000,6.711765,11.290452,1.436606,4.051562,9.189998,15.587979,0.688662
0.020000,6.776659,11.345070,1.521426,4.241022,9.472961,14.148135,0.710210
0.020000,6.843324,11.403600,1.610139,4.435630,9.730422,12.873075,0.730442
0.020000,6.911775,11.466108,1.702836,4.634871,9.962071,11.582443,0.749265
0.020000,6.982040,11.532640,1.799602,4.838290,10.170914,10.442139,0.766594
0.020000,7.054157,11.603225,1.900513,5.045578,10.364390,9.673803,0.782350
0.020000,7.128182,11.677873,2.005643,5.256461,10.544195,8.990268,0.796462
0.020000,7.204190,11.756581,2.115059,5.470820,10.717937,8.687078,0.808858
0.020000,7.282277,11.839325,2.228832,5.688633,10.890645,8.635428,0.819470
0.020000,7.362567,11.926071,2.347032,5.910034,11.070066,8.971049,0.828224
0.020000,7.445213,12.016770,2.469738,6.135265,11.261526,9.572964,0.835044
0.020000,7.530401,12.111358,2.597032,6.364738,11.473675,10.607480,0.839844
0.020000,7.618358,12.209756,2.729012,6.598968,11.711475,11.889972,0.842527
0.020000,7.708898,12.311367,2.865109,6.804855,10.294333,-70.857099,0.842986
0.020000,7.800973,12.414558,3.003406,6.914851,5.499824,-239.725445,0.841172
0.020000,7.893496,12.517643,3.141924,6.925884,0.551636,-247.409378,0.837149
0.020000,7.986203,12.619883,3.279936,6.900620,-1.263197,-90.741666,0.831020
0.020000,8.079235,12.721020,3.417354,6.870921,-1.484944,-11.087350,0.822875
0.020000,8.172726,12.820814,3.554100,6.837267,-1.682688,-9.887170,0.812795
0.020000,8.266794,12.919033,3.690099,6.799983,-1.864195,-9.075358,0.800853
0.020000,8.361545,13.015455,3.825284,6.759226,-2.037861,-8.683299,0.787119
0.020000,8.457065,13.109862,3.959585,6.715052,-2.208690,-8.541448,0.771661
0.020000,8.553421,13.202042,4.092932,6.667359,-2.384643,-8.797661,0.754552
0.020000,8.650655,13.291784,4.225251,6.615923,-2.571823,-9.358995,0.735865
0.020000,8.748785,13.378883,4.356459,6.560442,-2.774025,-10.110131,0.715685
0.020000,8.847799,13.463135,4.486468,6.500422,-3.001026,-11.350013,0.694101
0.020000,8.947653,13.544343,4.615175,6.435373,-3.252444,-12.570914,0.671215
0.020000,9.048270,13.622319,4.742470,6.364731,-3.532113,-13.983460,0.647141
0.020000,9.149537,13.696883,4.868227,6.287857,-3.843699,-15.579317,0.622005
0.020000,9.251308,13.767872,4.992311,6.204177,-4.183975,-17.013765,0.595943
0.020000,9.353400,13.835143,5.114573,6.113131,-4.552336,-18.418069,0.569105
0.020000,9.455601,13.898573,5.234858,6.014252,-4.943930,-19.579686,0.541650
0.020000,9.557669,13.958071,5.353002,5.907182,-5.353490,-20.477994,0.513742
0.020000,9.659340,14.013576,5.468836,5.791723,-5.772951,-20.973071,0.485551
0.020000,9.760330,14.065060,5.582193,5.667821,-6.195113,-21.108104,0.457249
0.020000,9.860347,14.112535,5.692905,5.535618,-6.610126,-20.750613,0.429001
0.020000,9.959095,14.156045,5.800814,5.395427,-7.009578,-19.972615,0.400971
0.020000,10.056280,14.195672,5.905768,5.247713,-7.385695,-18.805835,0.373310
0.020000,10.151621,14.231532,6.007629,5.093048,-7.733246,-17.377582,0.346158
0.020000,10.244848,14.263769,6.106272,4.932174,-8.043716,-15.523468,0.319641
0.020000,10.335716,14.292552,6.201590,4.765878,-8.314789,-13.553658,0.293869
0.020000,10.423998,14.318073,6.293487,4.594846,-8.551581,-11.839628,0.268937
0.020000,10.509497,14.340536,6.381888,4.420038,-8.740414,-9.441616,0.244921
0.020000,10.592040,14.360159,6.466731,4.242168,-8.893507,-7.654684,0.221883
0.020000,10.671480,14.377164,6.547971,4.061989,-9.008946,-5.771922,0.199871
0.020000,10.747693,14.391773,6.625572,3.880046,-9.097159,-4.410685,0.178918
0.020000,10.820584,14.404208,6.699516,3.697197,-9.142420,-2.263030,0.159045
0.020000,10.890074,14.414685,6.769791,3.513752,-9.172248,-1.491403,0.140263
0.020000,10.956103,14.423412,6.836394,3.330158,-9.179742,-0.374712,0.122574
0.020000,11.018629,14.430588,6.899331,3.146844,-9.165700,0.702114,0.105974
0.020000,11.077626,14.436400,6.958613,2.964110,-9.136669,1.451548,0.090451
0.020000,11.133072,14.441025,7.014252,2.781947,-9.108151,1.425915,0.075991
0.020000,11.184965,14.444626,7.066269,2.600875,-9.053634,2.725826,0.062576
0.020000,11.233301,14.447353,7.114682,2.420631,-9.012179,2.072770,0.050185
0.020000,11.278089,14.449347,7.159514,2.241621,-8.950519,3.083011,0.038796
0.020000,11.319337,14.450733,7.200786,2.063591,-8.901490,2.451444,0.028388
0.020000,11.357063,14.451625,7.238522,1.886811,-8.839005,3.124252,0.018938
0.020000,11.391276,14.452128,7.272739,1.710833,-8.798875,2.006472,0.010426
0.020000,11.421996,14.452331,7.303460,1.536032,-8.740058,2.940877,0.002830
0.020000,11.449237,14.452317,7.330701,1.362057,-8.698743,2.065746,6.279318
0.020000,11.473018,14.452156,7.354482,1.189074,-8.649180,2.478130,6.273501
0.020000,11.493352,14.451908,7.374819,1.016807,-8.613330,1.792505,6.268549
0.020000,11.510255,14.451626,7.391724,0.845259,-8.577387,1.797161,6.264449
0.020000,11.523735,14.451352,7.405206,0.674133,-8.556324,1.053148,6.261189
0.020000,11.533804,14.451118,7.415278,0.503585,-8.527366,1.447909,6.258759
0.020000,11.540466,14.450950,7.421942,0.333200,-8.519289,0.403833,6.257155
0.020000,11.543765,14.450863,7.425242,0.165010,-8.409460,5.491450,6.256361
0.020000,11.544582,14.450841,7.426059,0.040845,-6.208291,110.058437,6.256165
0.020000,11.544582,14.450841,7.426059,0.000000,-2.042230,208.303048,6.256165
