dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.408531,9.782482,0.000647,0.064729,3.236428,161.821400,6.280691
0.020000,5.408531,9.782482,0.003236,0.194186,6.472856,161.821400,6.281532
0.020000,5.408622,9.782482,0.008415,0.323643,6.472856,0.000000,0.000029
0.020000,5.416389,9.782492,0.016182,0.453100,6.472856,-0.000000,0.002558
0.020000,5.426746,9.782536,0.026539,0.582557,6.472856,0.000000,0.005941
0.020000,5.439692,9.782640,0.039484,0.712014,6.472856,0.000000,0.010185
0.020000,5.455226,9.782838,0.055019,0.841471,6.472856,0.000000,0.015303
0.020000,5.473346,9.783170,0.073143,0.970928,6.472856,0.000000,0.021306
0.020000,5.494053,9.783682,0.093856,1.100386,6.472856,-0.000000,0.028211
0.020000,5.517343,9.784431,0.117159,1.229843,6.472856,0.000000,0.036032
0.020000,5.543214,9.785476,0.143050,1.359300,6.472856,0.000000,0.044787
0.020000,5.571658,9.786889,0.171531,1.488757,6.472856,-0.000000,0.054495
0.020000,5.602673,9.788747,0.202600,1.618214,6.472856,0.000000,0.065176
0.020000,5.636245,9.791135,0.236259,1.747671,6.472856,0.000000,0.076849
0.020000,5.672369,9.794147,0.272507,1.877128,6.472856,0.000000,0.089532
0.020000,5.711026,9.797884,0.311344,2.006585,6.472856,-0.000000,0.103244
0.020000,5.752198,9.802457,0.352771,2.136042,6.472856,0.000000,0.118001
0.020000,5.795865,9.807984,0.396786,2.265500,6.472856,0.000000,0.133815
0.020000,5.841998,9.814590,0.443391,2.394957,6.472856,0.000000,0.150696
0.020000,5.890565,9.822411,0.492584,2.524414,6.472856,0.000000,0.168648
0.020000,5.941528,9.831587,0.544367,2.653871,6.472856,0.000000,0.187668
0.020000,5.994839,9.842267,0.598739,2.783328,6.472856,-0.000000,0.207747
0.020000,6.050448,9.854602,0.655700,2.912785,6.472856,-0.000000,0.228863
0.020000,6.108291,9.868753,0.715251,3.042242,6.472856,0.000000,0.250986
0.020000,6.168300,9.884879,0.777390,3.171699,6.472856,0.000000,0.274073
0.020000,6.230396,9.903145,0.842119,3.301157,6.472856,0.000000,0.298068
0.020000,6.294493,9.923712,0.909436,3.430614,6.472856,0.000000,0.322898
0.020000,6.360495,9.946741,0.979343,3.560071,6.472856,0.000000,0.348477
0.020000,6.428301,9.972389,1.051839,3.689528,6.472856,0.000000,0.374704
0.020000,6.497799,10.000804,1.126924,3.818985,6.472856,0.000000,0.401463
0.020000,6.568875,10.032127,1.204599,3.948442,6.472856,0.000000,0.428622
0.020000,6.641409,10.066486,1.284862,4.077899,6.472856,-0.000000,0.456041
0.020000,6.715280,10.103999,1.367714,4.207356,6.472856,0.000000,0.483567
0.020000,6.790367,10.144764,1.453156,4.336814,6.472856,0.000000,0.511043
0.020000,6.866550,10.188867,1.541187,4.466271,6.472856,0.000000,0.538307
0.020000,6.943715,10.236375,1.631807,4.595728,6.472856,0.000000,0.565195
0.020000,7.021756,10.287336,1.725016,4.725185,6.472856,0.000000,0.591549
0.020000,7.100575,10.341781,1.820814,4.854642,6.472856,0.000000,0.617214
0.020000,7.180087,10.399725,1.919202,4.984099,6.472856,0.000000,0.642044
0.020000,7.260219,10.461163,2.020178,5.113556,6.472856,0.000000,0.665902
0.020000,7.340914,10.526076,2.123744,5.243013,6.472856,0.000000,0.688662
0.020000,7.422133,10.594427,2.229899,5.372470,6.472856,-0.000000,0.710210
0.020000,7.503851,10.666169,2.338643,5.501928,6.472856,0.000000,0.730442
0.020000,7.586065,10.741240,2.449976,5.631385,6.472856,-0.000000,0.749265
0.020000,7.668789,10.819565,2.563898,5.760842,6.472856,0.000000,0.766594
0.020000,7.752056,10.901058,2.680410,5.890299,6.472856,0.000000,0.782350
0.020000,7.835920,10.985625,2.799510,6.019756,6.472856,0.000000,0.796462
0.020000,7.920454,11.073159,2.921200,6.149213,6.472856,0.000000,0.808858
0.020000,8.005753,11.163543,3.045479,6.278670,6.472856,0.000000,0.819470
0.020000,8.091931,11.256648,3.172347,6.408127,6.472856,0.000000,0.828224
