dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.406062,8.792485,0.000647,0.064729,3.236428,161.821400,6.280691
0.020000,5.406894,8.792483,0.001480,0.041629,-1.155001,-219.571427,6.281532
0.020000,5.408651,8.792482,0.003236,0.087824,2.309759,173.237985,0.000029
0.020000,5.418922,8.792495,0.013508,0.513565,21.287079,948.865998,0.002558
0.020000,5.432628,8.792553,0.027213,0.685292,8.586321,-635.037897,0.005941
0.020000,5.449775,8.792691,0.044361,0.857397,8.605246,0.946261,0.010185
0.020000,5.470375,8.792954,0.064963,1.030080,8.634186,1.447001,0.015303
0.020000,5.494438,8.793394,0.089030,1.203332,8.662593,1.420330,0.021306
0.020000,5.521978,8.794076,0.116579,1.377449,8.705861,2.163413,0.028211
0.020000,5.553007,8.795073,0.147623,1.552224,8.738714,1.642629,0.036032
0.020000,5.587538,8.796469,0.182183,1.727990,8.788293,2.478936,0.044787
0.020000,5.625582,8.798359,0.220273,1.904527,8.826856,1.928182,0.054495
0.020000,5.667152,8.800849,0.261918,2.082212,8.884285,2.871418,0.065176
0.020000,5.712251,8.804057,0.307131,2.260660,8.922360,1.903770,0.076849
0.020000,5.760888,8.808112,0.355937,2.440287,8.981360,2.950022,0.089532
0.020000,5.813056,8.813156,0.408348,2.620570,9.014154,1.639658,0.103244
0.020000,5.868748,8.819341,0.464382,2.801714,9.057181,2.151367,0.118001
0.020000,5.927946,8.826834,0.524053,2.983551,9.091878,1.734864,0.133815
0.020000,5.990623,8.835810,0.587369,3.165802,9.112539,1.033062,0.150696
0.020000,6.056736,8.846457,0.654334,3.348237,9.121769,0.461480,0.168648
0.020000,6.126231,8.858970,0.724946,3.530614,9.118842,-0.146336,0.187668
0.020000,6.199032,8.873553,0.799194,3.712390,9.088775,-1.503388,0.207747
0.020000,6.275049,8.890417,0.877059,3.893240,9.042534,-2.312027,0.228863
0.020000,6.354167,8.909772,0.958510,4.072527,8.964359,-3.908776,0.250986
0.020000,6.436248,8.931830,1.043503,4.249691,8.858172,-5.309313,0.274073
0.020000,6.521133,8.956798,1.131984,4.424042,8.717550,-7.031121,0.298068
0.020000,6.608636,8.984875,1.223881,4.594850,8.540417,-8.856621,0.322898
0.020000,6.698548,9.016246,1.319109,4.761384,8.326689,-10.686423,0.348477
0.020000,6.790638,9.051079,1.417567,4.922895,8.075548,-12.557064,0.374704
0.020000,6.884657,9.089518,1.519140,5.078641,7.787304,-14.412207,0.401463
0.020000,6.980337,9.131683,1.623698,5.227943,7.465098,-16.110273,0.428622
0.020000,7.077402,9.177661,1.731103,5.370222,7.113974,-17.556220,0.456041
0.020000,7.175571,9.227510,1.841203,5.505006,6.739199,-18.738741,0.483567
0.020000,7.274563,9.281252,1.953842,5.631960,6.347688,-19.575522,0.511043
0.020000,7.374106,9.338875,2.068860,5.750898,5.946885,-20.040157,0.538307
0.020000,7.473940,9.400335,2.186096,5.861797,5.544971,-20.095694,0.565195
0.020000,7.573827,9.465558,2.305392,5.964793,5.149787,-19.759216,0.591549
0.020000,7.673553,9.534442,2.426595,6.060159,4.768316,-19.073532,0.617214
0.020000,7.772932,9.606860,2.549561,6.148283,4.406178,-18.106930,0.642044
0.020000,7.871810,9.682667,2.674154,6.229649,4.068306,-16.893570,0.665902
0.020000,7.970064,9.761700,2.800250,6.304795,3.757282,-15.551229,0.688662
0.020000,8.067606,9.843785,2.927735,6.374242,3.472338,-14.247172,0.710210
0.020000,8.164378,9.928739,3.056506,6.438582,3.217002,-12.766831,0.730442
0.020000,8.260355,10.016372,3.186472,6.498292,2.985512,-11.574468,0.749265
0.020000,8.355538,10.106489,3.317548,6.553778,2.774320,-10.559623,0.766594
0.020000,8.449955,10.198892,3.449656,6.605445,2.583321,-9.549963,0.782350
0.020000,8.543657,10.293377,3.582726,6.653498,2.402677,-9.032174,0.796462
