dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.795490,10.772482,0.000644,0.064363,3.218149,160.907471,0.000013
0.020000,1.795501,10.772482,0.000655,0.000552,-3.190555,-320.435205,0.000002
0.020000,1.800277,10.772482,0.005431,0.238808,11.912817,755.168576,6.283165
0.020000,1.808033,10.772481,0.013187,0.387819,7.450562,-223.112731,6.283132
0.020000,1.818375,10.772481,0.023529,0.517076,6.462833,-49.386449,6.283088
0.020000,1.831301,10.772479,0.036455,0.646319,6.462126,-0.035344,6.283033
0.020000,1.846812,10.772476,0.051966,0.775544,6.461243,-0.044180,6.282969
0.020000,1.864907,10.772471,0.070061,0.904747,6.460182,-0.053016,6.282895
0.020000,1.885585,10.772465,0.090739,1.033926,6.458945,-0.061853,6.282812
0.020000,1.908847,10.772455,0.114001,1.163077,6.457532,-0.070689,6.282720
0.020000,1.934691,10.772442,0.139845,1.292196,6.455941,-0.079525,6.282620
0.020000,1.963116,10.772424,0.168270,1.421279,6.454174,-0.088361,6.282513
0.020000,1.994123,10.772401,0.199277,1.550324,6.452230,-0.097198,6.282400
0.020000,2.027709,10.772373,0.232863,1.679326,6.450109,-0.106033,6.282281
0.020000,2.063875,10.772338,0.269029,1.808282,6.447812,-0.114870,6.282157
0.020000,2.102619,10.772296,0.307773,1.937189,6.445338,-0.123706,6.282030
0.020000,2.143940,10.772245,0.349094,2.066043,6.442687,-0.132540,6.281900
0.020000,2.187836,10.772186,0.392991,2.194840,6.439859,-0.141379,6.281769
0.020000,2.234308,10.772117,0.439462,2.323577,6.436855,-0.150211,6.281638
0.020000,2.283353,10.772038,0.488507,2.452250,6.433674,-0.159050,6.281507
0.020000,2.334970,10.771948,0.540124,2.580857,6.430317,-0.167881,6.281379
0.020000,2.389158,10.771847,0.594312,2.709392,6.426782,-0.176721,6.281255
0.020000,2.445914,10.771734,0.651069,2.837854,6.423071,-0.185554,6.281136
0.020000,2.505239,10.771609,0.710394,2.966237,6.419183,-0.194389,6.281024
0.020000,2.567130,10.771472,0.772285,3.094540,6.415119,-0.203226,6.280921
0.020000,2.631585,10.771323,0.836740,3.222757,6.410878,-0.212061,6.280828
0.020000,2.698602,10.771162,0.903758,3.350886,6.406460,-0.220895,6.280747
0.020000,2.768181,10.770990,0.973336,3.478924,6.401865,-0.229732,6.280680
0.020000,2.840318,10.770807,1.045473,3.606866,6.397094,-0.238567,6.280628
0.020000,2.915012,10.770615,1.120167,3.734709,6.392146,-0.247403,6.280595
0.020000,2.992260,10.770414,1.197416,3.862449,6.387021,-0.256240,6.280581
0.020000,3.072062,10.770206,1.277218,3.990083,6.381719,-0.265077,6.280590
0.020000,3.154414,10.769994,1.359570,4.117608,6.376241,-0.273915,6.280623
0.020000,3.239314,10.769778,1.444471,4.245020,6.370586,-0.282753,6.280682
0.020000,3.326760,10.769563,1.531917,4.372315,6.364754,-0.291591,6.280770
0.020000,3.416749,10.769351,1.621907,4.499490,6.358745,-0.300431,6.280890
0.020000,3.509280,10.769146,1.714438,4.626541,6.352560,-0.309269,6.281043
0.020000,3.603686,10.768952,1.808844,4.720301,4.688015,-83.227230,6.281232
0.020000,3.698018,10.768778,1.903176,4.716610,-0.184592,-243.630374,6.281452
0.020000,3.790372,10.768629,1.995530,4.617697,-4.945636,-238.052187,6.281699
0.020000,3.880128,10.768507,2.085287,4.487850,-6.492361,-77.336239,6.281969
0.020000,3.967291,10.768414,2.172449,4.358126,-6.486181,0.308968,6.282258
0.020000,4.051861,10.768348,2.257020,4.228522,-6.480178,0.300138,6.282566
0.020000,4.133842,10.768310,2.339000,4.099035,-6.474352,0.291305,6.282889
0.020000,4.213235,10.768300,2.418394,3.969661,-6.468703,0.282475,0.000039
0.020000,4.290043,10.768316,2.495202,3.840397,-6.463230,0.273641,0.000386
0.020000,4.364268,10.768358,2.569426,3.711238,-6.457934,0.264809,0.000742
0.020000,4.435912,10.768424,2.641070,3.582182,-6.452814,0.255975,0.001104
0.020000,4.504976,10.768513,2.710134,3.453224,-6.447872,0.247139,0.001471
0.020000,4.571463,10.768623,2.776622,3.324362,-6.443105,0.238307,0.001841
0.020000,4.635375,10.768752,2.840534,3.195592,-6.438516,0.229465,0.002211
0.020000,4.696713,10.768899,2.901872,3.066910,-6.434103,0.220633,0.002581
0.020000,4.755479,10.769062,2.960638,2.938312,-6.429868,0.211793,0.002948
0.020000,4.811675,10.769237,3.016834,2.809796,-6.425809,0.202946,0.003311
0.020000,4.865301,10.769425,3.070461,2.681358,-6.421926,0.194119,0.003668
0.020000,4.916361,10.769621,3.121521,2.552993,-6.418221,0.185274,0.004018
0.020000,4.964854,10.769824,3.170015,2.424700,-6.414692,0.176423,0.004359
0.020000,5.010783,10.770032,3.215944,2.296473,-6.411340,0.167602,0.004690
0.020000,5.054149,10.770242,3.259311,2.168309,-6.408165,0.158741,0.005009
0.020000,5.094953,10.770453,3.300115,2.040206,-6.405167,0.149913,0.005316
0.020000,5.133195,10.770661,3.338358,1.912159,-6.402346,0.141068,0.005610
0.020000,5.168878,10.770867,3.374041,1.784165,-6.399701,0.132228,0.005888
0.020000,5.202002,10.771066,3.407166,1.656220,-6.397234,0.123385,0.006151
0.020000,5.232568,10.771258,3.437732,1.528322,-6.394942,0.114562,0.006397
0.020000,5.260576,10.771440,3.465741,1.400465,-6.392829,0.105690,0.006625
0.020000,5.286029,10.771611,3.491194,1.272647,-6.390891,0.096892,0.006835
0.020000,5.308925,10.771770,3.514092,1.144865,-6.389130,0.088018,0.007026
0.020000,5.329267,10.771915,3.534434,1.017114,-6.387546,0.079233,0.007198
0.020000,5.347055,10.772044,3.552222,0.889391,-6.386139,0.070340,0.007349
0.020000,5.362288,10.772157,3.567456,0.761693,-6.384908,0.061529,0.007479
0.020000,5.374968,10.772253,3.580136,0.634016,-6.383854,0.052721,0.007588
0.020000,5.385095,10.772330,3.590263,0.506356,-6.382977,0.043851,0.007676
0.020000,5.392669,10.772388,3.597837,0.378711,-6.382276,0.035046,0.007742
0.020000,5.397690,10.772427,3.602859,0.251076,-6.381752,0.026200,0.007785
0.020000,5.400180,10.772447,3.605349,0.124492,-6.329190,2.628091,0.007807
0.020000,5.400797,10.772451,3.605966,0.030862,-4.681505,82.384270,0.007812
0.020000,5.400797,10.772451,3.605966,0.000000,-1.543085,156.920969,0.007812
