dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.795502,9.782482,0.000644,0.064363,3.218149,160.907471,0.000013
0.020000,1.795502,9.782482,0.003218,0.193089,6.436299,160.907471,0.000002
0.020000,1.800256,9.782482,0.008367,0.321815,6.436299,0.000000,6.283165
0.020000,1.807980,9.782481,0.016091,0.450541,6.436299,-0.000000,6.283132
0.020000,1.818278,9.782481,0.026389,0.579267,6.436299,0.000000,6.283088
0.020000,1.831151,9.782479,0.039261,0.707993,6.436299,0.000000,6.283033
0.020000,1.846598,9.782476,0.054709,0.836719,6.436299,-0.000000,6.282969
0.020000,1.864619,9.782472,0.072730,0.965445,6.436299,0.000000,6.282895
0.020000,1.885216,9.782465,0.093326,1.094171,6.436299,0.000000,6.282812
0.020000,1.908386,9.782455,0.116497,1.222897,6.436299,-0.000000,6.282720
0.020000,1.934131,9.782442,0.142242,1.351623,6.436299,0.000000,6.282620
0.020000,1.962451,9.782424,0.170562,1.480349,6.436299,0.000000,6.282513
0.020000,1.993345,9.782402,0.201456,1.609075,6.436299,0.000000,6.282400
0.020000,2.026814,9.782373,0.234925,1.737801,6.436299,0.000000,6.282281
0.020000,2.062857,9.782339,0.270968,1.866527,6.436299,0.000000,6.282157
0.020000,2.101475,9.782296,0.309586,1.995253,6.436299,-0.000000,6.282030
0.020000,2.142667,9.782246,0.350778,2.123979,6.436299,0.000000,6.281900
0.020000,2.186434,9.782187,0.394545,2.252705,6.436299,0.000000,6.281769
0.020000,2.232776,9.782118,0.440886,2.381431,6.436299,0.000000,6.281638
0.020000,2.281691,9.782039,0.489802,2.510157,6.436299,-0.000000,6.281507
0.020000,2.333182,9.781950,0.541293,2.638883,6.436299,0.000000,6.281379
0.020000,2.387246,9.781849,0.595358,2.767608,6.436299,-0.000000,6.281255
0.020000,2.443886,9.781736,0.651997,2.896334,6.436299,0.000000,6.281136
0.020000,2.503100,9.781611,0.711211,3.025060,6.436299,-0.000000,6.281024
0.020000,2.564888,9.781474,0.772999,3.153786,6.436299,0.000000,6.280921
0.020000,2.629251,9.781325,0.837362,3.282512,6.436299,-0.000000,6.280828
0.020000,2.696188,9.781165,0.904300,3.411238,6.436299,0.000000,6.280747
0.020000,2.765700,9.780993,0.973812,3.539964,6.436299,0.000000,6.280680
0.020000,2.837786,9.780810,1.045899,3.668690,6.436299,0.000000,6.280628
0.020000,2.912447,9.780618,1.120560,3.797416,6.436299,0.000000,6.280595
0.020000,2.989682,9.780417,1.197795,3.926142,6.436299,0.000000,6.280581
0.020000,3.069492,9.780210,1.277605,4.054868,6.436299,0.000000,6.280590
0.020000,3.151877,9.779997,1.359990,4.183594,6.436299,0.000000,6.280623
0.020000,3.236835,9.779782,1.444949,4.312320,6.436299,-0.000000,6.280682
0.020000,3.324369,9.779566,1.532483,4.441046,6.436299,0.000000,6.280770
0.020000,3.414477,9.779354,1.622591,4.569772,6.436299,0.000000,6.280890
0.020000,3.507159,9.779148,1.715274,4.698498,6.436299,-0.000000,6.281043
0.020000,3.601752,9.778954,1.809866,4.760755,3.112819,-166.174004,6.281232
0.020000,3.696302,9.778779,1.904417,4.694285,-3.323480,-321.814941,6.281452
0.020000,3.788900,9.778630,1.997015,4.565559,-6.436299,-155.640937,6.281699
0.020000,3.878924,9.778508,2.087039,4.436833,-6.436299,0.000000,6.281969
0.020000,3.966373,9.778414,2.174488,4.308107,-6.436299,-0.000000,6.282258
0.020000,4.051248,9.778348,2.259363,4.179381,-6.436299,0.000000,6.282566
0.020000,4.133548,9.778310,2.341664,4.050655,-6.436299,-0.000000,6.282889
0.020000,4.213274,9.778300,2.421389,3.921929,-6.436299,0.000000,0.000039
0.020000,4.290426,9.778316,2.498541,3.793203,-6.436299,-0.000000,0.000386
0.020000,4.365002,9.778358,2.573118,3.664477,-6.436299,0.000000,0.000742
0.020000,4.437005,9.778425,2.645120,3.535751,-6.436299,-0.000000,0.001104
0.020000,4.506432,9.778514,2.714548,3.407025,-6.436299,0.000000,0.001471
0.020000,4.573286,9.778625,2.781401,3.278299,-6.436299,-0.000000,0.001841
0.020000,4.637564,9.778755,2.845680,3.149573,-6.436299,0.000000,0.002211
0.020000,4.699268,9.778903,2.907384,3.020847,-6.436299,-0.000000,0.002581
0.020000,4.758398,9.779066,2.966513,2.892121,-6.436299,0.000000,0.002948
0.020000,4.814952,9.779243,3.023069,2.763395,-6.436299,-0.000000,0.003311
0.020000,4.868933,9.779431,3.077049,2.634669,-6.436299,0.000000,0.003668
0.020000,4.920339,9.779629,3.128455,2.505943,-6.436299,-0.000000,0.004018
0.020000,4.969170,9.779833,3.177287,2.377217,-6.436299,0.000000,0.004359
0.020000,5.015426,9.780042,3.223544,2.248491,-6.436299,0.000000,0.004690
0.020000,5.059108,9.780254,3.267227,2.119765,-6.436299,0.000000,0.005009
0.020000,5.100216,9.780466,3.308335,1.991039,-6.436299,0.000000,0.005316
0.020000,5.138749,9.780677,3.346868,1.862313,-6.436299,-0.000000,0.005610
0.020000,5.174707,9.780884,3.382827,1.733587,-6.436299,0.000000,0.005888
0.020000,5.208091,9.781085,3.416212,1.604861,-6.436299,0.000000,0.006151
0.020000,5.238900,9.781278,3.447022,1.476136,-6.436299,0.000000,0.006397
0.020000,5.267135,9.781462,3.475257,1.347410,-6.436299,0.000000,0.006625
0.020000,5.292796,9.781634,3.500918,1.218684,-6.436299,0.000000,0.006835
0.020000,5.315882,9.781794,3.524004,1.089958,-6.436299,-0.000000,0.007026
0.020000,5.336393,9.781940,3.544516,0.961232,-6.436299,0.000000,0.007198
0.020000,5.354330,9.782071,3.562454,0.832506,-6.436299,0.000000,0.007349
0.020000,5.369692,9.782185,3.577817,0.703780,-6.436299,0.000000,0.007479
0.020000,5.382480,9.782281,3.590605,0.575054,-6.436299,0.000000,0.007588
0.020000,5.392694,9.782359,3.600819,0.446328,-6.436299,0.000000,0.007676
0.020000,5.400333,9.782418,3.608458,0.317602,-6.436299,-0.000000,0.007742
0.020000,5.405397,9.782457,3.613523,0.188876,-6.436299,-0.000000,0.007785
0.020000,5.407909,9.782477,3.616034,0.062256,-6.330968,5.266534,0.007807
0.020000,5.408531,9.782482,3.616657,0.000000,-3.112819,160.907471,0.007812
0.020000,5.408531,9.782482,3.616657,0.000000,0.000000,155.640937,0.007812
