dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.795515,8.792482,0.000644,0.064363,3.218149,160.907471,0.000013
0.020000,1.795504,8.792482,0.000655,0.000552,-3.190555,-320.435205,0.000002
0.020000,1.800236,8.792482,0.005387,0.236608,11.802791,749.667302,6.283165
0.020000,1.807927,8.792481,0.013078,0.384536,7.396433,-220.317914,6.283132
0.020000,1.818181,8.792481,0.023332,0.512732,6.409764,-49.333433,6.283088
0.020000,1.831000,8.792479,0.036151,0.640941,6.410471,0.035344,6.283033
0.020000,1.846384,8.792476,0.051534,0.769168,6.411355,0.044180,6.282969
0.020000,1.864332,8.792472,0.069483,0.897417,6.412415,0.053016,6.282895
0.020000,1.884846,8.792465,0.089996,1.025690,6.413652,0.061852,6.282812
0.020000,1.907926,8.792455,0.113076,1.153991,6.415066,0.070689,6.282720
0.020000,1.933572,8.792442,0.138723,1.282324,6.416657,0.079525,6.282620
0.020000,1.961786,8.792424,0.166937,1.410692,6.418424,0.088361,6.282513
0.020000,1.992568,8.792402,0.197719,1.539100,6.420368,0.097197,6.282400
0.020000,2.025919,8.792374,0.231070,1.667550,6.422488,0.106034,6.282281
0.020000,2.061840,8.792339,0.266991,1.796045,6.424786,0.114869,6.282157
0.020000,2.100332,8.792297,0.305482,1.924591,6.427260,0.123705,6.282030
0.020000,2.141395,8.792247,0.346546,2.053189,6.429911,0.132543,6.281900
0.020000,2.185032,8.792188,0.390183,2.181843,6.432738,0.141375,6.281769
0.020000,2.231243,8.792119,0.436394,2.310558,6.435743,0.150214,6.281638
0.020000,2.280030,8.792041,0.485181,2.439337,6.438923,0.159047,6.281507
0.020000,2.331394,8.791951,0.536545,2.568182,6.442281,0.167886,6.281379
0.020000,2.385335,8.791850,0.590487,2.697099,6.445816,0.176718,6.281255
0.020000,2.441857,8.791738,0.647008,2.826089,6.449527,0.185555,6.281136
0.020000,2.500960,8.791613,0.706111,2.955158,6.453414,0.194391,6.281024
0.020000,2.562646,8.791477,0.767798,3.084307,6.457479,0.203224,6.280921
0.020000,2.626917,8.791328,0.832068,3.213542,6.461720,0.212060,6.280828
0.020000,2.693774,8.791168,0.898926,3.342864,6.466138,0.220897,6.280747
0.020000,2.763219,8.790996,0.968371,3.472279,6.470733,0.229731,6.280680
0.020000,2.835255,8.790813,1.040407,3.601789,6.475504,0.238567,6.280628
0.020000,2.909882,8.790621,1.115035,3.731398,6.480452,0.247403,6.280595
