dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.463388,3.283489,0.000649,0.064935,3.246753,162.337662,0.018472
0.020000,0.463204,3.283486,0.000834,0.009208,-2.786336,-301.654463,0.018658
0.020000,0.462836,3.283479,0.001202,0.018403,0.459710,162.302291,0.019029
0.020000,0.462284,3.283468,0.001753,0.027568,0.458295,-0.070760,0.019586
0.020000,0.471671,3.283656,0.011141,0.469420,22.092594,1081.714957,0.020327
0.020000,0.483740,3.283907,0.023213,0.603594,6.708673,-769.196059,0.021252
0.020000,0.498226,3.284222,0.037703,0.724471,6.043848,-33.241243,0.022358
0.020000,0.515130,3.284611,0.054611,0.845433,6.048117,0.213443,0.023644
0.020000,0.534455,3.285083,0.073941,0.966498,6.053241,0.256226,0.025108
0.020000,0.556201,3.285646,0.095695,1.087678,6.059013,0.288574,0.026747
0.020000,0.580371,3.286315,0.119874,1.208983,6.065260,0.312388,0.028560
0.020000,0.606968,3.287101,0.146483,1.330438,6.072748,0.374383,0.030542
0.020000,0.635995,3.288019,0.175524,1.452053,6.080715,0.398369,0.032691
0.020000,0.667454,3.289085,0.207001,1.573839,6.089312,0.429816,0.035004
0.020000,0.701348,3.290314,0.240917,1.695815,6.098800,0.474417,0.037476
0.020000,0.737680,3.291724,0.277277,1.817999,6.109213,0.520656,0.040103
0.020000,0.776455,3.293334,0.316085,1.940389,6.119501,0.514371,0.042882
0.020000,0.817675,3.295163,0.357346,2.063029,6.131985,0.624248,0.045806
0.020000,0.861344,3.297232,0.401064,2.185906,6.143863,0.593866,0.048872
0.020000,0.907466,3.299562,0.447245,2.309047,6.157071,0.660420,0.052074
0.020000,0.956045,3.302175,0.495894,2.432468,6.171047,0.698794,0.055406
0.020000,1.007085,3.305094,0.547018,2.556176,6.185367,0.715974,0.058862
0.020000,1.060591,3.308344,0.600622,2.680203,6.201347,0.799027,0.062437
0.020000,1.116566,3.311947,0.656712,2.804537,6.216726,0.768962,0.066123
0.020000,1.175014,3.315929,0.715297,2.929219,6.234071,0.867257,0.069914
0.020000,1.235942,3.320315,0.776382,3.054242,6.251178,0.855331,0.073803
0.020000,1.299352,3.325131,0.839974,3.179626,6.269182,0.900178,0.077783
0.020000,1.365249,3.330402,0.906082,3.305388,6.288107,0.946281,0.081846
