dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.481674,2.293658,0.000649,0.064935,3.246753,162.337662,0.018472
0.020000,0.481674,2.293658,0.003247,0.194805,6.493506,162.337662,0.018658
0.020000,0.481674,2.293658,0.008442,0.324675,6.493506,0.000000,0.019029
0.020000,0.481674,2.293658,0.016234,0.454545,6.493506,0.000000,0.019586
0.020000,0.491794,2.293860,0.026623,0.584416,6.493506,-0.000000,0.020327
0.020000,0.504778,2.294130,0.039610,0.714286,6.493506,0.000000,0.021252
0.020000,0.520359,2.294470,0.055195,0.844156,6.493506,0.000000,0.022358
0.020000,0.538536,2.294888,0.073377,0.974026,6.493506,0.000000,0.023644
0.020000,0.559309,2.295395,0.094156,1.103896,6.493506,0.000000,0.025108
0.020000,0.582678,2.296001,0.117532,1.233766,6.493506,0.000000,0.026747
0.020000,0.608642,2.296719,0.143506,1.363636,6.493506,-0.000000,0.028560
0.020000,0.637201,2.297563,0.172078,1.493506,6.493506,0.000000,0.030542
0.020000,0.668354,2.298548,0.203247,1.623377,6.493506,0.000000,0.032691
0.020000,0.702101,2.299691,0.237013,1.753247,6.493506,0.000000,0.035004
0.020000,0.738440,2.301009,0.273377,1.883117,6.493506,0.000000,0.037476
0.020000,0.777372,2.302520,0.312338,2.012987,6.493506,0.000000,0.040103
0.020000,0.818895,2.304244,0.353896,2.142857,6.493506,-0.000000,0.042882
0.020000,0.863007,2.306201,0.398052,2.272727,6.493506,0.000000,0.045806
0.020000,0.909708,2.308414,0.444805,2.402597,6.493506,0.000000,0.048872
0.020000,0.958996,2.310904,0.494156,2.532468,6.493506,-0.000000,0.052074
0.020000,1.010869,2.313694,0.546104,2.662338,6.493506,0.000000,0.055406
0.020000,1.065325,2.316809,0.600649,2.792208,6.493506,0.000000,0.058862
0.020000,1.122363,2.320273,0.657792,2.922078,6.493506,-0.000000,0.062437
0.020000,1.181980,2.324111,0.717532,3.051948,6.493506,0.000000,0.066123
0.020000,1.244173,2.328348,0.779870,3.181818,6.493506,-0.000000,0.069914
0.020000,1.308941,2.333010,0.844805,3.311688,6.493506,0.000000,0.073803
0.020000,1.376279,2.338124,0.912338,3.441558,6.493506,-0.000000,0.077783
0.020000,1.446186,2.343716,0.982468,3.571429,6.493506,0.000000,0.081846
0.020000,1.518657,2.349812,1.055195,3.701299,6.493506,-0.000000,0.085983
0.020000,1.593689,2.356439,1.130519,3.831169,6.493506,0.000000,0.090188
0.020000,1.671280,2.363623,1.208442,3.961039,6.493506,-0.000000,0.094451
0.020000,1.751424,2.371391,1.288961,4.090909,6.493506,0.000000,0.098765
0.020000,1.834117,2.379767,1.372078,4.220779,6.493506,0.000000,0.103119
0.020000,1.919356,2.388778,1.457792,4.350649,6.493506,-0.000000,0.107506
0.020000,2.007137,2.398448,1.546104,4.480519,6.493506,0.000000,0.111915
0.020000,2.097455,2.408801,1.637013,4.610390,6.493506,0.000000,0.116337
0.020000,2.190304,2.419862,1.730519,4.740260,6.493506,-0.000000,0.120763
0.020000,2.285682,2.431651,1.826623,4.870130,6.493506,0.000000,0.125183
0.020000,2.383584,2.444191,1.925325,5.000000,6.493506,0.000000,0.129586
0.020000,2.484004,2.457502,2.026623,5.129870,6.493506,0.000000,0.133963
0.020000,2.586939,2.471604,2.130519,5.259740,6.493506,0.000000,0.138302
0.020000,2.692383,2.486513,2.237013,5.389610,6.493506,-0.000000,0.142594
