dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.499959,1.303827,0.000649,0.064935,3.246753,162.337662,0.018472
0.020000,0.500143,1.303830,0.000834,0.009208,-2.786336,-301.654463,0.018658
0.020000,0.500511,1.303837,0.001202,0.018403,0.459710,162.302291,0.019029
0.020000,0.501063,1.303848,0.001753,0.027568,0.458295,-0.070760,0.019586
0.020000,0.511917,1.304065,0.012609,0.542802,25.761703,1265.170416,0.020327
0.020000,0.525816,1.304354,0.026511,0.695107,7.615227,-907.323801,0.021252
0.020000,0.542491,1.304717,0.043191,0.833971,6.943193,-33.601680,0.022358
0.020000,0.561941,1.305165,0.062645,0.972747,6.938826,-0.218343,0.023644
0.020000,0.584163,1.305707,0.084874,1.111425,6.933884,-0.247134,0.025108
0.020000,0.609154,1.306355,0.109874,1.249987,6.928120,-0.288211,0.026747
0.020000,0.636912,1.307123,0.137642,1.388414,6.921332,-0.339355,0.028560
0.020000,0.667433,1.308025,0.168176,1.526702,6.914394,-0.346921,0.030542
0.020000,0.700713,1.309077,0.201473,1.664831,6.906425,-0.398430,0.032691
0.020000,0.736748,1.310298,0.237528,1.802782,6.897594,-0.441570,0.035004
0.020000,0.775533,1.311704,0.276339,1.940546,6.888198,-0.469822,0.037476
0.020000,0.817064,1.313316,0.317901,2.078112,6.878270,-0.496378,0.040103
0.020000,0.861335,1.315154,0.362210,2.215444,6.866610,-0.582990,0.042882
0.020000,0.908340,1.317240,0.409262,2.352561,6.855872,-0.536889,0.045806
0.020000,0.958072,1.319596,0.459050,2.489419,6.842856,-0.650818,0.048872
0.020000,1.010526,1.322246,0.511570,2.626014,6.829780,-0.653828,0.052074
0.020000,1.065693,1.325213,0.566817,2.762334,6.816006,-0.688679,0.055406
0.020000,1.123565,1.328524,0.624784,2.898356,6.801065,-0.747055,0.058862
0.020000,1.184135,1.332202,0.685466,3.034085,6.786463,-0.730096,0.062437
0.020000,1.247394,1.336274,0.748855,3.169478,6.769653,-0.840504,0.066123
0.020000,1.313332,1.340766,0.814946,3.304549,6.753560,-0.804631,0.069914
0.020000,1.381940,1.345705,0.883732,3.439263,6.735715,-0.892272,0.073803
0.020000,1.453207,1.351117,0.955204,3.573612,6.717427,-0.914392,0.077783
0.020000,1.527122,1.357030,1.029356,3.707587,6.698752,-0.933765,0.081846
0.020000,1.603676,1.363469,1.106179,3.841182,6.679738,-0.950699,0.085983
0.020000,1.682855,1.370463,1.185666,3.974359,6.658876,-1.043096,0.090188
0.020000,1.764648,1.378036,1.267809,4.107141,6.639090,-0.989265,0.094451
0.020000,1.849042,1.386215,1.352599,4.239477,6.616791,-1.114975,0.098765
0.020000,1.936024,1.395026,1.440026,4.371384,6.595359,-1.071588,0.103119
0.020000,2.025582,1.404493,1.530083,4.502841,6.572826,-1.126650,0.107506
0.020000,2.117701,1.414641,1.622760,4.633829,6.549440,-1.169289,0.111915
0.020000,2.212369,1.425493,1.718047,4.764368,6.526945,-1.124758,0.116337
0.020000,2.309570,1.437072,1.815935,4.894402,6.501711,-1.261733,0.120763
0.020000,2.409290,1.449398,1.916415,5.023967,6.478220,-1.174552,0.125183
0.020000,2.511515,1.462492,2.019475,5.153023,6.452783,-1.271824,0.129586
0.020000,2.616231,1.476372,2.125106,5.281567,6.427236,-1.277373,0.133963
0.020000,2.723422,1.491057,2.233298,5.409599,6.401598,-1.281869,0.138302
0.020000,2.833073,1.506560,2.344041,5.537117,6.375877,-1.286060,0.142594
0.020000,2.945171,1.522898,2.457322,5.664083,6.348318,-1.377940,0.146827
0.020000,3.059699,1.540081,2.573133,5.790534,6.322565,-1.287681,0.150991
0.020000,3.176645,1.558120,2.691461,5.916417,6.294146,-1.420922,0.155075
0.020000,3.295992,1.577024,2.812296,6.041757,6.266987,-1.357941,0.159067
0.020000,3.417727,1.596797,2.935627,6.166540,6.239171,-1.390813,0.162956
0.020000,3.541836,1.617445,3.061442,6.290740,6.209998,-1.458678,0.166731
0.020000,3.668306,1.638969,3.189730,6.414387,6.182314,-1.384202,0.170380
0.020000,3.797122,1.661367,3.320479,6.537442,6.152784,-1.476467,0.173891
0.020000,3.928272,1.684635,3.453677,6.659917,6.123730,-1.452719,0.177253
0.020000,4.061744,1.708767,3.589313,6.781781,6.093180,-1.527510,0.180453
0.020000,4.197525,1.733754,3.727374,6.903049,6.063431,-1.487441,0.183479
0.020000,4.335604,1.759582,3.867848,7.023699,6.032501,-1.546489,0.186319
0.020000,4.475970,1.786237,4.010722,7.143727,6.001407,-1.554703,0.188961
0.020000,4.618613,1.813699,4.155985,7.263132,5.970238,-1.558446,0.191390
0.020000,4.763523,1.841946,4.303622,7.381874,5.937099,-1.656942,0.193595
0.020000,4.910691,1.870953,4.453622,7.499973,5.904953,-1.607300,0.195563
0.020000,5.060109,1.900688,4.605970,7.617397,5.871171,-1.689103,0.197278
0.020000,5.211769,1.931120,4.760652,7.734134,5.836849,-1.716082,0.198729
0.020000,5.365663,1.962210,4.917656,7.850170,5.801824,-1.751295,0.199900
0.020000,5.521786,1.993917,5.076965,7.965488,5.765915,-1.795444,0.200777
0.020000,5.680131,2.026195,5.238567,8.080063,5.728720,-1.859726,0.201345
0.020000,5.840693,2.058992,5.402444,8.193882,5.690952,-1.888388,0.201588
0.020000,6.003467,2.092254,5.568583,8.306915,5.651668,-1.964242,0.201492
0.020000,6.168450,2.125920,5.736965,8.419141,5.611277,-2.019548,0.201039
0.020000,6.335638,2.159925,5.907576,8.530532,5.569560,-2.085828,0.200213
0.020000,6.505026,2.194198,6.080397,8.641058,5.526293,-2.163359,0.198996
0.020000,6.676613,2.228661,6.255411,8.750683,5.481250,-2.252162,0.197370
0.020000,6.850395,2.263234,6.432599,8.859389,5.435327,-2.296128,0.195316
0.020000,7.026370,2.297826,6.611941,8.967120,5.386555,-2.438619,0.192815
0.020000,7.204534,2.332344,6.793418,9.073852,5.336572,-2.499146,0.189847
0.020000,7.384885,2.366684,6.977009,9.179542,5.284528,-2.602187,0.186391
0.020000,7.567418,2.400739,7.162692,9.284147,5.230214,-2.715689,0.182424
0.020000,7.752130,2.434392,7.350444,9.387624,5.173873,-2.817041,0.177923
0.020000,7.939016,2.467519,7.540243,9.489941,5.115837,-2.901833,0.172867
0.020000,8.128068,2.499989,7.732064,9.591037,5.054794,-3.052127,0.167229
0.020000,8.318660,2.531561,7.925253,9.659454,3.420847,-81.697376,0.161005
0.020000,8.509546,2.561908,8.118536,9.664172,0.235918,-159.246423,0.154221
0.020000,8.700107,2.590826,8.311279,9.637117,-1.352757,-79.433738,0.146890
0.020000,8.890341,2.618216,8.503475,9.609794,-1.366143,-0.669347,0.139008
0.020000,9.080246,2.643979,8.695119,9.582207,-1.379357,-0.660677,0.130568
0.020000,9.269815,2.668014,8.886206,9.554364,-1.392120,-0.638172,0.121566
0.020000,9.459042,2.690223,9.076732,9.526282,-1.404125,-0.600233,0.111997
0.020000,9.647859,2.710500,9.266635,9.495141,-1.557042,-7.645832,0.101859
0.020000,9.835586,2.728686,9.455241,9.430307,-3.241726,-84.234195,0.091188
0.020000,10.021049,2.744614,9.641386,9.307260,-6.152331,-145.530266,0.080060
0.020000,10.203688,2.758217,9.824531,9.157263,-7.499830,-67.374974,0.068526
0.020000,10.383502,2.769491,10.004698,9.008324,-7.446992,2.641904,0.056606
0.020000,10.560485,2.778438,10.181907,8.860448,-7.393784,2.660419,0.044322
0.020000,10.734633,2.785068,10.356181,8.713727,-7.336041,2.887136,0.031698
0.020000,10.905942,2.789398,10.527544,8.568165,-7.278084,2.897871,0.018758
0.020000,11.074406,2.791451,10.696021,8.423824,-7.217065,3.050922,0.005524
0.020000,11.240020,2.791255,10.861636,8.280739,-7.154269,3.139814,6.275210
0.020000,11.402781,2.788844,11.024415,8.138945,-7.089677,3.229630,6.261469
0.020000,11.562685,2.784261,11.184384,7.998472,-7.023673,3.300182,6.247513
0.020000,11.719729,2.777550,11.341571,7.859351,-6.956013,3.383015,6.233371
0.020000,11.873910,2.768762,11.496003,7.721590,-6.888080,3.396607,6.219070
0.020000,12.025229,2.757955,11.647707,7.585214,-6.818767,3.465650,6.204637
0.020000,12.173686,2.745188,11.796712,7.450229,-6.749283,3.474219,6.190101
