dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.896157,11.551542,0.000649,0.064935,3.246753,162.337662,3.147909
0.020000,17.896552,11.551544,0.001044,0.019720,-2.260729,-275.374120,3.148308
0.020000,17.897341,11.551550,0.001833,0.039458,0.986868,162.379867,3.149105
0.020000,17.895854,11.551537,0.003320,0.074372,1.745711,37.942125,3.150302
0.020000,17.887048,11.551453,0.012126,0.440304,18.296600,827.544446,3.151900
0.020000,17.876044,11.551329,0.023131,0.550207,5.495123,-640.073815,3.153903
0.020000,17.862849,11.551150,0.036328,0.659851,5.482216,-0.645366,3.156315
0.020000,17.847463,11.550902,0.051715,0.769381,5.476514,-0.285120,3.159139
0.020000,17.829898,11.550565,0.069284,0.878427,5.452302,-1.210603,3.162380
0.020000,17.810152,11.550119,0.089035,0.987539,5.455579,0.163868,3.166044
0.020000,17.788238,11.549538,0.110957,1.096108,5.428489,-1.354513,3.170137
0.020000,17.764162,11.548796,0.135044,1.204372,5.413153,-0.766779,3.174666
0.020000,17.737932,11.547863,0.161290,1.312308,5.396843,-0.815501,3.179637
0.020000,17.709558,11.546706,0.189688,1.419897,5.379424,-0.870965,3.185061
0.020000,17.679051,11.545289,0.220228,1.526969,5.353604,-1.290983,3.190944
0.020000,17.646424,11.543574,0.252900,1.633598,5.331439,-1.108236,3.197297
0.020000,17.611690,11.541518,0.287695,1.739763,5.308247,-1.159615,3.204128
0.020000,17.574864,11.539077,0.324602,1.845336,5.278672,-1.478742,3.211448
0.020000,17.535957,11.536202,0.363614,1.950634,5.264912,-0.688024,3.219269
0.020000,17.494992,11.532843,0.404717,2.055144,5.225459,-1.972614,3.227600
0.020000,17.451985,11.528943,0.447901,2.159189,5.202258,-1.160069,3.236452
0.020000,17.406955,11.524446,0.493154,2.262652,5.173174,-1.454218,3.245838
0.020000,17.359925,11.519290,0.540466,2.365596,5.147214,-1.297998,3.255768
0.020000,17.310918,11.513410,0.589824,2.467925,5.116430,-1.539176,3.266253
0.020000,17.259956,11.506738,0.641221,2.569839,5.095707,-1.036139,3.277304
0.020000,17.207066,11.499203,0.694645,2.671213,5.068709,-1.349938,3.288932
0.020000,17.152276,11.490730,0.750087,2.772083,5.043475,-1.261696,3.301145
0.020000,17.095615,11.481240,0.807538,2.872525,5.022109,-1.068308,3.313952
0.020000,17.037112,11.470652,0.866990,2.972642,5.005856,-0.812647,3.327359
0.020000,16.976800,11.458880,0.928441,3.072510,4.993384,-0.623601,3.341374
0.020000,16.914713,11.445836,0.991883,3.172131,4.981056,-0.616367,3.355997
0.020000,16.850881,11.431427,1.057321,3.271882,4.987526,0.323500,3.371232
0.020000,16.785343,11.415559,1.124752,3.371574,4.984624,-0.145132,3.387075
0.020000,16.718135,11.398133,1.194183,3.471531,4.997871,0.662370,3.403521
0.020000,16.649291,11.379047,1.265624,3.572038,5.025328,1.372871,3.420563
0.020000,16.578851,11.358198,1.339085,3.673053,5.050765,1.271812,3.438186
0.020000,16.506851,11.335477,1.414584,3.774982,5.096415,2.282527,3.456373
0.020000,16.433331,11.310774,1.492144,3.877986,5.150230,2.690743,3.475103
0.020000,16.358325,11.283977,1.571793,3.982422,5.221787,3.577820,3.494348
0.020000,16.281874,11.254972,1.653561,4.088426,5.300213,3.921339,3.514074
0.020000,16.204014,11.223641,1.737488,4.196366,5.396978,4.838256,3.534242
0.020000,16.124782,11.189867,1.823618,4.306502,5.506789,5.490512,3.554810
0.020000,16.044215,11.153530,1.912001,4.419129,5.631375,6.229300,3.575725
