dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.889904,12.541522,0.000649,0.064935,3.246753,162.337662,3.147909
0.020000,17.889904,12.541522,0.003247,0.194805,6.493506,162.337662,3.148308
0.020000,17.889904,12.541522,0.008442,0.324675,6.493506,0.000000,3.149105
0.020000,17.887232,12.541499,0.016234,0.454545,6.493506,0.000000,3.150302
0.020000,17.876844,12.541400,0.026623,0.584416,6.493506,-0.000000,3.151900
0.020000,17.863857,12.541254,0.039610,0.714286,6.493506,0.000000,3.153903
0.020000,17.848274,12.541043,0.055195,0.844156,6.493506,0.000000,3.156315
0.020000,17.830093,12.540750,0.073377,0.974026,6.493506,0.000000,3.159139
0.020000,17.809320,12.540351,0.094156,1.103896,6.493506,0.000000,3.162380
0.020000,17.785948,12.539823,0.117532,1.233766,6.493506,0.000000,3.166044
0.020000,17.759982,12.539135,0.143506,1.363636,6.493506,-0.000000,3.170137
0.020000,17.731425,12.538255,0.172078,1.493506,6.493506,0.000000,3.174666
0.020000,17.700277,12.537147,0.203247,1.623377,6.493506,0.000000,3.179637
0.020000,17.666538,12.535771,0.237013,1.753247,6.493506,0.000000,3.185061
0.020000,17.630213,12.534084,0.273377,1.883117,6.493506,0.000000,3.190944
0.020000,17.591306,12.532038,0.312338,2.012987,6.493506,0.000000,3.197297
0.020000,17.549820,12.529583,0.353896,2.142857,6.493506,-0.000000,3.204128
0.020000,17.505763,12.526663,0.398052,2.272727,6.493506,0.000000,3.211448
0.020000,17.459135,12.523217,0.444805,2.402597,6.493506,0.000000,3.219269
0.020000,17.409950,12.519183,0.494156,2.532468,6.493506,-0.000000,3.227600
0.020000,17.358214,12.514492,0.546104,2.662338,6.493506,0.000000,3.236452
0.020000,17.303940,12.509071,0.600649,2.792208,6.493506,0.000000,3.245838
0.020000,17.247137,12.502844,0.657792,2.922078,6.493506,-0.000000,3.255768
0.020000,17.187824,12.495727,0.717532,3.051948,6.493506,0.000000,3.266253
0.020000,17.126014,12.487635,0.779870,3.181818,6.493506,-0.000000,3.277304
0.020000,17.061728,12.478477,0.844805,3.311688,6.493506,0.000000,3.288932
0.020000,16.994989,12.468155,0.912338,3.441558,6.493506,-0.000000,3.301145
0.020000,16.925823,12.456571,0.982468,3.571429,6.493506,0.000000,3.313952
0.020000,16.854259,12.443619,1.055195,3.701299,6.493506,-0.000000,3.327359
0.020000,16.780330,12.429189,1.130519,3.831169,6.493506,0.000000,3.341374
0.020000,16.704075,12.413168,1.208442,3.961039,6.493506,-0.000000,3.355997
0.020000,16.625531,12.395438,1.288961,4.090909,6.493506,0.000000,3.371232
0.020000,16.544750,12.375879,1.372078,4.220779,6.493506,0.000000,3.387075
0.020000,16.461781,12.354367,1.457792,4.350649,6.493506,-0.000000,3.403521
0.020000,16.376679,12.330774,1.546104,4.480519,6.493506,0.000000,3.420563
0.020000,16.289510,12.304972,1.637013,4.610390,6.493506,0.000000,3.438186
0.020000,16.200339,12.276832,1.730519,4.740260,6.493506,-0.000000,3.456373
0.020000,16.109242,12.246224,1.826623,4.870130,6.493506,0.000000,3.475103
0.020000,16.016296,12.213017,1.925325,5.000000,6.493506,0.000000,3.494348
0.020000,15.921586,12.177085,2.026623,5.129870,6.493506,0.000000,3.514074
0.020000,15.825203,12.138300,2.130519,5.259740,6.493506,0.000000,3.534242
0.020000,15.727240,12.096542,2.237013,5.389610,6.493506,-0.000000,3.554810
0.020000,15.627797,12.051693,2.346104,5.519481,6.493506,0.000000,3.575725
0.020000,15.526977,12.003641,2.457792,5.649351,6.493506,0.000000,3.596934
0.020000,15.424883,11.952283,2.572078,5.779221,6.493506,-0.000000,3.618374
0.020000,15.321624,11.897522,2.688961,5.909091,6.493506,0.000000,3.639980
0.020000,15.217308,11.839271,2.808442,6.038961,6.493506,0.000000,3.661684
0.020000,15.112042,11.777454,2.930519,6.168831,6.493506,0.000000,3.683412
0.020000,15.005932,11.712002,3.055195,6.298701,6.493506,0.000000,3.705088
0.020000,14.899081,11.642860,3.182468,6.428571,6.493506,-0.000000,3.726636
0.020000,14.791587,11.569986,3.312338,6.558442,6.493506,0.000000,3.747978
0.020000,14.683544,11.493345,3.444805,6.688312,6.493506,-0.000000,3.769037
0.020000,14.575039,11.412918,3.579870,6.818182,6.493506,0.000000,3.789737
0.020000,14.466150,11.328697,3.717532,6.948052,6.493506,0.000000,3.810003
0.020000,14.356945,11.240682,3.857792,7.077922,6.493506,0.000000,3.829764
0.020000,14.247486,11.148888,4.000649,7.207792,6.493506,0.000000,3.848953
0.020000,14.137820,11.053338,4.146104,7.337662,6.493506,-0.000000,3.867504
0.020000,14.027984,10.954066,4.294156,7.467532,6.493506,0.000000,3.885357
0.020000,13.918004,10.851114,4.444805,7.597403,6.493506,0.000000,3.902456
0.020000,13.807892,10.744534,4.598052,7.727273,6.493506,-0.000000,3.918748
0.020000,13.697648,10.634384,4.753896,7.857143,6.493506,0.000000,3.934186
0.020000,13.587257,10.520730,4.912338,7.987013,6.493506,0.000000,3.948723
0.020000,13.476692,10.403646,5.073377,8.116883,6.493506,-0.000000,3.962320
0.020000,13.365913,10.283212,5.237013,8.246753,6.493506,0.000000,3.974936
0.020000,13.254865,10.159512,5.403247,8.376623,6.493506,-0.000000,3.986535
0.020000,13.143480,10.032637,5.572078,8.506494,6.493506,0.000000,3.997081
0.020000,13.031676,9.902686,5.743506,8.636364,6.493506,0.000000,4.006540
0.020000,12.919356,9.769760,5.917532,8.766234,6.493506,-0.000000,4.014878
0.020000,12.806411,9.633970,6.094156,8.896104,6.493506,0.000000,4.022059
0.020000,12.692714,9.495432,6.273377,9.025974,6.493506,-0.000000,4.028046
0.020000,12.578126,9.354267,6.455195,9.155844,6.493506,0.000000,4.032802
0.020000,12.462492,9.210608,6.639610,9.285714,6.493506,0.000000,4.036283
0.020000,12.345641,9.064595,6.826623,9.415584,6.493506,-0.000000,4.038445
0.020000,12.227386,8.916379,7.016234,9.545455,6.493506,0.000000,4.039239
0.020000,12.107525,8.766123,7.208442,9.675325,6.493506,-0.000000,4.038608
0.020000,11.985835,8.614002,7.403247,9.805195,6.493506,0.000000,4.036491
0.020000,11.862078,8.460211,7.600649,9.935065,6.493506,0.000000,4.032823
0.020000,11.736407,8.305461,7.800000,10.000000,3.246753,-162.337662,4.027546
0.020000,11.609384,8.150978,8.000000,10.000000,0.000000,-162.337662,4.020646
0.020000,11.481173,7.997480,8.200000,10.000000,0.000000,0.000000,4.012111
0.020000,11.351530,7.845189,8.400000,10.000000,0.000000,0.000000,4.001911
0.020000,11.220214,7.694340,8.600000,10.000000,0.000000,0.000000,3.990012
0.020000,11.086983,7.545179,8.800000,10.000000,0.000000,0.000000,3.976379
0.020000,10.951601,7.397968,9.000000,10.000000,0.000000,0.000000,3.960973
0.020000,10.813837,7.252985,9.200000,10.000000,0.000000,0.000000,3.943757
0.020000,10.673467,7.110524,9.400000,10.000000,0.000000,0.000000,3.924699
0.020000,10.530278,6.970899,9.600000,10.000000,0.000000,0.000000,3.903769
0.020000,10.384069,6.834439,9.800000,10.000000,0.000000,0.000000,3.880948
0.020000,10.234659,6.701493,10.000000,10.000000,0.000000,0.000000,3.856230
0.020000,10.081887,6.572425,10.200000,10.000000,0.000000,0.000000,3.829625
0.020000,9.925621,6.447614,10.400000,10.000000,0.000000,0.000000,3.801164
0.020000,9.765757,6.327444,10.600000,10.000000,0.000000,0.000000,3.770904
0.020000,9.602233,6.212309,10.800000,10.000000,0.000000,0.000000,3.738930
0.020000,9.435022,6.102596,11.000000,10.000000,0.000000,0.000000,3.705359
