dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.883650,13.531502,0.000649,0.064935,3.246753,162.337662,3.147909
0.020000,17.883256,13.531500,0.001044,0.019720,-2.260729,-275.374120,3.148308
0.020000,17.882467,13.531494,0.001833,0.039458,0.986868,162.379867,3.149105
0.020000,17.878610,13.531462,0.005690,0.192861,7.670170,334.165091,3.150302
0.020000,17.866640,13.531348,0.017661,0.598527,20.283281,630.655552,3.151900
0.020000,17.851670,13.531179,0.032631,0.748531,7.500206,-639.153736,3.153903
0.020000,17.833700,13.530936,0.050603,0.898589,7.502904,0.134887,3.156315
0.020000,17.812723,13.530597,0.071583,1.048978,7.519424,0.825995,3.159139
0.020000,17.788742,13.530138,0.095568,1.199271,7.514682,-0.237114,3.162380
0.020000,17.761743,13.529527,0.122574,1.350299,7.551409,1.836366,3.166044
0.020000,17.731727,13.528731,0.152600,1.501311,7.550563,-0.042308,3.170137
0.020000,17.698689,13.527713,0.185654,1.652702,7.569582,0.950978,3.174666
0.020000,17.662621,13.526430,0.221745,1.804523,7.591017,1.071733,3.179637
0.020000,17.623518,13.524836,0.260881,1.956814,7.614569,1.177613,3.185061
0.020000,17.581375,13.522879,0.303069,2.109414,7.630007,0.771905,3.190944
0.020000,17.536187,13.520503,0.348319,2.262489,7.653728,1.186021,3.197297
0.020000,17.487950,13.517648,0.396640,2.416070,7.679055,1.266373,3.204128
0.020000,17.436662,13.514248,0.448041,2.570034,7.698217,0.958113,3.211448
0.020000,17.382313,13.510232,0.502539,2.724870,7.741780,2.178106,3.219269
0.020000,17.324908,13.505524,0.560137,2.879898,7.751395,0.480755,3.227600
0.020000,17.264444,13.500041,0.620848,3.035598,7.785016,1.681076,3.236452
0.020000,17.200924,13.493697,0.684685,3.191820,7.811093,1.303862,3.245838
0.020000,17.134350,13.486398,0.751658,3.348650,7.841488,1.519704,3.255768
0.020000,17.064730,13.478045,0.821776,3.505931,7.864050,1.128131,3.266253
0.020000,16.992072,13.468533,0.895055,3.663907,7.898843,1.739640,3.277304
0.020000,16.916390,13.457750,0.971501,3.822337,7.921458,1.130731,3.288932
0.020000,16.837702,13.445581,1.051125,3.981174,7.941861,1.020158,3.301145
0.020000,16.756031,13.431902,1.133933,4.140404,7.961494,0.981640,3.313952
0.020000,16.671406,13.416586,1.219933,4.300012,7.980411,0.945891,3.327359
0.020000,16.583860,13.399498,1.309131,4.459907,7.994746,0.716716,3.341374
0.020000,16.493437,13.380500,1.401528,4.619847,7.997017,0.113577,3.355997
0.020000,16.400182,13.359449,1.497130,4.780089,8.012069,0.752579,3.371232
0.020000,16.304156,13.336199,1.595930,4.940016,7.996358,-0.785547,3.387075
0.020000,16.205427,13.310600,1.697924,5.099706,7.984496,-0.593116,3.403521
0.020000,16.104067,13.282500,1.803107,5.259128,7.971130,-0.668297,3.420563
0.020000,16.000168,13.251746,1.911461,5.417723,7.929718,-2.070574,3.438186
0.020000,15.893827,13.218188,2.022972,5.575531,7.890434,-1.964219,3.456373
0.020000,15.785154,13.181674,2.137616,5.732195,7.833194,-2.861972,3.475103
0.020000,15.674266,13.142058,2.255368,5.887597,7.770092,-3.155093,3.494348
0.020000,15.561298,13.099198,2.376193,6.041266,7.683433,-4.332964,3.514074
0.020000,15.446391,13.052960,2.500054,6.193047,7.589091,-4.717122,3.534242
0.020000,15.329698,13.003217,2.626907,6.342624,7.478819,-5.513576,3.554810
0.020000,15.211380,12.949856,2.756701,6.489734,7.355508,-6.165554,3.575725
0.020000,15.091606,12.892771,2.889383,6.634092,7.217917,-6.879553,3.596934
0.020000,14.970550,12.831875,3.024893,6.775468,7.068803,-7.455692,3.618374
0.020000,14.848394,12.767093,3.163163,6.913529,6.903031,-8.288599,3.639980
0.020000,14.725318,12.698367,3.304127,7.048217,6.734405,-8.431313,3.661684
0.020000,14.601504,12.625658,3.447713,7.179258,6.552057,-9.117404,3.683412
0.020000,14.477129,12.548941,3.593845,7.306605,6.367330,-9.236327,3.705088
0.020000,14.352368,12.468212,3.742447,7.430106,6.175077,-9.612645,3.726636
0.020000,14.227385,12.383482,3.893443,7.549799,5.984616,-9.523075,3.747978
0.020000,14.102337,12.294780,4.046756,7.665654,5.792766,-9.592493,3.769037
0.020000,13.977368,12.202152,4.202311,7.777741,5.604369,-9.419855,3.789737
0.020000,13.852608,12.105656,4.360034,7.886161,5.420968,-9.170046,3.810003
0.020000,13.728170,12.005366,4.519855,7.991048,5.244335,-8.831665,3.829764
0.020000,13.604154,11.901367,4.681706,8.092557,5.075472,-8.443157,3.848953
0.020000,13.480641,11.793754,4.845524,8.190879,4.916111,-7.968039,3.867504
0.020000,13.357692,11.682632,5.011248,8.286220,4.767052,-7.452958,3.885357
0.020000,13.235353,11.568113,5.178823,8.378756,4.626801,-7.012521,3.902456
0.020000,13.113650,11.450316,5.348197,8.468713,4.497848,-6.447684,3.918748
0.020000,12.992593,11.329365,5.519323,8.556279,4.378293,-5.977739,3.934186
0.020000,12.872174,11.205388,5.692155,8.641608,4.266457,-5.591773,3.948723
0.020000,12.752367,11.078519,5.866653,8.724911,4.165143,-5.065708,3.962320
0.020000,12.633131,10.948893,6.042778,8.806251,4.067016,-4.906352,3.974936
0.020000,12.514412,10.816648,6.220494,8.885787,3.976798,-4.510909,3.986535
0.020000,12.396138,10.681928,6.399766,8.963570,3.889143,-4.382751,3.997081
0.020000,12.278225,10.544879,6.580558,9.039624,3.802705,-4.321902,4.006540
0.020000,12.160577,10.405649,6.762838,9.113996,3.718567,-4.206882,4.014878
0.020000,12.043085,10.264394,6.946570,9.186601,3.630265,-4.415116,4.022059
0.020000,11.925627,10.121274,7.131718,9.257406,3.540238,-4.501358,4.028046
0.020000,11.808072,9.976454,7.318244,9.326288,3.444124,-4.805712,4.032802
0.020000,11.690276,9.830111,7.506106,9.393105,3.340853,-5.163536,4.036283
0.020000,11.572088,9.682427,7.695260,9.457679,3.228699,-5.607676,4.038445
0.020000,11.453344,9.533597,7.885655,9.519781,3.105098,-6.180088,4.039239
0.020000,11.333871,9.383829,8.077238,9.579158,2.968832,-6.813260,4.038608
0.020000,11.213490,9.233344,8.269949,9.635515,2.817879,-7.547673,4.036491
0.020000,11.092011,9.082382,8.463719,9.688524,2.650436,-8.372137,4.032823
0.020000,10.969633,8.931687,8.657846,9.706340,0.890778,-87.982926,4.027546
0.020000,10.846950,8.782480,8.851014,9.658414,-2.396307,-164.354257,4.020646
0.020000,10.724157,8.635466,9.042564,9.577480,-4.046664,-82.517824,4.012111
0.020000,10.601061,8.490863,9.232465,9.495060,-4.121031,-3.718335,4.001911
0.020000,10.477480,8.348898,9.420684,9.410966,-4.204686,-4.182770,3.990012
0.020000,10.353242,8.209802,9.607186,9.325069,-4.294866,-4.509013,3.976379
0.020000,10.228186,8.073816,9.791932,9.237309,-4.387962,-4.654766,3.960973
0.020000,10.102163,7.941186,9.974886,9.147724,-4.479273,-4.565574,3.943757
0.020000,9.975038,7.812163,10.156016,9.056465,-4.562931,-4.182877,3.924699
0.020000,9.846686,7.687001,10.335292,8.963798,-4.633385,-3.522709,3.903769
0.020000,9.716996,7.565953,10.512695,8.870174,-4.681159,-2.388686,3.880948
0.020000,9.585869,7.449271,10.688220,8.776229,-4.697247,-0.804402,3.856230
0.020000,9.453219,7.337198,10.861876,8.682794,-4.671767,1.274000,3.829625
0.020000,9.318971,7.229966,11.033693,8.590894,-4.595014,3.837648,3.801164
0.020000,9.183055,7.127793,11.203729,8.501794,-4.454988,7.001303,3.770904
0.020000,9.045414,7.030877,11.372068,8.416923,-4.243532,10.572786,3.738930
0.020000,8.905992,6.939392,11.538825,8.337874,-3.952476,14.552782,3.705359
0.020000,8.764738,6.853487,11.704151,8.266280,-3.579698,18.638904,3.670343
0.020000,8.602726,6.760141,11.891129,9.348929,54.132467,2885.608258,3.666811
0.020000,8.423402,6.655265,12.098871,10.387054,51.906214,-111.312667,3.674631
0.020000,8.245579,6.549495,12.305772,10.345095,-2.097918,-2700.206600,3.681603
0.020000,8.069166,6.442993,12.511841,10.303440,-2.082767,0.757572,3.687733
0.020000,7.894070,6.335916,12.717083,10.262076,-2.068187,0.728993,3.693028
0.020000,7.720197,6.228418,12.921502,10.220983,-2.054663,0.676220,3.697493
0.020000,7.547455,6.120649,13.125105,10.180131,-2.042599,0.603200,3.701132
0.020000,7.375750,6.012756,13.327895,10.139484,-2.032339,0.512997,3.703950
0.020000,7.204989,5.904881,13.529875,10.099002,-2.024125,0.410686,3.705950
0.020000,7.035452,5.797401,13.730611,10.036790,-3.110574,-54.322462,3.707133
0.020000,6.867958,5.691035,13.929024,9.920687,-5.805138,-134.728194,3.707505
0.020000,6.703132,5.586368,14.124275,9.762522,-7.908259,-105.156052,3.707090
0.020000,6.541051,5.483624,14.316177,9.595124,-8.369903,-23.082188,3.705917
0.020000,6.381618,5.382903,14.504761,9.429177,-8.297362,3.627031,3.704015
0.020000,6.224744,5.284292,14.690053,9.264626,-8.227567,3.489773,3.701412
0.020000,6.070350,5.187873,14.872082,9.101422,-8.160154,3.370637,3.698136
0.020000,5.918362,5.093715,15.050872,8.939530,-8.094628,3.276291,3.694214
0.020000,5.768715,5.001881,15.226451,8.778916,-8.030710,3.195906,3.689670
0.020000,5.621349,4.912428,15.398842,8.619551,-7.968240,3.123496,3.684530
0.020000,5.476212,4.825401,15.568070,8.461419,-7.906597,3.082172,3.678819
0.020000,5.333258,4.740843,15.734160,8.304505,-7.845683,3.045684,3.672562
0.020000,5.192447,4.658786,15.897136,8.148804,-7.785067,3.030824,3.665784
0.020000,5.053742,4.579258,16.057022,7.994309,-7.724763,3.015158,3.658507
0.020000,4.917115,4.502279,16.213843,7.841032,-7.663837,3.046308,3.650758
0.020000,4.782540,4.427864,16.367622,7.688967,-7.603261,3.028796,3.642561
0.020000,4.649996,4.356020,16.518385,7.538129,-7.541875,3.069305,3.633940
0.020000,4.519467,4.286751,16.666156,7.388535,-7.479692,3.109161,3.624921
0.020000,4.390938,4.220054,16.810959,7.240189,-7.417296,3.119783,3.615528
0.020000,4.264401,4.155919,16.952822,7.093115,-7.353730,3.178302,3.605788
0.020000,4.139849,4.094333,17.091768,6.947323,-7.289602,3.206438,3.595727
0.020000,4.017278,4.035276,17.227825,6.802827,-7.224801,3.240049,3.585369
0.020000,3.896687,3.978724,17.361018,6.659645,-7.159115,3.284271,3.574743
0.020000,3.778076,3.924648,17.491373,6.517783,-7.093060,3.302745,3.563875
0.020000,3.661449,3.873016,17.618918,6.377254,-7.026482,3.328914,3.552792
0.020000,3.546810,3.823789,17.743680,6.238061,-6.959652,3.341507,3.541520
0.020000,3.434166,3.776926,17.865684,6.100205,-6.892758,3.344696,3.530086
