dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.883607,13.456594,0.000649,0.064935,3.246753,162.337662,3.135233
0.020000,17.883158,13.456597,0.001099,0.022497,-2.121908,-268.433051,3.134778
0.020000,17.882257,13.456603,0.002000,0.045017,1.126007,162.395724,3.133869
0.020000,17.876391,13.456654,0.007866,0.293324,12.415357,564.467491,3.132503
0.020000,17.864196,13.456776,0.020062,0.609795,15.823556,170.409960,3.130678
0.020000,17.848944,13.456960,0.035315,0.762640,7.642234,-409.066110,3.128389
0.020000,17.830633,13.457227,0.053628,0.915637,7.649869,0.381755,3.125633
0.020000,17.809257,13.457602,0.075007,1.068971,7.666699,0.841541,3.122403
0.020000,17.784812,13.458117,0.099458,1.222540,7.678442,0.587114,3.118693
0.020000,17.757288,13.458805,0.126990,1.376632,7.704569,1.306372,3.114495
0.020000,17.726678,13.459706,0.157613,1.531123,7.724582,1.000631,3.109801
0.020000,17.692981,13.460866,0.191331,1.685894,7.738525,0.697160,3.104602
0.020000,17.656182,13.462333,0.228158,1.841378,7.774222,1.784865,3.098887
0.020000,17.616279,13.464162,0.268104,1.997260,7.794071,0.992455,3.092646
0.020000,17.573263,13.466416,0.311179,2.153754,7.824702,1.531555,3.085866
0.020000,17.527127,13.469159,0.357396,2.310881,7.856394,1.584583,3.078535
0.020000,17.477863,13.472464,0.406770,2.468700,7.890929,1.726723,3.070640
0.020000,17.425468,13.476411,0.459314,2.627200,7.924989,1.703020,3.062168
0.020000,17.369938,13.481084,0.515040,2.786307,7.955341,1.517578,3.053103
0.020000,17.311267,13.486575,0.573968,2.946384,8.003859,2.425900,3.043430
0.020000,17.249460,13.492982,0.636106,3.106889,8.025258,1.069973,3.033137
0.020000,17.184518,13.500412,0.701472,3.268307,8.070919,2.283049,3.022206
0.020000,17.116445,13.508977,0.770081,3.430448,8.107040,1.806056,3.010625
0.020000,17.045257,13.518798,0.841944,3.593145,8.134836,1.389811,2.998378
0.020000,16.970962,13.530001,0.917078,3.756725,8.178990,2.207686,2.985451
0.020000,16.893586,13.542721,0.995493,3.920755,8.201526,1.126776,2.971834
0.020000,16.813151,13.557101,1.077203,4.085488,8.236663,1.756882,2.957514
0.020000,16.729698,13.573288,1.162211,4.250404,8.245799,0.456765,2.942484
0.020000,16.643267,13.591437,1.250527,4.415806,8.270075,1.213836,2.926737
0.020000,16.553911,13.611708,1.342154,4.581346,8.277005,0.346473,2.910269
0.020000,16.461695,13.634265,1.437089,4.746745,8.269948,-0.352817,2.893083
0.020000,16.366692,13.659279,1.535330,4.912018,8.263633,-0.315769,2.875181
0.020000,16.268990,13.686920,1.636866,5.076823,8.240250,-1.169127,2.856575
0.020000,16.168693,13.717359,1.741680,5.240718,8.194788,-2.273105,2.837279
0.020000,16.065914,13.750770,1.849754,5.403683,8.148206,-2.329129,2.817316
