dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.889904,14.446574,0.000649,0.064935,3.246753,162.337662,3.135233
0.020000,17.889904,14.446574,0.003247,0.194805,6.493506,162.337662,3.134778
0.020000,17.889904,14.446574,0.008442,0.324675,6.493506,0.000000,3.133869
0.020000,17.885390,14.446613,0.016234,0.454545,6.493506,0.000000,3.132503
0.020000,17.875001,14.446717,0.026623,0.584416,6.493506,-0.000000,3.130678
0.020000,17.862015,14.446873,0.039610,0.714286,6.493506,0.000000,3.128389
0.020000,17.846432,14.447101,0.055195,0.844156,6.493506,0.000000,3.125633
0.020000,17.828253,14.447420,0.073377,0.974026,6.493506,0.000000,3.122403
0.020000,17.807480,14.447857,0.094156,1.103896,6.493506,0.000000,3.118693
0.020000,17.784111,14.448441,0.117532,1.233766,6.493506,0.000000,3.114495
0.020000,17.758147,14.449206,0.143506,1.363636,6.493506,-0.000000,3.109801
0.020000,17.729593,14.450188,0.172078,1.493506,6.493506,0.000000,3.104602
0.020000,17.698448,14.451430,0.203247,1.623377,6.493506,0.000000,3.098887
0.020000,17.664717,14.452977,0.237013,1.753247,6.493506,0.000000,3.092646
0.020000,17.628404,14.454879,0.273377,1.883117,6.493506,0.000000,3.085866
0.020000,17.589512,14.457191,0.312338,2.012987,6.493506,0.000000,3.078535
0.020000,17.548047,14.459973,0.353896,2.142857,6.493506,-0.000000,3.070640
0.020000,17.504016,14.463290,0.398052,2.272727,6.493506,0.000000,3.062168
0.020000,17.457429,14.467210,0.444805,2.402597,6.493506,0.000000,3.053103
0.020000,17.408291,14.471809,0.494156,2.532468,6.493506,-0.000000,3.043430
0.020000,17.356621,14.477165,0.546104,2.662338,6.493506,0.000000,3.033137
0.020000,17.302429,14.483365,0.600649,2.792208,6.493506,0.000000,3.022206
0.020000,17.245733,14.490499,0.657792,2.922078,6.493506,-0.000000,3.010625
0.020000,17.186555,14.498662,0.717532,3.051948,6.493506,0.000000,2.998378
0.020000,17.124915,14.507957,0.779870,3.181818,6.493506,-0.000000,2.985451
0.020000,17.060841,14.518491,0.844805,3.311688,6.493506,0.000000,2.971834
0.020000,16.994362,14.530376,0.912338,3.441558,6.493506,-0.000000,2.957514
0.020000,16.925516,14.543729,0.982468,3.571429,6.493506,0.000000,2.942484
0.020000,16.854342,14.558674,1.055195,3.701299,6.493506,-0.000000,2.926737
0.020000,16.780884,14.575338,1.130519,3.831169,6.493506,0.000000,2.910269
0.020000,16.705195,14.593852,1.208442,3.961039,6.493506,-0.000000,2.893083
0.020000,16.627331,14.614354,1.288961,4.090909,6.493506,0.000000,2.875181
0.020000,16.547353,14.636980,1.372078,4.220779,6.493506,0.000000,2.856575
0.020000,16.465335,14.661872,1.457792,4.350649,6.493506,-0.000000,2.837279
0.020000,16.381351,14.689172,1.546104,4.480519,6.493506,0.000000,2.817316
0.020000,16.295484,14.719023,1.637013,4.610390,6.493506,0.000000,2.796714
0.020000,16.207825,14.751567,1.730519,4.740260,6.493506,-0.000000,2.775509
0.020000,16.118471,14.786942,1.826623,4.870130,6.493506,0.000000,2.753745
0.020000,16.027525,14.825286,1.925325,5.000000,6.493506,0.000000,2.731474
0.020000,15.935094,14.866729,2.026623,5.129870,6.493506,0.000000,2.708755
0.020000,15.841292,14.911395,2.130519,5.259740,6.493506,0.000000,2.685657
0.020000,15.746235,14.959401,2.237013,5.389610,6.493506,-0.000000,2.662254
0.020000,15.650044,15.010854,2.346104,5.519481,6.493506,0.000000,2.638629
0.020000,15.552838,15.065852,2.457792,5.649351,6.493506,0.000000,2.614870
0.020000,15.454739,15.124478,2.572078,5.779221,6.493506,-0.000000,2.591069
0.020000,15.355863,15.186806,2.688961,5.909091,6.493506,0.000000,2.567324
0.020000,15.256328,15.252893,2.808442,6.038961,6.493506,0.000000,2.543733
0.020000,15.156241,15.322786,2.930519,6.168831,6.493506,0.000000,2.520395
0.020000,15.055705,15.396514,3.055195,6.298701,6.493506,0.000000,2.497410
0.020000,14.954815,15.474095,3.182468,6.428571,6.493506,-0.000000,2.474876
0.020000,14.853654,15.555532,3.312338,6.558442,6.493506,0.000000,2.452885
0.020000,14.752295,15.640816,3.444805,6.688312,6.493506,-0.000000,2.431527
0.020000,14.650797,15.729923,3.579870,6.818182,6.493506,0.000000,2.410888
0.020000,14.549207,15.822819,3.717532,6.948052,6.493506,0.000000,2.391047
0.020000,14.447556,15.919459,3.857792,7.077922,6.493506,0.000000,2.372076
0.020000,14.345862,16.019789,4.000649,7.207792,6.493506,0.000000,2.354043
0.020000,14.244126,16.123742,4.146104,7.337662,6.493506,-0.000000,2.337011
0.020000,14.142334,16.231246,4.294156,7.467532,6.493506,0.000000,2.321036
0.020000,14.040455,16.342221,4.444805,7.597403,6.493506,0.000000,2.306170
0.020000,13.938442,16.456579,4.598052,7.727273,6.493506,-0.000000,2.292461
