dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.896200,15.436554,0.000649,0.064935,3.246753,162.337662,3.135233
0.020000,17.896650,15.436551,0.001099,0.022497,-2.121908,-268.433051,3.134778
0.020000,17.897551,15.436544,0.002000,0.045017,1.126007,162.395724,3.133869
0.020000,17.894389,15.436572,0.005162,0.158096,5.653943,226.396799,3.132503
0.020000,17.885807,15.436658,0.013744,0.429129,13.551654,394.885542,3.130678
0.020000,17.875086,15.436787,0.024466,0.536094,5.348263,-410.169518,3.128389
0.020000,17.862232,15.436974,0.037321,0.642770,5.333806,-0.722861,3.125633
0.020000,17.847250,15.437238,0.052306,0.749208,5.321871,-0.596725,3.122403
0.020000,17.830148,15.437598,0.069411,0.855257,5.302458,-0.970648,3.118693
0.020000,17.810933,15.438078,0.088632,0.961042,5.289233,-0.661260,3.114495
0.020000,17.789615,15.438706,0.109960,1.066399,5.267889,-1.067205,3.109801
0.020000,17.766205,15.439511,0.133383,1.171171,5.238594,-1.464767,3.104602
0.020000,17.740714,15.440527,0.158895,1.275587,5.220775,-0.890933,3.098887
0.020000,17.713156,15.441791,0.186482,1.379355,5.188434,-1.617056,3.092646
0.020000,17.683545,15.443342,0.216133,1.482560,5.160234,-1.410017,3.085866
0.020000,17.651898,15.445224,0.247836,1.585153,5.129639,-1.529757,3.078535
0.020000,17.618231,15.447483,0.281578,1.687116,5.098151,-1.574356,3.070640
0.020000,17.582564,15.450169,0.317346,1.788393,5.063853,-1.714948,3.062168
0.020000,17.544919,15.453337,0.355124,1.888893,5.025014,-1.941944,3.053103
0.020000,17.505316,15.457043,0.394901,1.988833,4.996975,-1.401941,3.043430
0.020000,17.463782,15.461349,0.436657,2.087828,4.949761,-2.360671,3.033137
0.020000,17.420341,15.466318,0.480381,2.186205,4.918861,-1.545002,3.022206
0.020000,17.375021,15.472021,0.526058,2.283853,4.882374,-1.824383,3.010625
0.020000,17.327854,15.478527,0.573672,2.380699,4.842330,-2.002180,2.998378
0.020000,17.278867,15.485914,0.623213,2.477026,4.816349,-1.299053,2.985451
