dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.169194,18.260574,0.000653,0.065266,3.263304,163.165186,6.244734
0.020000,6.168883,18.260585,0.000964,0.015562,-2.485192,-287.424801,6.245049
0.020000,6.168261,18.260609,0.001587,0.031136,0.778670,163.193093,6.245678
0.020000,6.167327,18.260644,0.002521,0.046731,0.779783,0.055696,6.246622
0.020000,6.176102,18.260328,0.011302,0.439033,19.615076,941.764648,6.247882
0.020000,6.187585,18.259932,0.022792,0.574505,6.773590,-642.074315,6.249461
0.020000,6.201361,18.259480,0.036575,0.689152,5.732371,-52.060936,6.251361
0.020000,6.217427,18.258987,0.052649,0.803698,5.727293,-0.253925,6.253584
0.020000,6.235781,18.258467,0.071010,0.918036,5.716884,-0.520436,6.256133
0.020000,6.256417,18.257938,0.091653,1.032157,5.706064,-0.540988,6.259013
0.020000,6.279337,18.257421,0.114579,1.146299,5.707101,0.051843,6.262227
0.020000,6.304532,18.256937,0.139779,1.259993,5.684694,-1.120368,6.265780
0.020000,6.331999,18.256513,0.167248,1.373487,5.674704,-0.499497,6.269677
0.020000,6.361732,18.256174,0.196984,1.486768,5.664055,-0.532444,6.273922
0.020000,6.393726,18.255951,0.228978,1.599727,5.647971,-0.804220,6.278523
0.020000,6.427971,18.255876,0.263224,1.712264,5.626821,-1.057498,0.000299
0.020000,6.464468,18.255984,0.299721,1.824848,5.629187,0.118309,0.005628
0.020000,6.503201,18.256313,0.338455,1.936700,5.592601,-1.829302,0.011332
0.020000,6.544163,18.256901,0.379421,2.048325,5.581259,-0.567089,0.017417
0.020000,6.587346,18.257793,0.422613,2.159617,5.564597,-0.833089,0.023892
0.020000,6.632738,18.259034,0.468023,2.270469,5.542604,-1.099678,0.030764
0.020000,6.680326,18.260671,0.515639,2.380809,5.517007,-1.279850,0.038042
0.020000,6.730104,18.262757,0.565460,2.491044,5.511736,-0.263525,0.045734
0.020000,6.782051,18.265345,0.617471,2.600578,5.476732,-1.750230,0.053848
0.020000,6.836154,18.268493,0.671667,2.709757,5.458955,-0.888835,0.062394
0.020000,6.892399,18.272260,0.728037,2.818511,5.437661,-1.064713,0.071379
0.020000,6.950765,18.276710,0.786572,2.926779,5.413427,-1.211703,0.080812
0.020000,7.011239,18.281908,0.847270,3.034875,5.404773,-0.432671,0.090703
