dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.131137,17.271305,0.000653,0.065266,3.263304,163.165186,6.244734
0.020000,6.131137,17.271305,0.003263,0.195798,6.526607,163.165186,6.245049
0.020000,6.131137,17.271305,0.008485,0.326330,6.526607,0.000000,6.245678
0.020000,6.131137,17.271305,0.016317,0.456863,6.526607,0.000000,6.246622
0.020000,6.141159,17.270945,0.026759,0.587395,6.526607,0.000000,6.247882
0.020000,6.154205,17.270495,0.039812,0.717927,6.526607,0.000000,6.249461
0.020000,6.169860,17.269982,0.055476,0.848459,6.526607,-0.000000,6.251361
0.020000,6.188126,17.269420,0.073751,0.978991,6.526607,0.000000,6.253584
0.020000,6.209003,17.268829,0.094636,1.109523,6.526607,-0.000000,6.256133
0.020000,6.232489,17.268227,0.118132,1.240055,6.526607,0.000000,6.259013
0.020000,6.258590,17.267638,0.144238,1.370588,6.526607,0.000000,6.262227
0.020000,6.287302,17.267087,0.172955,1.501120,6.526607,-0.000000,6.265780
0.020000,6.318626,17.266603,0.204283,1.631652,6.526607,0.000000,6.269677
0.020000,6.352562,17.266216,0.238221,1.762184,6.526607,-0.000000,6.273922
0.020000,6.389110,17.265962,0.274770,1.892716,6.526607,0.000000,6.278523
0.020000,6.428267,17.265876,0.313930,2.023248,6.526607,0.000000,0.000299
0.020000,6.470040,17.266000,0.355700,2.153780,6.526607,0.000000,0.005628
0.020000,6.514419,17.266376,0.400081,2.284313,6.526607,0.000000,0.011332
0.020000,6.561405,17.267051,0.447073,2.414845,6.526607,0.000000,0.017417
0.020000,6.610997,17.268076,0.496675,2.545377,6.526607,0.000000,0.023892
0.020000,6.663190,17.269502,0.548888,2.675909,6.526607,0.000000,0.030764
0.020000,6.717979,17.271387,0.603711,2.806441,6.526607,-0.000000,0.038042
0.020000,6.775365,17.273792,0.661145,2.936973,6.526607,0.000000,0.045734
0.020000,6.835335,17.276780,0.721190,3.067506,6.526607,0.000000,0.053848
0.020000,6.897884,17.280420,0.783846,3.198038,6.526607,0.000000,0.062394
0.020000,6.963004,17.284781,0.849112,3.328570,6.526607,0.000000,0.071379
0.020000,7.030682,17.289941,0.916988,3.459102,6.526607,-0.000000,0.080812
0.020000,7.100912,17.295978,0.987476,3.589634,6.526607,-0.000000,0.090703
0.020000,7.173674,17.302975,1.060574,3.720166,6.526607,0.000000,0.101058
0.020000,7.248953,17.311020,1.136282,3.850698,6.526607,0.000000,0.111885
0.020000,7.326732,17.320203,1.214602,3.981231,6.526607,-0.000000,0.123192
0.020000,7.406987,17.330620,1.295532,4.111763,6.526607,0.000000,0.134984
0.020000,7.489698,17.342370,1.379072,4.242295,6.526607,0.000000,0.147267
0.020000,7.574833,17.355555,1.465223,4.372827,6.526607,-0.000000,0.160046
0.020000,7.662364,17.370281,1.553985,4.503359,6.526607,0.000000,0.173323
0.020000,7.752256,17.386657,1.645358,4.633891,6.526607,-0.000000,0.187099
0.020000,7.844470,17.404797,1.739341,4.764423,6.526607,0.000000,0.201374
0.020000,7.938967,17.424815,1.835935,4.894956,6.526607,0.000000,0.216146
0.020000,8.035697,17.446829,1.935139,5.025488,6.526607,-0.000000,0.231409
0.020000,8.134610,17.470958,2.036954,5.156020,6.526607,0.000000,0.247156
0.020000,8.235650,17.497325,2.141380,5.286552,6.526607,-0.000000,0.263377
0.020000,8.338759,17.526052,2.248416,5.417084,6.526607,0.000000,0.280057
0.020000,8.443870,17.557260,2.358063,5.547616,6.526607,0.000000,0.297181
0.020000,8.550913,17.591072,2.470321,5.678148,6.526607,-0.000000,0.314727
0.020000,8.659813,17.627608,2.585189,5.808681,6.526607,0.000000,0.332671
0.020000,8.770493,17.666988,2.702668,5.939213,6.526607,0.000000,0.350986
0.020000,8.882869,17.709328,2.822758,6.069745,6.526607,0.000000,0.369639
0.020000,8.996854,17.754739,2.945458,6.200277,6.526607,-0.000000,0.388594
0.020000,9.112359,17.803331,3.070769,6.330809,6.526607,0.000000,0.407813
0.020000,9.229288,17.855205,3.198690,6.461341,6.526607,-0.000000,0.427252
0.020000,9.347547,17.910458,3.329222,6.591874,6.526607,0.000000,0.446864
0.020000,9.467039,17.969178,3.462365,6.722406,6.526607,0.000000,0.466600
0.020000,9.587666,18.031447,3.598119,6.852938,6.526607,-0.000000,0.486407
0.020000,9.709332,18.097338,3.736483,6.983470,6.526607,0.000000,0.506231
0.020000,9.831938,18.166914,3.877457,7.114002,6.526607,0.000000,0.526017
0.020000,9.955392,18.240229,4.021043,7.244534,6.526607,0.000000,0.545707
0.020000,10.079602,18.317330,4.167239,7.375066,6.526607,-0.000000,0.565243
0.020000,10.204481,18.398249,4.316046,7.505599,6.526607,0.000000,0.584568
0.020000,10.329947,18.483011,4.467463,7.636131,6.526607,-0.000000,0.603624
0.020000,10.455925,18.571632,4.621491,7.766663,6.526607,0.000000,0.622357
0.020000,10.582344,18.664115,4.778129,7.897195,6.526607,0.000000,0.640712
0.020000,10.709143,18.760456,4.937379,8.027727,6.526607,-0.000000,0.658637
0.020000,10.836269,18.860640,5.099238,8.158259,6.526607,0.000000,0.676081
0.020000,10.963678,18.964645,5.263709,8.288791,6.526607,0.000000,0.692999
0.020000,11.091333,19.072439,5.430790,8.419324,6.526607,0.000000,0.709344
0.020000,11.219211,19.183983,5.600482,8.549856,6.526607,-0.000000,0.725077
0.020000,11.347295,19.299230,5.772784,8.680388,6.526607,0.000000,0.740158
0.020000,11.475582,19.418128,5.947697,8.810920,6.526607,0.000000,0.754550
0.020000,11.604077,19.540615,6.125221,8.941452,6.526607,0.000000,0.768221
0.020000,11.732798,19.666626,6.305355,9.071984,6.526607,0.000000,0.781139
0.020000,11.861773,19.796089,6.488100,9.202517,6.526607,-0.000000,0.793275
0.020000,11.991041,19.928928,6.673456,9.333049,6.526607,0.000000,0.804602
0.020000,12.120205,20.064585,6.860770,9.398315,3.263304,-163.165186,0.815057
0.020000,12.248143,20.201665,7.048278,9.352529,-2.289302,-277.630285,0.824543
0.020000,12.373787,20.338731,7.234218,9.241477,-5.552606,-163.165186,0.832997
0.020000,12.496721,20.474996,7.417742,9.110944,-6.526607,-48.700087,0.840424
0.020000,12.616972,20.610160,7.598656,8.980412,-6.526607,0.000000,0.846867
0.020000,12.734691,20.744079,7.776959,8.849880,-6.526607,0.000000,0.852376
0.020000,12.850016,20.876623,7.952651,8.719348,-6.526607,-0.000000,0.856998
0.020000,12.963078,21.007673,8.125733,8.588816,-6.526607,0.000000,0.860775
