dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.093080,16.282037,0.000653,0.065266,3.263304,163.165186,6.244734
0.020000,6.093391,16.282025,0.000964,0.015562,-2.485192,-287.424801,6.245049
0.020000,6.094013,16.282002,0.001587,0.031136,0.778670,163.193093,6.245678
0.020000,6.094947,16.281967,0.002521,0.046731,0.779783,0.055696,6.246622
0.020000,6.106217,16.281562,0.013798,0.563846,25.855722,1253.796925,6.247882
0.020000,6.120824,16.281058,0.028414,0.730809,8.348180,-875.377092,6.249461
0.020000,6.138359,16.280483,0.045959,0.877208,7.319930,-51.412507,6.251361
0.020000,6.158825,16.279854,0.066434,1.023782,7.328712,0.439086,6.253584
0.020000,6.182224,16.279191,0.089843,1.170447,7.333232,0.226014,6.256133
0.020000,6.208561,16.278516,0.116188,1.317242,7.339736,0.325185,6.259013
0.020000,6.237844,16.277855,0.145478,1.464519,7.363891,1.207773,6.262227
0.020000,6.270072,16.277237,0.177713,1.611731,7.360595,-0.164787,6.265780
0.020000,6.305253,16.276693,0.212898,1.759243,7.375603,0.750375,6.269677
0.020000,6.343392,16.276259,0.251040,1.907087,7.392202,0.829964,6.273922
0.020000,6.384495,16.275973,0.292143,2.055172,7.404209,0.600317,6.278523
0.020000,6.428563,16.275876,0.336211,2.203411,7.411989,0.389001,0.000299
0.020000,6.475612,16.276016,0.383260,2.352457,7.452289,2.015001,0.005628
0.020000,6.525637,16.276440,0.433287,2.501348,7.444544,-0.387225,0.011332
0.020000,6.578647,16.277202,0.486303,2.650774,7.471315,1.338550,0.017417
0.020000,6.634648,16.278358,0.542316,2.800636,7.493102,1.089365,0.023892
0.020000,6.693642,16.279971,0.601332,2.950829,7.509645,0.827151,0.030764
0.020000,6.755631,16.282104,0.663358,3.101287,7.522904,0.662940,0.038042
0.020000,6.820625,16.284827,0.728409,3.252564,7.563841,2.046851,0.045734
0.020000,6.888619,16.288215,0.796487,3.403901,7.566863,0.151094,0.053848
0.020000,6.959614,16.292346,0.867602,3.555758,7.592819,1.297804,0.062394
0.020000,7.033609,16.297302,0.941763,3.708042,7.614228,1.070434,0.071379
0.020000,7.110599,16.303172,1.018977,3.860668,7.631284,0.852810,0.080812
0.020000,7.190585,16.310047,1.099257,4.014025,7.667874,1.829476,0.090703
0.020000,7.273551,16.318026,1.182606,4.167442,7.670809,0.146756,0.101058
0.020000,7.359488,16.327210,1.269033,4.321349,7.695372,1.228145,0.111885
0.020000,7.448383,16.337706,1.358545,4.475622,7.713671,0.914975,0.123192
0.020000,7.540215,16.349626,1.451147,4.630100,7.723887,0.510816,0.134984
0.020000,7.634966,16.363086,1.546849,4.785099,7.749947,1.302988,0.147267
0.020000,7.732603,16.378207,1.645650,4.940044,7.747242,-0.135241,0.160046
0.020000,7.833095,16.395114,1.747555,5.095255,7.760546,0.665182,0.173323
0.020000,7.936405,16.413935,1.852566,5.250520,7.763266,0.136024,0.187099
0.020000,8.042485,16.434802,1.960678,5.405635,7.755715,-0.377560,0.201374
0.020000,8.151289,16.457851,2.071897,5.560922,7.764349,0.431677,0.216146
0.020000,8.262753,16.483218,2.186211,5.715697,7.738753,-1.279808,0.231409
0.020000,8.376811,16.511043,2.303614,5.870157,7.723016,-0.786809,0.247156
0.020000,8.493389,16.541464,2.424095,6.024072,7.695752,-1.363216,0.263377
0.020000,8.612406,16.574623,2.547645,6.177491,7.670928,-1.241226,0.280057
0.020000,8.733767,16.610656,2.674243,6.329881,7.619520,-2.570385,0.297181
0.020000,8.857374,16.649699,2.803869,6.481321,7.571990,-2.376477,0.314727
0.020000,8.983116,16.691886,2.936500,6.631548,7.511361,-3.031470,0.332671
0.020000,9.110879,16.737344,3.072109,6.780421,7.443673,-3.384399,0.350986
0.020000,9.240535,16.786194,3.210662,6.927658,7.361840,-4.091657,0.369639
0.020000,9.371954,16.838551,3.352126,7.073213,7.277762,-4.203870,0.388594
0.020000,9.504995,16.894521,3.496462,7.216778,7.178209,-4.977657,0.407813
0.020000,9.639516,16.954198,3.643625,7.358180,7.070126,-5.404162,0.427252
0.020000,9.775365,17.017669,3.793570,7.497269,6.954434,-5.784599,0.446864
0.020000,9.912393,17.085006,3.946249,7.633923,6.832691,-6.087177,0.466600
0.020000,10.050445,17.156269,4.101609,7.768008,6.704264,-6.421338,0.486407
0.020000,10.189367,17.231505,4.259597,7.899383,6.568766,-6.774882,0.506231
0.020000,10.329010,17.310748,4.420156,8.027982,6.429957,-6.940479,0.526017
0.020000,10.469224,17.394016,4.583232,8.153765,6.289133,-7.041201,0.545707
0.020000,10.609866,17.481316,4.748766,8.276701,6.146793,-7.116968,0.565243
0.020000,10.750801,17.572638,4.916701,8.396781,6.004009,-7.139194,0.584568
0.020000,10.891901,17.667960,5.086982,8.514043,5.863108,-7.045088,0.603624
0.020000,11.033047,17.767250,5.259553,8.628543,5.724981,-6.906317,0.622357
0.020000,11.174133,17.870461,5.434360,8.740366,5.591149,-6.691638,0.640712
0.020000,11.315062,17.977536,5.611353,8.849607,5.462062,-6.454308,0.658637
0.020000,11.455753,18.088409,5.790480,8.956388,5.339036,-6.151325,0.676081
0.020000,11.596136,18.203004,5.971697,9.060822,5.221703,-5.866624,0.692999
0.020000,11.736156,18.321238,6.154958,9.163080,5.112891,-5.440599,0.709344
0.020000,11.875772,18.443019,6.340223,9.263252,5.008591,-5.215037,0.725077
0.020000,12.014955,18.568252,6.527454,9.361523,4.913563,-4.751394,0.740158
0.020000,12.153693,18.696834,6.716614,9.458003,4.823989,-4.478691,0.754550
0.020000,12.291986,18.828658,6.907670,9.552825,4.741113,-4.143818,0.768221
0.020000,12.429846,18.963615,7.100592,9.646095,4.663529,-3.879170,0.781139
0.020000,12.567301,19.101589,7.295351,9.737917,4.591055,-3.623718,0.793275
0.020000,12.704390,19.242463,7.491918,9.828384,4.523363,-3.384586,0.804602
0.020000,12.840692,19.385616,7.689582,9.883209,2.741261,-89.105115,0.815057
0.020000,12.975039,19.529562,7.886481,9.844948,-1.913031,-232.714580,0.824543
0.020000,13.106338,19.672796,8.080790,9.715405,-6.477162,-228.206579,0.832997
0.020000,13.234198,19.814521,8.271666,9.543824,-8.579047,-105.094211,0.840424
0.020000,13.358689,19.954450,8.458958,9.364608,-8.960818,-19.088556,0.846867
0.020000,13.480009,20.092465,8.642715,9.187837,-8.838564,6.112690,0.852376
0.020000,13.598337,20.228460,8.822982,9.013371,-8.723288,5.763803,0.856998
0.020000,13.713843,20.362342,8.999804,8.841089,-8.614068,5.461009,0.860775
0.020000,13.826681,20.494027,9.173221,8.670853,-8.511838,5.111506,0.863751
0.020000,13.936994,20.623443,9.343273,8.502571,-8.414074,4.888170,0.865965
0.020000,14.044913,20.750526,9.509995,8.336117,-8.322708,4.568321,0.867452
0.020000,14.150557,20.875217,9.673423,8.171397,-8.235994,4.335702,0.868249
0.020000,14.254036,20.997469,9.833589,8.008321,-8.153792,4.110062,0.868388
0.020000,14.355448,21.117237,9.990525,7.846805,-8.075829,3.898180,0.867902
0.020000,14.454885,21.234484,10.144261,7.686774,-8.001531,3.714900,0.866819
0.020000,14.552427,21.349179,10.294824,7.528166,-7.930411,3.555976,0.865170
0.020000,14.648147,21.461295,10.442243,7.370916,-7.862483,3.396439,0.862980
0.020000,14.742110,21.570809,10.586542,7.214982,-7.796733,3.287461,0.860278
