dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.983839,18.326869,0.000646,0.064557,3.227858,161.392888,0.016076
0.020000,5.984720,18.326883,0.001526,0.044024,-1.026653,-212.725516,0.015187
0.020000,5.986615,18.326910,0.003421,0.094753,2.536421,178.153686,0.013406
0.020000,5.997012,18.327035,0.013819,0.519888,21.256779,936.017879,0.010729
0.020000,6.010891,18.327159,0.027699,0.694000,8.705603,-627.558765,0.007143
0.020000,6.028264,18.327244,0.045072,0.868653,8.732661,1.352900,0.002637
0.020000,6.049148,18.327242,0.065956,1.044213,8.777966,2.265252,6.280377
0.020000,6.073560,18.327096,0.090369,1.220633,8.821020,2.152688,6.273975
0.020000,6.101526,18.326735,0.118337,1.398421,8.889418,3.419875,6.266593
0.020000,6.133065,18.326079,0.149882,1.577246,8.941220,2.590106,6.258204
0.020000,6.168201,18.325036,0.185034,1.757611,9.018249,3.851457,6.248780
0.020000,6.206959,18.323499,0.223822,1.939387,9.088791,3.527117,6.238292
0.020000,6.249363,18.321348,0.266281,2.122945,9.177939,4.457376,6.226703
0.020000,6.295438,18.318449,0.312447,2.308315,9.268491,4.527629,6.213980
0.020000,6.345197,18.314653,0.362351,2.495183,9.343384,3.744630,6.200089
0.020000,6.398658,18.309795,0.416032,2.684042,9.442967,4.979132,6.184990
0.020000,6.455826,18.303692,0.473525,2.874652,9.530491,4.376230,6.168651
0.020000,6.516695,18.296147,0.534859,3.066723,9.603521,3.651476,6.151037
0.020000,6.581251,18.286945,0.600069,3.260475,9.687613,4.204616,6.132119
0.020000,6.649461,18.275855,0.669174,3.455249,9.738727,2.555701,6.111874
0.020000,6.721272,18.262632,0.742192,3.650914,9.783229,2.225102,6.090284
0.020000,6.796608,18.247019,0.819130,3.846870,9.797780,0.727556,6.067343
0.020000,6.875366,18.228747,0.899979,4.042458,9.779403,-0.918864,6.043059
0.020000,6.957411,18.207542,0.984720,4.237077,9.730958,-2.422247,6.017452
0.020000,7.042572,18.183130,1.073310,4.429499,9.621118,-5.492021,5.990565
0.020000,7.130642,18.155242,1.165691,4.619042,9.477154,-7.198176,5.962457
0.020000,7.221375,18.123620,1.261776,4.804266,9.261191,-10.798156,5.933216
0.020000,7.314485,18.088029,1.361457,4.984036,8.988480,-13.635557,5.902950
0.020000,7.409652,18.048260,1.464599,5.157093,8.652882,-16.779880,5.871796
0.020000,7.506522,18.004143,1.571042,5.322156,8.253115,-19.988371,5.839916
0.020000,7.604719,17.955550,1.680604,5.478110,7.797712,-22.770123,5.807493
0.020000,7.703850,17.902405,1.793083,5.623913,7.290162,-25.377498,5.774733
0.020000,7.803518,17.844681,1.908260,5.758851,6.746906,-27.162825,5.741855
