dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.999754,17.336997,0.000646,0.064557,3.227858,161.392888,0.016076
0.020000,5.999754,17.336997,0.003228,0.193671,6.455716,161.392888,0.015187
0.020000,5.999887,17.336998,0.008392,0.322786,6.455716,-0.000000,0.013406
0.020000,6.007633,17.337092,0.016139,0.451900,6.455716,-0.000000,0.010729
0.020000,6.017963,17.337184,0.026468,0.581014,6.455716,0.000000,0.007143
0.020000,6.030874,17.337247,0.039380,0.710129,6.455716,0.000000,0.002637
0.020000,6.046368,17.337246,0.054874,0.839243,6.455716,-0.000000,6.280377
0.020000,6.064443,17.337138,0.072950,0.968357,6.455716,0.000000,6.273975
0.020000,6.085100,17.336871,0.093608,1.097472,6.455716,0.000000,6.266593
0.020000,6.108336,17.336388,0.116848,1.226586,6.455716,-0.000000,6.258204
0.020000,6.134147,17.335622,0.142671,1.355700,6.455716,0.000000,6.248780
0.020000,6.162529,17.334496,0.171076,1.484815,6.455716,0.000000,6.238292
0.020000,6.193475,17.332927,0.202064,1.613929,6.455716,0.000000,6.226703
0.020000,6.226980,17.330819,0.235634,1.743043,6.455716,0.000000,6.213980
0.020000,6.263026,17.328069,0.271786,1.872158,6.455716,-0.000000,6.200089
0.020000,6.301601,17.324564,0.310520,2.001272,6.455716,0.000000,6.184990
0.020000,6.342684,17.320178,0.351836,2.130386,6.455716,0.000000,6.168651
0.020000,6.386248,17.314778,0.395735,2.259500,6.455716,0.000000,6.151037
0.020000,6.432264,17.308219,0.442217,2.388615,6.455716,0.000000,6.132119
0.020000,6.480691,17.300346,0.491280,2.517729,6.455716,-0.000000,6.111874
0.020000,6.531482,17.290995,0.542926,2.646843,6.455716,0.000000,6.090284
0.020000,6.584580,17.279990,0.597154,2.775958,6.455716,0.000000,6.067343
0.020000,6.639919,17.267152,0.653964,2.905072,6.455716,0.000000,6.043059
0.020000,6.697421,17.252291,0.713357,3.034186,6.455716,-0.000000,6.017452
0.020000,6.756994,17.235214,0.775331,3.163301,6.455716,0.000000,5.990565
0.020000,6.818537,17.215726,0.839889,3.292415,6.455716,0.000000,5.962457
0.020000,6.881935,17.193631,0.907028,3.421529,6.455716,-0.000000,5.933216
0.020000,6.947058,17.168737,0.976750,3.550644,6.455716,0.000000,5.902950
0.020000,7.013768,17.140859,1.049054,3.679758,6.455716,0.000000,5.871796
0.020000,7.081916,17.109822,1.123940,3.808872,6.455716,-0.000000,5.839916
0.020000,7.151345,17.075464,1.201409,3.937986,6.455716,0.000000,5.807493
0.020000,7.221892,17.037640,1.281460,4.067101,6.455716,-0.000000,5.774733
0.020000,7.293394,16.996227,1.364093,4.196215,6.455716,0.000000,5.741855
0.020000,7.365689,16.951122,1.449308,4.325329,6.455716,-0.000000,5.709089
0.020000,7.438620,16.902246,1.537106,4.454444,6.455716,0.000000,5.676669
0.020000,7.512039,16.849545,1.627486,4.583558,6.455716,0.000000,5.644824
0.020000,7.585815,16.792990,1.720448,4.712672,6.455716,0.000000,5.613776
0.020000,7.659828,16.732574,1.815993,4.841787,6.455716,0.000000,5.583733
0.020000,7.733982,16.668313,1.914120,4.970901,6.455716,0.000000,5.554884
0.020000,7.808199,16.600244,2.014829,5.100015,6.455716,-0.000000,5.527401
0.020000,7.882426,16.528418,2.118120,5.229130,6.455716,0.000000,5.501431
0.020000,7.956633,16.452907,2.223994,5.358244,6.455716,0.000000,5.477102
0.020000,8.030815,16.373792,2.332450,5.487358,6.455716,-0.000000,5.454525
0.020000,8.104992,16.291167,2.443488,5.616473,6.455716,0.000000,5.433792
0.020000,8.179208,16.205136,2.557109,5.745587,6.455716,-0.000000,5.414984
0.020000,8.253531,16.115811,2.673312,5.874701,6.455716,0.000000,5.398171
0.020000,8.328056,16.023314,2.792097,6.003815,6.455716,-0.000000,5.383418
0.020000,8.402900,15.927772,2.913464,6.132930,6.455716,0.000000,5.370790
0.020000,8.478206,15.829322,3.037414,6.262044,6.455716,0.000000,5.360354
0.020000,8.554142,15.728110,3.163946,6.391158,6.455716,-0.000000,5.352184
0.020000,8.630904,15.624292,3.293060,6.520273,6.455716,0.000000,5.346366
0.020000,8.708713,15.518039,3.424757,6.649387,6.455716,-0.000000,5.343001
0.020000,8.787381,15.410144,3.558286,6.703507,2.706008,-187.485357,5.342208
0.020000,8.865981,15.302458,3.691606,6.628513,-3.749707,-322.785777,5.344040
0.020000,8.943708,15.196662,3.822885,6.499399,-6.455716,-135.300420,5.348421
0.020000,9.020486,15.093376,3.951582,6.370284,-6.455716,0.000000,5.355237
0.020000,9.096529,14.992767,4.077697,6.241170,-6.455716,-0.000000,5.364393
0.020000,9.172024,14.894989,4.201229,6.112056,-6.455716,0.000000,5.375809
0.020000,9.247134,14.800188,4.322179,5.982941,-6.455716,-0.000000,5.389415
0.020000,9.321993,14.708500,4.440547,5.853827,-6.455716,0.000000,5.405146
