dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.015669,16.347125,0.000646,0.064557,3.227858,161.392888,0.016076
0.020000,6.014789,16.347111,0.001526,0.044024,-1.026653,-212.725516,0.015187
0.020000,6.013158,16.347087,0.003156,0.081514,1.874486,145.056926,0.013406
0.020000,6.018255,16.347149,0.008253,0.254819,8.665271,339.539263,0.010729
0.020000,6.025034,16.347210,0.015033,0.339012,4.209638,-222.781671,0.007143
0.020000,6.033484,16.347251,0.023483,0.422490,4.173920,-1.785903,0.002637
0.020000,6.043588,16.347250,0.033587,0.505193,4.135116,-1.940182,6.280377
0.020000,6.055325,16.347180,0.045324,0.586863,4.083490,-2.581290,6.273975
0.020000,6.068674,16.347008,0.058674,0.667516,4.032670,-2.541038,6.266593
0.020000,6.083607,16.346697,0.073610,0.746777,3.963041,-3.481448,6.258204
0.020000,6.100093,16.346208,0.090103,0.824683,3.895321,-3.385956,6.248780
0.020000,6.118099,16.345494,0.108123,0.900992,3.815429,-3.994629,6.238292
0.020000,6.137588,16.344506,0.127638,0.975721,3.736449,-3.948980,6.226703
0.020000,6.158522,16.343189,0.148613,1.048761,3.652018,-4.221586,6.213980
0.020000,6.180855,16.341485,0.171011,1.119898,3.556852,-4.758273,6.200089
0.020000,6.204544,16.339333,0.194798,1.189341,3.472144,-4.235407,6.184990
0.020000,6.229543,16.336665,0.219938,1.257039,3.384891,-4.362654,6.168651
0.020000,6.255802,16.333410,0.246399,1.323016,3.298847,-4.302217,6.151037
0.020000,6.283277,16.329494,0.274151,1.387627,3.230550,-3.414828,6.132119
0.020000,6.311921,16.324838,0.303171,1.450978,3.167539,-3.150556,6.111874
0.020000,6.341692,16.319357,0.333442,1.513552,3.128735,-1.940179,6.090284
0.020000,6.372552,16.312962,0.364958,1.575809,3.112815,-0.795992,6.067343
0.020000,6.404472,16.305557,0.397725,1.638369,3.128023,0.760377,6.043059
0.020000,6.437430,16.297039,0.431767,1.702076,3.185356,2.866636,6.017452
0.020000,6.471416,16.287298,0.467121,1.767718,3.282118,4.838103,5.990565
0.020000,6.506432,16.276210,0.503851,1.836490,3.438587,7.823477,5.962457
0.020000,6.542494,16.263641,0.542040,1.909441,3.647531,10.447193,5.933216
0.020000,6.579630,16.249446,0.581797,1.987853,3.920623,13.654569,5.902950
0.020000,6.617884,16.233459,0.623257,2.073008,4.257711,16.854437,5.871796
0.020000,6.657310,16.215501,0.666580,2.166136,4.656448,19.936818,5.839916
0.020000,6.697971,16.195378,0.711948,2.268411,5.113705,22.862860,5.807493
0.020000,6.739935,16.172876,0.759564,2.380798,5.619390,25.284270,5.774733
0.020000,6.783271,16.147773,0.809646,2.504082,6.164196,27.240278,5.741855
0.020000,6.828044,16.119835,0.862420,2.638734,6.732585,28.419443,5.709089
0.020000,6.874311,16.088824,0.918119,2.784937,7.310131,28.877316,5.676669
0.020000,6.922118,16.054503,0.976970,2.942540,7.880147,28.500822,5.644824
0.020000,6.971497,16.016644,1.039192,3.111115,8.428795,27.432372,5.613776
0.020000,7.022467,15.975031,1.104992,3.289969,8.942657,25.693128,5.583733
0.020000,7.075035,15.929470,1.174556,3.478229,9.413017,23.517978,5.554884
0.020000,7.129198,15.879787,1.248054,3.674899,9.833522,21.025245,5.527401
0.020000,7.184945,15.825837,1.325633,3.878940,10.202018,18.424824,5.501431
0.020000,7.242268,15.767500,1.407420,4.089337,10.519869,15.892521,5.477102
