dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.795489,18.261305,0.000643,0.064328,3.216378,160.818898,0.000013
0.020000,1.795499,18.261305,0.000653,0.000474,-3.192671,-320.452471,0.000004
0.020000,1.799676,18.261305,0.004830,0.208862,10.419403,680.603737,6.283170
0.020000,1.807423,18.261305,0.012578,0.387377,8.925756,-74.682361,6.283141
0.020000,1.817753,18.261304,0.022907,0.516491,6.455680,-123.503792,6.283104
0.020000,1.830665,18.261303,0.035819,0.645594,6.455159,-0.026074,6.283057
0.020000,1.846159,18.261301,0.051313,0.774684,6.454507,-0.032592,6.283001
0.020000,1.864234,18.261297,0.069388,0.903759,6.453725,-0.039111,6.282937
0.020000,1.884890,18.261291,0.090044,1.032815,6.452812,-0.045629,6.282865
0.020000,1.908127,18.261282,0.113281,1.161850,6.451769,-0.052148,6.282785
0.020000,1.933945,18.261271,0.139099,1.290862,6.450596,-0.058666,6.282698
0.020000,1.962342,18.261256,0.167496,1.419848,6.449292,-0.065186,6.282604
0.020000,1.993318,18.261236,0.198472,1.548805,6.447858,-0.071703,6.282504
0.020000,2.026872,18.261212,0.232026,1.677731,6.446294,-0.078223,6.282399
0.020000,2.063005,18.261181,0.268159,1.806623,6.444599,-0.084740,6.282289
0.020000,2.101714,18.261144,0.306868,1.935479,6.442774,-0.091259,6.282175
0.020000,2.143000,18.261100,0.348154,2.064295,6.440818,-0.097778,6.282057
0.020000,2.186861,18.261048,0.392016,2.193070,6.438732,-0.104296,6.281937
0.020000,2.233297,18.260987,0.438452,2.321800,6.436516,-0.110815,6.281816
0.020000,2.282307,18.260917,0.487461,2.450483,6.434169,-0.117333,6.281694
0.020000,2.333889,18.260837,0.539044,2.579117,6.431692,-0.123850,6.281572
0.020000,2.388043,18.260746,0.593198,2.707699,6.429085,-0.130369,6.281452
0.020000,2.444768,18.260645,0.649922,2.836226,6.426347,-0.136885,6.281335
0.020000,2.504061,18.260531,0.709216,2.964695,6.423479,-0.143407,6.281221
0.020000,2.565923,18.260407,0.771078,3.093105,6.420481,-0.149921,6.281113
0.020000,2.630352,18.260270,0.835507,3.221452,6.417352,-0.156439,6.281010
0.020000,2.697347,18.260121,0.902502,3.349734,6.414093,-0.162959,6.280915
0.020000,2.766906,18.259960,0.972061,3.477948,6.410703,-0.169476,6.280829
0.020000,2.839027,18.259787,1.044183,3.606092,6.407183,-0.175992,6.280753
0.020000,2.913710,18.259603,1.118866,3.734162,6.403533,-0.182513,6.280689
0.020000,2.990953,18.259408,1.196109,3.862157,6.399752,-0.189030,6.280639
0.020000,3.070754,18.259203,1.275911,3.990074,6.395841,-0.195549,6.280603
0.020000,3.153112,18.258990,1.358269,4.117910,6.391800,-0.202068,6.280584
0.020000,3.238025,18.258769,1.443182,4.245663,6.387628,-0.208587,6.280583
0.020000,3.325492,18.258542,1.530649,4.373329,6.383326,-0.215106,6.280602
0.020000,3.415509,18.258311,1.620667,4.500907,6.378894,-0.221626,6.280643
0.020000,3.508077,18.258078,1.713235,4.628394,6.374331,-0.228146,6.280708
0.020000,3.603192,18.257847,1.808350,4.755786,6.369637,-0.234667,6.280797
0.020000,3.700854,18.257619,1.906012,4.883083,6.364814,-0.241188,6.280915
0.020000,3.801059,18.257399,2.006218,5.010280,6.359859,-0.247708,6.281062
0.020000,3.903093,18.257191,2.108252,5.101711,4.571536,-89.416152,6.281239
0.020000,4.004957,18.257003,2.210116,5.093220,-0.424522,-249.802898,6.281443
0.020000,4.104798,18.256840,2.309957,4.992033,-5.059380,-231.742925,6.281670
0.020000,4.202046,18.256704,2.407205,4.862403,-6.481502,-71.106112,6.281917
0.020000,4.296703,18.256597,2.501862,4.732871,-6.476563,0.246975,6.282182
0.020000,4.388772,18.256517,2.593931,4.603436,-6.471754,0.240459,6.282462
0.020000,4.478254,18.256465,2.683413,4.474095,-6.467075,0.233945,6.282757
0.020000,4.565151,18.256441,2.770310,4.344844,-6.462526,0.227431,6.283063
0.020000,4.649464,18.256444,2.854623,4.215682,-6.458108,0.220913,0.000194
0.020000,4.731196,18.256473,2.936356,4.086606,-6.453820,0.214398,0.000519
0.020000,4.810349,18.256527,3.015508,3.957612,-6.449662,0.207882,0.000851
0.020000,4.886923,18.256605,3.092082,3.828700,-6.445635,0.201364,0.001188
