dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.795515,16.281305,0.000643,0.064328,3.216378,160.818898,0.000013
0.020000,1.795506,16.281305,0.000653,0.000474,-3.192671,-320.452471,0.000004
0.020000,1.799645,16.281305,0.004792,0.206971,10.324838,675.875470,6.283170
0.020000,1.807336,16.281305,0.012483,0.384553,8.879125,-72.285635,6.283141
0.020000,1.817591,16.281304,0.022738,0.512750,6.409832,-123.464681,6.283104
0.020000,1.830411,16.281303,0.035557,0.640957,6.410353,0.026074,6.283057
0.020000,1.845794,16.281301,0.050941,0.769177,6.411005,0.032592,6.283001
0.020000,1.863742,16.281297,0.068889,0.897413,6.411787,0.039110,6.282937
0.020000,1.884256,16.281291,0.089403,1.025667,6.412700,0.045630,6.282865
0.020000,1.907335,16.281283,0.112481,1.153942,6.413743,0.052148,6.282785
0.020000,1.932979,16.281271,0.138126,1.282240,6.414916,0.058667,6.282698
0.020000,1.961191,16.281256,0.166337,1.410564,6.416220,0.065185,6.282604
0.020000,1.991969,16.281237,0.197116,1.538918,6.417654,0.071704,6.282504
0.020000,2.025315,16.281212,0.230462,1.667302,6.419218,0.078221,6.282399
0.020000,2.061229,16.281182,0.266376,1.795720,6.420913,0.084741,6.282289
0.020000,2.099713,16.281145,0.304860,1.924175,6.422738,0.091260,6.282175
0.020000,2.140766,16.281101,0.345913,2.052669,6.424694,0.097777,6.282057
0.020000,2.184390,16.281049,0.389537,2.181204,6.426780,0.104296,6.281937
0.020000,2.230586,16.280989,0.435733,2.309784,6.428996,0.110814,6.281816
0.020000,2.279354,16.280919,0.484501,2.438411,6.431343,0.117332,6.281694
0.020000,2.330696,16.280839,0.535843,2.567088,6.433820,0.123852,6.281572
0.020000,2.384612,16.280749,0.589759,2.695816,6.436427,0.130368,6.281452
0.020000,2.441104,16.280648,0.646251,2.824599,6.439165,0.136888,6.281335
0.020000,2.500173,16.280535,0.705320,2.953440,6.442033,0.143402,6.281221
0.020000,2.561819,16.280411,0.766967,3.082341,6.445031,0.149924,6.281113
0.020000,2.626045,16.280274,0.831193,3.211304,6.448160,0.156442,6.281010
0.020000,2.692852,16.280126,0.898000,3.340332,6.451419,0.162957,6.280915
0.020000,2.762240,16.279965,0.967388,3.469428,6.454809,0.169476,6.280829
0.020000,2.834212,16.279793,1.039360,3.598595,6.458329,0.175996,6.280753
0.020000,2.908768,16.279609,1.113917,3.727835,6.461979,0.182511,6.280689
0.020000,2.985911,16.279414,1.191060,3.857150,6.465760,0.189031,6.280639
0.020000,3.065642,16.279210,1.270791,3.986543,6.469671,0.195549,6.280603
0.020000,3.147962,16.278996,1.353111,4.116017,6.473712,0.202068,6.280584
0.020000,3.232873,16.278775,1.438022,4.245575,6.477884,0.208586,6.280583
0.020000,3.320377,16.278548,1.525527,4.375219,6.482186,0.215106,6.280602
0.020000,3.410476,16.278317,1.615626,4.504951,6.486618,0.221625,6.280643
0.020000,3.503171,16.278084,1.708321,4.634775,6.491181,0.228145,6.280708
0.020000,3.598464,16.277852,1.803615,4.764692,6.495874,0.234666,6.280797
0.020000,3.696358,16.277624,1.901509,4.894706,6.500698,0.241185,6.280915
0.020000,3.796854,16.277403,2.002006,5.024819,6.505652,0.247706,6.281062
0.020000,3.899239,16.277195,2.104390,5.119237,4.720889,-89.238183,6.281239
0.020000,4.001508,16.277006,2.206660,5.113459,-0.288896,-250.489228,6.281443
0.020000,4.101798,16.276842,2.306950,5.014530,-4.946463,-232.878336,6.281670
0.020000,4.199535,16.276706,2.404687,4.886850,-6.384010,-71.877352,6.281917
0.020000,4.294717,16.276598,2.499869,4.759071,-6.388949,-0.246974,6.282182
