dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.461160,25.815608,0.000649,0.064935,3.246753,162.337662,0.020722
0.020000,0.461340,25.815611,0.000829,0.008997,-2.796884,-302.181865,0.020540
0.020000,0.461700,25.815619,0.001189,0.017982,0.449238,162.306123,0.020177
0.020000,0.462239,25.815630,0.001728,0.026942,0.447976,-0.063101,0.019633
0.020000,0.472954,25.815836,0.012445,0.535873,25.446569,1249.929619,0.018908
0.020000,0.486833,25.816092,0.026327,0.694085,7.910587,-876.799070,0.018004
0.020000,0.503486,25.816383,0.042982,0.832763,6.933893,-48.834725,0.016923
0.020000,0.522911,25.816699,0.062409,0.971364,6.930081,-0.190572,0.015665
0.020000,0.545106,25.817031,0.084607,1.109877,6.925639,-0.222114,0.014232
0.020000,0.570069,25.817367,0.109573,1.248288,6.920560,-0.253958,0.012627
0.020000,0.597799,25.817692,0.137304,1.386583,6.914729,-0.291528,0.010851
0.020000,0.628293,25.817993,0.167799,1.524751,6.908409,-0.316033,0.008908
0.020000,0.661547,25.818254,0.201055,1.662778,6.901330,-0.353955,0.006800
0.020000,0.697560,25.818458,0.237068,1.800649,6.893560,-0.388463,0.004531
0.020000,0.736326,25.818587,0.275835,1.938352,6.885160,-0.420023,0.002103
0.020000,0.777844,25.818621,0.317353,2.075875,6.876163,-0.449836,6.282706
0.020000,0.822108,25.818539,0.361617,2.213201,6.866292,-0.493584,6.279973
0.020000,0.869114,25.818320,0.408623,2.350322,6.856030,-0.513051,6.277094
0.020000,0.918857,25.817942,0.458367,2.487214,6.844626,-0.570238,6.274073
0.020000,0.971331,25.817381,0.510845,2.623876,6.833068,-0.577881,6.270914
0.020000,1.026532,25.816612,0.566051,2.760287,6.820581,-0.624357,6.267624
0.020000,1.084452,25.815612,0.623979,2.896433,6.807309,-0.663611,6.264206
0.020000,1.145085,25.814353,0.684625,3.032300,6.793341,-0.698372,6.260668
0.020000,1.208423,25.812811,0.747983,3.167884,6.779199,-0.707135,6.257014
0.020000,1.274461,25.810957,0.814046,3.303158,6.763669,-0.776487,6.253250
0.020000,1.343188,25.808766,0.882808,3.438113,6.747751,-0.795889,6.249385
0.020000,1.414597,25.806210,0.954263,3.572741,6.731441,-0.815505,6.245422
0.020000,1.488679,25.803260,1.028404,3.707025,6.714166,-0.863756,6.241371
0.020000,1.565424,25.799890,1.105222,3.840944,6.695947,-0.910928,6.237238
0.020000,1.644822,25.796071,1.184713,3.974510,6.678326,-0.881074,6.233031
0.020000,1.726863,25.791777,1.266866,4.107673,6.658161,-1.008236,6.228756
0.020000,1.811537,25.786979,1.351675,4.240458,6.639250,-0.945557,6.224423
0.020000,1.898831,25.781651,1.439132,4.372833,6.618738,-1.025613,6.220040
0.020000,1.988734,25.775766,1.529228,4.504790,6.597850,-1.044365,6.215614
0.020000,2.081235,25.769298,1.621954,4.636323,6.576643,-1.060379,6.211154
0.020000,2.176320,25.762222,1.717302,4.767405,6.554085,-1.127906,6.206670
0.020000,2.273977,25.754513,1.815263,4.898053,6.532402,-1.084151,6.202171
0.020000,2.374193,25.746148,1.915828,5.028224,6.508538,-1.193179,6.197665
0.020000,2.476955,25.737104,2.018987,5.157939,6.485785,-1.137678,6.193162
0.020000,2.582248,25.727360,2.124730,5.287174,6.461723,-1.203080,6.188673
0.020000,2.690060,25.716896,2.233049,5.415923,6.437470,-1.212662,6.184206
0.020000,2.800376,25.705693,2.343932,5.544170,6.412358,-1.255582,6.179771
0.020000,2.913182,25.693733,2.457370,5.671916,6.387286,-1.253617,6.175380
0.020000,3.028465,25.681002,2.573353,5.799154,6.361886,-1.270001,6.171042
0.020000,3.146209,25.667486,2.691871,5.925875,6.336079,-1.290361,6.166767
0.020000,3.266401,25.653172,2.812912,6.052065,6.309472,-1.330317,6.162567
0.020000,3.389026,25.638051,2.936467,6.177720,6.282772,-1.335000,6.158452
0.020000,3.514072,25.622115,3.062523,6.302840,6.255973,-1.339960,6.154432
0.020000,3.641524,25.605359,3.191072,6.427421,6.229053,-1.346012,6.150520
0.020000,3.771367,25.587778,3.322100,6.551427,6.200309,-1.437181,6.146726
0.020000,3.903590,25.569373,3.455598,6.674895,6.173394,-1.345779,6.143062
0.020000,4.038180,25.550145,3.591554,6.797786,6.144587,-1.440304,6.139538
0.020000,4.175122,25.530099,3.729956,6.920100,6.115679,-1.445410,6.136168
0.020000,4.314406,25.509242,3.870793,7.041832,6.086618,-1.453064,6.132961
0.020000,4.456019,25.487585,4.014052,7.162979,6.057335,-1.464142,6.129931
0.020000,4.599950,25.465140,4.159723,7.283532,6.027659,-1.483785,6.127089
0.020000,4.746188,25.441925,4.307792,7.403461,5.996448,-1.560573,6.124448
0.020000,4.894723,25.417958,4.458248,7.522787,5.966303,-1.507224,6.122020
0.020000,5.045544,25.393264,4.611077,7.641482,5.934717,-1.579313,6.119817
0.020000,5.198643,25.367870,4.766268,7.759535,5.902665,-1.602595,6.117854
0.020000,5.354011,25.341806,4.923807,7.876937,5.870113,-1.627594,6.116142
0.020000,5.511639,25.315106,5.083680,7.993676,5.836926,-1.659356,6.114696
0.020000,5.671520,25.287810,5.245875,8.109726,5.802532,-1.719701,6.113528
0.020000,5.833647,25.259959,5.410377,8.225088,5.768073,-1.722945,6.112654
0.020000,5.998014,25.231603,5.577171,8.339731,5.732133,-1.797018,6.112088
0.020000,6.164613,25.202791,5.746244,8.453639,5.695439,-1.834680,6.111844
0.020000,6.333441,25.173580,5.917580,8.566794,5.657726,-1.885666,6.111937
0.020000,6.504491,25.144033,6.091163,8.679172,5.618889,-1.941836,6.112384
0.020000,6.677759,25.114214,6.266978,8.790746,5.578727,-2.008111,6.113201
0.020000,6.853240,25.084198,6.445008,8.901495,5.537429,-2.064922,6.114404
0.020000,7.030930,25.054060,6.625236,9.011385,5.494508,-2.146021,6.116011
0.020000,7.210825,25.023884,6.807644,9.120393,5.450389,-2.205948,6.118038
