dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.481674,24.825820,0.000649,0.064935,3.246753,162.337662,0.020722
0.020000,0.481674,24.825820,0.003247,0.194805,6.493506,162.337662,0.020540
0.020000,0.481674,24.825820,0.008442,0.324675,6.493506,0.000000,0.020177
0.020000,0.481674,24.825820,0.016234,0.454545,6.493506,0.000000,0.019633
0.020000,0.491672,24.826013,0.026623,0.584416,6.493506,-0.000000,0.018908
0.020000,0.504657,24.826253,0.039610,0.714286,6.493506,0.000000,0.018004
0.020000,0.520239,24.826525,0.055195,0.844156,6.493506,0.000000,0.016923
0.020000,0.538418,24.826821,0.073377,0.974026,6.493506,0.000000,0.015665
0.020000,0.559195,24.827132,0.094156,1.103896,6.493506,0.000000,0.014232
0.020000,0.582570,24.827445,0.117532,1.233766,6.493506,0.000000,0.012627
0.020000,0.608542,24.827750,0.143506,1.363636,6.493506,-0.000000,0.010851
0.020000,0.637112,24.828033,0.172078,1.493506,6.493506,0.000000,0.008908
0.020000,0.668280,24.828277,0.203247,1.623377,6.493506,0.000000,0.006800
0.020000,0.702045,24.828469,0.237013,1.753247,6.493506,0.000000,0.004531
0.020000,0.738409,24.828589,0.273377,1.883117,6.493506,0.000000,0.002103
0.020000,0.777370,24.828621,0.312338,2.012987,6.493506,0.000000,6.282706
0.020000,0.818928,24.828544,0.353896,2.142857,6.493506,-0.000000,6.279973
0.020000,0.863083,24.828338,0.398052,2.272727,6.493506,0.000000,6.277094
0.020000,0.909835,24.827983,0.444805,2.402597,6.493506,0.000000,6.274073
0.020000,0.959183,24.827455,0.494156,2.532468,6.493506,-0.000000,6.270914
0.020000,1.011126,24.826732,0.546104,2.662338,6.493506,0.000000,6.267624
0.020000,1.065663,24.825790,0.600649,2.792208,6.493506,0.000000,6.264206
0.020000,1.122794,24.824604,0.657792,2.922078,6.493506,-0.000000,6.260668
0.020000,1.182516,24.823150,0.717532,3.051948,6.493506,0.000000,6.257014
0.020000,1.244830,24.821401,0.779870,3.181818,6.493506,-0.000000,6.253250
0.020000,1.309732,24.819332,0.844805,3.311688,6.493506,0.000000,6.249385
0.020000,1.377221,24.816915,0.912338,3.441558,6.493506,-0.000000,6.245422
0.020000,1.447295,24.814125,0.982468,3.571429,6.493506,0.000000,6.241371
0.020000,1.519952,24.810935,1.055195,3.701299,6.493506,-0.000000,6.237238
0.020000,1.595190,24.807316,1.130519,3.831169,6.493506,0.000000,6.233031
0.020000,1.673005,24.803243,1.208442,3.961039,6.493506,-0.000000,6.228756
0.020000,1.753396,24.798688,1.288961,4.090909,6.493506,0.000000,6.224423
0.020000,1.836358,24.793624,1.372078,4.220779,6.493506,0.000000,6.220040
0.020000,1.921889,24.788025,1.457792,4.350649,6.493506,-0.000000,6.215614
0.020000,2.009986,24.781865,1.546104,4.480519,6.493506,0.000000,6.211154
0.020000,2.100644,24.775118,1.637013,4.610390,6.493506,0.000000,6.206670
0.020000,2.193861,24.767760,1.730519,4.740260,6.493506,-0.000000,6.202171
0.020000,2.289631,24.759766,1.826623,4.870130,6.493506,0.000000,6.197665
0.020000,2.387952,24.751113,1.925325,5.000000,6.493506,0.000000,6.193162
0.020000,2.488820,24.741779,2.026623,5.129870,6.493506,0.000000,6.188673
0.020000,2.592230,24.731741,2.130519,5.259740,6.493506,0.000000,6.184206
0.020000,2.698179,24.720982,2.237013,5.389610,6.493506,-0.000000,6.179771
0.020000,2.806662,24.709481,2.346104,5.519481,6.493506,0.000000,6.175380
0.020000,2.917675,24.697221,2.457792,5.649351,6.493506,0.000000,6.171042
0.020000,3.031215,24.684187,2.572078,5.779221,6.493506,-0.000000,6.166767
0.020000,3.147278,24.670365,2.688961,5.909091,6.493506,0.000000,6.162567
0.020000,3.265860,24.655743,2.808442,6.038961,6.493506,0.000000,6.158452
0.020000,3.386958,24.640310,2.930519,6.168831,6.493506,0.000000,6.154432
0.020000,3.510570,24.624058,3.055195,6.298701,6.493506,0.000000,6.150520
0.020000,3.636692,24.606981,3.182468,6.428571,6.493506,-0.000000,6.146726
0.020000,3.765322,24.589076,3.312338,6.558442,6.493506,0.000000,6.143062
0.020000,3.896458,24.570342,3.444805,6.688312,6.493506,-0.000000,6.139538
0.020000,4.030098,24.550779,3.579870,6.818182,6.493506,0.000000,6.136168
0.020000,4.166243,24.530392,3.717532,6.948052,6.493506,0.000000,6.132961
0.020000,4.304890,24.509188,3.857792,7.077922,6.493506,0.000000,6.129931
0.020000,4.446041,24.487177,4.000649,7.207792,6.493506,0.000000,6.127089
0.020000,4.589697,24.464371,4.146104,7.337662,6.493506,-0.000000,6.124448
0.020000,4.735858,24.440788,4.294156,7.467532,6.493506,0.000000,6.122020
0.020000,4.884528,24.416446,4.444805,7.597403,6.493506,0.000000,6.119817
0.020000,5.035709,24.391370,4.598052,7.727273,6.493506,-0.000000,6.117854
0.020000,5.189406,24.365586,4.753896,7.857143,6.493506,0.000000,6.116142
0.020000,5.345622,24.339125,4.912338,7.987013,6.493506,0.000000,6.114696
0.020000,5.504364,24.312023,5.073377,8.116883,6.493506,-0.000000,6.113528
0.020000,5.665639,24.284320,5.237013,8.246753,6.493506,0.000000,6.112654
0.020000,5.829452,24.256058,5.403247,8.376623,6.493506,-0.000000,6.112088
0.020000,5.995814,24.227287,5.572078,8.506494,6.493506,0.000000,6.111844
0.020000,6.164733,24.198061,5.743506,8.636364,6.493506,0.000000,6.111937
0.020000,6.336219,24.168438,5.917532,8.766234,6.493506,-0.000000,6.112384
0.020000,6.510284,24.138483,6.094156,8.896104,6.493506,0.000000,6.113201
0.020000,6.686939,24.108265,6.273377,9.025974,6.493506,-0.000000,6.114404
0.020000,6.866197,24.077862,6.455195,9.155844,6.493506,0.000000,6.116011
0.020000,7.048071,24.047354,6.639610,9.285714,6.493506,0.000000,6.118038
0.020000,7.232577,24.016830,6.826623,9.415584,6.493506,-0.000000,6.120506
0.020000,7.419727,23.986388,7.016234,9.545455,6.493506,0.000000,6.123433
0.020000,7.609538,23.956129,7.208442,9.675325,6.493506,-0.000000,6.126839
0.020000,7.802025,23.926164,7.403247,9.805195,6.493506,0.000000,6.130745
0.020000,7.997203,23.896613,7.600649,9.935065,6.493506,0.000000,6.135171
0.020000,8.194445,23.867694,7.800000,10.000000,3.246753,-162.337662,6.140123
0.020000,8.392477,23.839711,8.000000,10.000000,0.000000,-162.337662,6.145581
0.020000,8.590666,23.812859,8.200000,10.000000,0.000000,0.000000,6.151535
0.020000,8.789018,23.787236,8.400000,10.000000,0.000000,0.000000,6.157987
0.020000,8.987536,23.762944,8.600000,10.000000,0.000000,0.000000,6.164942
0.020000,9.186225,23.740083,8.800000,10.000000,0.000000,0.000000,6.172404
0.020000,9.385084,23.718756,9.000000,10.000000,0.000000,0.000000,6.180377
0.020000,9.584112,23.699067,9.200000,10.000000,0.000000,0.000000,6.188863
0.020000,9.782661,23.681173,9.399354,9.935395,-3.230244,-161.512209,6.197837
0.020000,9.979430,23.665261,9.596766,9.805855,-6.476997,-162.337662,6.207232
0.020000,10.173755,23.651419,9.791585,9.675985,-6.493506,-0.825453,6.217003
0.020000,10.365616,23.639671,9.983806,9.546115,-6.493506,0.000000,6.227131
0.020000,10.554994,23.630031,10.173429,9.416245,-6.493506,-0.000000,6.237597
0.020000,10.741868,23.622508,10.360456,9.286375,-6.493506,0.000000,6.248381
0.020000,10.926216,23.617105,10.544884,9.156505,-6.493506,0.000000,6.259464
0.020000,11.108017,23.613818,10.726716,9.026634,-6.493506,-0.000000,6.270826
0.020000,11.287246,23.612638,10.905950,8.896764,-6.493506,0.000000,6.282444
0.020000,11.463879,23.613548,11.082586,8.766894,-6.493506,0.000000,0.011113
0.020000,11.637892,23.616527,11.256626,8.637024,-6.493506,-0.000000,0.023180
0.020000,11.809259,23.621546,11.428067,8.507154,-6.493506,0.000000,0.035439
0.020000,11.977956,23.628571,11.596912,8.377284,-6.493506,0.000000,0.047867
0.020000,12.143958,23.637565,11.763159,8.247414,-6.493506,0.000000,0.060441
0.020000,12.307242,23.648483,11.926808,8.117543,-6.493506,-0.000000,0.073139
0.020000,12.467784,23.661275,12.087860,7.987673,-6.493506,0.000000,0.085936
0.020000,12.625563,23.675888,12.246315,7.857803,-6.493506,-0.000000,0.098810
