dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.502187,23.836033,0.000649,0.064935,3.246753,162.337662,0.020722
0.020000,0.502007,23.836029,0.000829,0.008997,-2.796884,-302.181865,0.020540
0.020000,0.501647,23.836022,0.001189,0.017982,0.449238,162.306123,0.020177
0.020000,0.501109,23.836011,0.001728,0.026942,0.447976,-0.063101,0.019633
0.020000,0.510390,23.836190,0.011011,0.464146,21.860238,1070.613065,0.018908
0.020000,0.522480,23.836413,0.023103,0.604616,7.023482,-741.837801,0.018004
0.020000,0.536991,23.836666,0.037617,0.725678,6.053119,-48.518128,0.016923
0.020000,0.553925,23.836942,0.054553,0.846817,6.056921,0.190091,0.015665
0.020000,0.573284,23.837232,0.073914,0.968044,6.061378,0.222837,0.014232
0.020000,0.595070,23.837524,0.095701,1.089374,6.066491,0.255690,0.012627
0.020000,0.619284,23.837809,0.119918,1.210818,6.072170,0.283939,0.010851
0.020000,0.645931,23.838072,0.146565,1.332391,6.078650,0.324009,0.008908
0.020000,0.675012,23.838300,0.175648,1.454105,6.085706,0.352790,0.006800
0.020000,0.706531,23.838479,0.207167,1.575973,6.093406,0.384965,0.004531
0.020000,0.740491,23.838591,0.241127,1.698009,6.101808,0.420126,0.002103
0.020000,0.776896,23.838621,0.277532,1.820228,6.110952,0.457207,6.282706
0.020000,0.815748,23.838549,0.316385,1.942640,6.120600,0.482410,6.279973
0.020000,0.857053,23.838357,0.357690,2.065264,6.131185,0.529205,6.277094
0.020000,0.900814,23.838024,0.401452,2.188105,6.142046,0.543097,6.274073
0.020000,0.947035,23.837530,0.447676,2.311186,6.154060,0.600683,6.270914
0.020000,0.995721,23.836852,0.496366,2.434517,6.166544,0.624206,6.267624
0.020000,1.046875,23.835968,0.547528,2.558109,6.179624,0.654006,6.264206
0.020000,1.100503,23.834855,0.601168,2.681977,6.193376,0.687602,6.260668
0.020000,1.156609,23.833489,0.657291,2.806142,6.208256,0.743970,6.257014
0.020000,1.215198,23.831845,0.715903,2.930606,6.223182,0.746322,6.253250
0.020000,1.276275,23.829897,0.777010,3.055386,6.239029,0.792316,6.249385
0.020000,1.339844,23.827621,0.840620,3.180502,6.255780,0.837550,6.245422
0.020000,1.405911,23.824991,0.906740,3.305960,6.272910,0.856523,6.241371
0.020000,1.474481,23.821980,0.975375,3.431768,6.290418,0.875381,6.237238
0.020000,1.545558,23.818561,1.046534,3.557961,6.309658,0.962029,6.233031
0.020000,1.619147,23.814709,1.120225,3.684517,6.327798,0.907006,6.228756
0.020000,1.695255,23.810397,1.196454,3.811482,6.348209,1.020552,6.224423
0.020000,1.773885,23.805597,1.275231,3.938848,6.368305,1.004772,6.220040
0.020000,1.855044,23.800284,1.356564,4.066631,6.389151,1.042310,6.215614
0.020000,1.938737,23.794432,1.440461,4.194846,6.410765,1.080725,6.211154
0.020000,2.024968,23.788015,1.526930,4.323490,6.432180,1.070715,6.206670
0.020000,2.113744,23.781007,1.615982,4.452597,6.455374,1.159710,6.202171
0.020000,2.205069,23.773384,1.707625,4.582148,6.477538,1.108192,6.197665
0.020000,2.298950,23.765122,1.801869,4.712180,6.501624,1.204331,6.193162
0.020000,2.395392,23.756197,1.898723,4.842688,6.525397,1.188623,6.188673
0.020000,2.494400,23.746587,1.998196,4.973685,6.549835,1.221907,6.184206
0.020000,2.595981,23.736271,2.100300,5.105171,6.574292,1.222827,6.179771
0.020000,2.700141,23.725228,2.205043,5.237162,6.599558,1.263300,6.175380
0.020000,2.806885,23.713440,2.312436,5.369667,6.625268,1.285498,6.171042
0.020000,2.916221,23.700889,2.422490,5.502694,6.651321,1.302667,6.166767
0.020000,3.028155,23.687558,2.535215,5.636240,6.677328,1.300365,6.162567
0.020000,3.142694,23.673434,2.650622,5.770319,6.703924,1.329812,6.158452
0.020000,3.259845,23.658504,2.768720,5.904941,6.731094,1.358494,6.154432
0.020000,3.379616,23.642757,2.889523,6.040117,6.758813,1.385942,6.150520
0.020000,3.502016,23.626185,3.013039,6.175826,6.785476,1.333141,6.146726
0.020000,3.627053,23.608780,3.139282,6.312117,6.814525,1.452465,6.143062
0.020000,3.754736,23.590538,3.268261,6.448966,6.842474,1.397446,6.139538
0.020000,3.885074,23.571459,3.399989,6.586387,6.871026,1.427614,6.136168
0.020000,4.018079,23.551542,3.534476,6.724390,6.900168,1.457089,6.132961
0.020000,4.153761,23.530791,3.671736,6.862988,6.929878,1.485471,6.129931
0.020000,4.292133,23.509213,3.811780,7.002189,6.960043,1.508252,6.127089
0.020000,4.433206,23.486818,3.954620,7.141981,6.989620,1.478844,6.124448
0.020000,4.576994,23.463617,4.100268,7.282405,7.021185,1.578245,6.122020
0.020000,4.723512,23.439628,4.248737,7.423453,7.052403,1.560934,6.119817
0.020000,4.872776,23.414870,4.400040,7.565139,7.084305,1.595095,6.117854
0.020000,5.024801,23.389366,4.554189,7.707478,7.116961,1.632782,6.116142
0.020000,5.179606,23.363144,4.711199,7.850485,7.150352,1.669575,6.114696
0.020000,5.337209,23.336237,4.871082,7.994166,7.184039,1.684356,6.113528
0.020000,5.497630,23.308680,5.033853,8.138552,7.219279,1.761990,6.112654
0.020000,5.660891,23.280513,5.199526,8.283648,7.254819,1.776992,6.112088
0.020000,5.827015,23.251784,5.368116,8.429479,7.291527,1.835399,6.111844
0.020000,5.996025,23.222542,5.539637,8.576065,7.329300,1.888628,6.111937
0.020000,6.167947,23.192844,5.714106,8.723429,7.368199,1.944974,6.112384
0.020000,6.342809,23.162751,5.891537,8.871592,7.408192,1.999666,6.113201
0.020000,6.520638,23.132333,6.071949,9.020585,7.449643,2.072551,6.114404
0.020000,6.701464,23.101663,6.255358,9.170430,7.492234,2.129555,6.116011
0.020000,6.885318,23.070823,6.441781,9.321161,7.536565,2.216551,6.118038
0.020000,7.072234,23.039901,6.631237,9.472810,7.582439,2.293667,6.120506
0.020000,7.262245,23.008994,6.823745,9.625406,7.629818,2.368979,6.123433
0.020000,7.455386,22.978204,7.019325,9.778980,7.678665,2.442349,6.126839
0.020000,7.651693,22.947645,7.217996,9.933570,7.729516,2.542527,6.130745
0.020000,7.851203,22.917438,7.419780,10.089212,7.782115,2.629949,6.135171
0.020000,8.053295,22.887808,7.624033,10.212645,6.171619,-80.524774,6.140123
0.020000,8.256679,22.859069,7.829437,10.270183,2.876931,-164.734417,6.145581
0.020000,8.460708,22.831426,8.035331,10.294684,1.225012,-82.595933,6.151535
0.020000,8.665395,22.804985,8.241718,10.319376,1.234628,0.480795,6.157987
0.020000,8.870749,22.779857,8.448604,10.344263,1.244330,0.485068,6.164942
0.020000,9.076776,22.756152,8.655990,10.369341,1.253932,0.480124,6.172404
0.020000,9.283483,22.733984,8.863882,10.394606,1.263230,0.464913,6.180377
0.020000,9.490872,22.713467,9.072283,10.420046,1.271997,0.438345,6.188863
0.020000,9.698268,22.694777,9.280521,10.411861,-0.409233,-84.061493,6.197837
0.020000,9.904309,22.678115,9.487234,10.335668,-3.809677,-170.022209,6.207232
0.020000,10.108283,22.663587,9.691725,10.224544,-5.556191,-87.325695,6.217003
0.020000,10.310152,22.651226,9.893971,10.112327,-5.610852,-2.733053,6.227131
0.020000,10.509877,22.641059,10.093955,9.999197,-5.656492,-2.282041,6.237597
