dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.517149,14.516893,0.000649,0.064927,3.246345,162.317271,0.000693
0.020000,11.517444,14.516893,0.000945,0.014780,-2.507348,-287.684695,0.000394
0.020000,11.519795,14.516893,0.003296,0.117549,5.138473,382.291093,6.282983
0.020000,11.528471,14.516888,0.011971,0.433782,15.811621,533.657390,6.282090
0.020000,11.540035,14.516868,0.023536,0.578233,7.222570,-429.452579,6.280902
0.020000,11.554487,14.516824,0.037988,0.722577,7.217171,-0.269942,6.279421
0.020000,11.571822,14.516744,0.055323,0.866768,7.209547,-0.381212,6.277650
0.020000,11.592037,14.516611,0.075538,1.010772,7.200225,-0.466074,6.275594
0.020000,11.615128,14.516409,0.098630,1.154575,7.190153,-0.503624,6.273255
0.020000,11.641089,14.516117,0.124593,1.298131,7.177793,-0.617993,6.270640
0.020000,11.669914,14.515714,0.153421,1.441407,7.163777,-0.700783,6.267754
0.020000,11.701597,14.515175,0.185108,1.584372,7.148271,-0.775324,6.264603
0.020000,11.736130,14.514474,0.219648,1.726995,7.131161,-0.855481,6.261194
0.020000,11.773504,14.513583,0.257033,1.869233,7.111887,-0.963701,6.257534
0.020000,11.813709,14.512473,0.297254,2.011050,7.090855,-1.051613,6.253633
0.020000,11.856736,14.511112,0.340302,2.152419,7.068433,-1.121070,6.249500
0.020000,11.902572,14.509467,0.386168,2.293285,7.043333,-1.255012,6.245144
0.020000,11.951205,14.507505,0.434840,2.433622,7.016824,-1.325452,6.240576
0.020000,12.002621,14.505190,0.486308,2.573380,6.987928,-1.444803,6.235808
0.020000,12.056804,14.502486,0.540558,2.712525,6.957238,-1.534476,6.230852
0.020000,12.113738,14.499357,0.597579,2.851013,6.924379,-1.642970,6.225722
0.020000,12.173406,14.495766,0.657355,2.988806,6.889654,-1.736262,6.220432
0.020000,12.235789,14.491675,0.719872,3.125855,6.852446,-1.860401,6.214996
0.020000,12.300868,14.487048,0.785114,3.262123,6.813439,-1.950321,6.209430
0.020000,12.368620,14.481847,0.853066,3.397568,6.772251,-2.059416,6.203752
0.020000,12.439023,14.476038,0.923709,3.532147,6.728930,-2.166051,6.197978
0.020000,12.512055,14.469584,0.997025,3.665821,6.683720,-2.260491,6.192127
0.020000,12.587691,14.462451,1.072996,3.798547,6.636262,-2.372910,6.186218
0.020000,12.665904,14.454607,1.151602,3.930286,6.586943,-2.465928,6.180271
0.020000,12.746669,14.446021,1.232822,4.060998,6.535639,-2.565201,6.174306
0.020000,12.829958,14.436664,1.316635,4.190648,6.482470,-2.658446,6.168346
0.020000,12.915743,14.426509,1.403019,4.319196,6.427422,-2.752410,6.162412
0.020000,13.003995,14.415533,1.491951,4.446609,6.370621,-2.840080,6.156527
0.020000,13.094685,14.403715,1.583408,4.572850,6.312071,-2.927468,6.150715
0.020000,13.187784,14.391037,1.677365,4.697888,6.251890,-3.009075,6.145001
0.020000,13.283260,14.377484,1.773799,4.821690,6.190085,-3.090245,6.139409
0.020000,13.381085,14.363047,1.872684,4.944225,6.126758,-3.166328,6.133964
0.020000,13.481228,14.347719,1.973993,5.065463,6.061921,-3.241843,6.128694
0.020000,13.583659,14.331499,2.077701,5.185376,5.995626,-3.314782,6.123625
0.020000,13.688349,14.314388,2.183779,5.303933,5.927882,-3.387182,6.118784
0.020000,13.795268,14.296395,2.292201,5.421110,5.858810,-3.453595,6.114199
0.020000,13.904387,14.277532,2.402939,5.536874,5.788216,-3.529727,6.109898
0.020000,14.015678,14.257819,2.515963,5.651199,5.716276,-3.596977,6.105911
0.020000,14.129115,14.237279,2.631244,5.764058,5.642908,-3.668428,6.102268
0.020000,14.244670,14.215942,2.748752,5.875417,5.567993,-3.745734,6.098998
0.020000,14.362318,14.193845,2.868457,5.985248,5.491553,-3.822013,6.096133
0.020000,14.482034,14.171031,2.990328,6.093517,5.413451,-3.905105,6.093704
0.020000,14.603794,14.147551,3.114331,6.200190,5.333631,-3.990993,6.091743
0.020000,14.727576,14.123460,3.240436,6.305229,5.251971,-4.082998,6.090284
0.020000,14.853358,14.098824,3.368608,6.408596,5.168329,-4.182113,6.089359
0.020000,14.980482,14.073841,3.498163,6.477770,3.458695,-85.481691,6.089005
0.020000,15.107129,14.048944,3.627234,6.453553,-1.210868,-233.478128,6.089239
0.020000,15.231513,14.024559,3.753986,6.337596,-5.797852,-229.349227,6.090048
0.020000,15.352945,14.000889,3.877704,6.185879,-7.585833,-89.399007,6.091398
0.020000,15.471373,13.978002,3.998322,6.030928,-7.747532,-8.084995,6.093255
0.020000,15.586836,13.955939,4.115875,5.877617,-7.665537,4.099788,6.095587
0.020000,15.699374,13.934733,4.230393,5.725909,-7.585443,4.004694,6.098359
0.020000,15.809021,13.914409,4.341908,5.575766,-7.507131,3.915583,6.101542
0.020000,15.915813,13.894987,4.450451,5.427158,-7.430395,3.836793,6.105103
0.020000,16.019779,13.876480,4.556053,5.280052,-7.355288,3.755345,6.109013
0.020000,16.120951,13.858895,4.658741,5.134418,-7.281697,3.679549,6.113241
0.020000,16.219355,13.842235,4.758545,4.990228,-7.209531,3.608317,6.117759
0.020000,16.315018,13.826495,4.855494,4.847452,-7.138783,3.537387,6.122539
0.020000,16.407964,13.811670,4.949616,4.706063,-7.069470,3.465691,6.127551
0.020000,16.498217,13.797747,5.040936,4.566032,-7.001559,3.395504,6.132769
0.020000,16.585799,13.784713,5.129483,4.427331,-6.935042,3.325855,6.138165
0.020000,16.670731,13.772547,5.215282,4.289930,-6.870028,3.250719,6.143715
0.020000,16.753032,13.761229,5.298358,4.153801,-6.806457,3.178572,6.149390
0.020000,16.832723,13.750735,5.378736,4.018912,-6.744459,3.099890,6.155168
0.020000,16.909820,13.741039,5.456440,3.885231,-6.684024,3.021723,6.161023
0.020000,16.984342,13.732112,5.531495,3.752726,-6.625262,2.938124,6.166931
0.020000,17.056305,13.723923,5.603922,3.621363,-6.568176,2.854297,6.172870
0.020000,17.125725,13.716441,5.673744,3.491104,-6.512914,2.763094,6.178817
0.020000,17.192617,13.709634,5.740983,3.361916,-6.459412,2.675108,6.184751
0.020000,17.256998,13.703466,5.805658,3.233759,-6.407828,2.579205,6.190650
0.020000,17.318880,13.697905,5.867790,3.106595,-6.358226,2.480099,6.196495
0.020000,17.378279,13.692915,5.927397,2.980385,-6.310510,2.385806,6.202267
0.020000,17.435207,13.688460,5.984499,2.855087,-6.264896,2.280702,6.207946
0.020000,17.489676,13.684506,6.039112,2.730661,-6.221293,2.180124,6.213516
0.020000,17.541701,13.681018,6.091254,2.607065,-6.179820,2.073639,6.218959
0.020000,17.591292,13.677960,6.140939,2.484258,-6.140311,1.975454,6.224260
0.020000,17.638461,13.675298,6.188183,2.362197,-6.103059,1.862616,6.229404
0.020000,17.683219,13.673000,6.233000,2.240843,-6.067713,1.767285,6.234376
0.020000,17.725576,13.671032,6.275403,2.120149,-6.034705,1.650416,6.239163
0.020000,17.765543,13.669363,6.315404,2.000079,-6.003474,1.561567,6.243752
0.020000,17.803128,13.667963,6.353016,1.880589,-5.974543,1.446517,6.248132
0.020000,17.838342,13.666801,6.388249,1.761641,-5.947368,1.358776,6.252291
0.020000,17.871192,13.665850,6.421113,1.643192,-5.922460,1.245401,6.256220
0.020000,17.901687,13.665084,6.451617,1.525209,-5.899128,1.166563,6.259910
0.020000,17.929833,13.664477,6.479770,1.407648,-5.878050,1.053905,6.263351
0.020000,17.955638,13.664006,6.505579,1.290479,-5.858468,0.979133,6.266535
0.020000,17.979109,13.663650,6.529053,1.173657,-5.841079,0.869418,6.269457
