dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.517835,13.526893,0.000649,0.064927,3.246345,162.317271,0.000693
0.020000,11.517835,13.526893,0.003246,0.194781,6.492691,162.317271,0.000394
0.020000,11.519595,13.526893,0.008440,0.324635,6.492691,0.000000,6.282983
0.020000,11.527386,13.526888,0.016232,0.454488,6.492691,0.000000,6.282090
0.020000,11.537775,13.526871,0.026620,0.584342,6.492691,-0.000000,6.280902
0.020000,11.550760,13.526831,0.039605,0.714196,6.492691,0.000000,6.279421
0.020000,11.566342,13.526759,0.055188,0.844050,6.492691,0.000000,6.277650
0.020000,11.584521,13.526640,0.073367,0.973904,6.492691,-0.000000,6.275594
0.020000,11.605297,13.526458,0.094144,1.103757,6.492691,0.000000,6.273255
0.020000,11.628669,13.526195,0.117518,1.233611,6.492691,0.000000,6.270640
0.020000,11.654638,13.525832,0.143488,1.363465,6.492691,-0.000000,6.267754
0.020000,11.683201,13.525346,0.172056,1.493319,6.492691,0.000000,6.264603
0.020000,11.714360,13.524713,0.203221,1.623173,6.492691,0.000000,6.261194
0.020000,11.748112,13.523909,0.236983,1.753027,6.492691,0.000000,6.257534
0.020000,11.784457,13.522906,0.273342,1.882880,6.492691,-0.000000,6.253633
0.020000,11.823394,13.521674,0.312298,2.012734,6.492691,0.000000,6.249500
0.020000,11.864920,13.520184,0.353852,2.142588,6.492691,-0.000000,6.245144
0.020000,11.909035,13.518404,0.398002,2.272442,6.492691,0.000000,6.240576
0.020000,11.955735,13.516301,0.444749,2.402296,6.492691,0.000000,6.235808
0.020000,12.005018,13.513841,0.494094,2.532149,6.492691,-0.000000,6.230852
0.020000,12.056881,13.510991,0.546035,2.662003,6.492691,0.000000,6.225722
0.020000,12.111321,13.507714,0.600574,2.791857,6.492691,0.000000,6.220432
0.020000,12.168334,13.503976,0.657710,2.921711,6.492691,0.000000,6.214996
0.020000,12.227916,13.499739,0.717442,3.051565,6.492691,-0.000000,6.209430
0.020000,12.290063,13.494969,0.779772,3.181419,6.492691,0.000000,6.203752
0.020000,12.354770,13.489630,0.844699,3.311272,6.492691,0.000000,6.197978
0.020000,12.422032,13.483685,0.912223,3.441126,6.492691,-0.000000,6.192127
0.020000,12.491843,13.477102,0.982344,3.570980,6.492691,0.000000,6.186218
0.020000,12.564198,13.469845,1.055062,3.700834,6.492691,-0.000000,6.180271
0.020000,12.639091,13.461883,1.130377,3.830688,6.492691,0.000000,6.174306
0.020000,12.716516,13.453185,1.208290,3.960541,6.492691,0.000000,6.168346
0.020000,12.796467,13.443721,1.288799,4.090395,6.492691,0.000000,6.162412
0.020000,12.878938,13.433464,1.371906,4.220249,6.492691,-0.000000,6.156527
0.020000,12.963923,13.422389,1.457609,4.350103,6.492691,0.000000,6.150715
0.020000,13.051416,13.410474,1.545910,4.479957,6.492691,-0.000000,6.145001
0.020000,13.141412,13.397699,1.636807,4.609810,6.492691,0.000000,6.139409
0.020000,13.233904,13.384049,1.730302,4.739664,6.492691,0.000000,6.133964
0.020000,13.328890,13.369510,1.826394,4.869518,6.492691,0.000000,6.128694
0.020000,13.426364,13.354074,1.925083,4.999372,6.492691,0.000000,6.123625
0.020000,13.526323,13.337737,2.026369,5.129226,6.492691,-0.000000,6.118784
0.020000,13.628766,13.320497,2.130252,5.259080,6.492691,0.000000,6.114199
0.020000,13.733690,13.302359,2.236732,5.388933,6.492691,-0.000000,6.109898
0.020000,13.841095,13.283334,2.345809,5.518787,6.492691,0.000000,6.105911
0.020000,13.950982,13.263436,2.457483,5.648641,6.492691,0.000000,6.102268
0.020000,14.063354,13.242687,2.571755,5.778495,6.492691,0.000000,6.098998
0.020000,14.178214,13.221114,2.688623,5.908349,6.492691,0.000000,6.096133
0.020000,14.295568,13.198750,2.808089,6.038202,6.492691,-0.000000,6.093704
0.020000,14.415422,13.175637,2.930151,6.168056,6.492691,0.000000,6.091743
0.020000,14.537786,13.151823,3.054811,6.297910,6.492691,0.000000,6.090284
0.020000,14.662670,13.127363,3.182068,6.427764,6.492691,0.000000,6.089359
0.020000,14.789449,13.102447,3.311272,6.492691,3.246345,-162.317271,6.089005
0.020000,14.916324,13.077505,3.440576,6.437629,-2.753072,-299.970852,6.089239
0.020000,15.041494,13.052966,3.568128,6.317641,-5.999417,-162.317271,6.090048
0.020000,15.164238,13.029041,3.693183,6.187787,-6.492691,-24.663690,6.091398
0.020000,15.284471,13.005805,3.815640,6.057933,-6.492691,0.000000,6.093255
0.020000,15.402201,12.983309,3.935500,5.928080,-6.492691,0.000000,6.095587
0.020000,15.517436,12.961594,4.052763,5.798226,-6.492691,-0.000000,6.098359
0.020000,15.630181,12.940697,4.167429,5.668372,-6.492691,0.000000,6.101542
0.020000,15.740441,12.920644,4.279498,5.538518,-6.492691,0.000000,6.105103
0.020000,15.848219,12.901459,4.388970,5.408664,-6.492691,-0.000000,6.109013
0.020000,15.953515,12.883157,4.495844,5.278811,-6.492691,0.000000,6.113241
0.020000,16.056329,12.865750,4.600122,5.148957,-6.492691,0.000000,6.117759
0.020000,16.156661,12.849242,4.701803,5.019103,-6.492691,0.000000,6.122539
0.020000,16.254508,12.833636,4.800886,4.889249,-6.492691,-0.000000,6.127551
0.020000,16.349866,12.818926,4.897373,4.759395,-6.492691,0.000000,6.132769
0.020000,16.442732,12.805105,4.991262,4.629541,-6.492691,-0.000000,6.138165
0.020000,16.533102,12.792160,5.082554,4.499688,-6.492691,0.000000,6.143715
0.020000,16.620970,12.780077,5.171249,4.369834,-6.492691,0.000000,6.149390
0.020000,16.706331,12.768837,5.257348,4.239980,-6.492691,0.000000,6.155168
0.020000,16.789180,12.758417,5.340849,4.110126,-6.492691,0.000000,6.161023
0.020000,16.869509,12.748794,5.421753,3.980272,-6.492691,-0.000000,6.166931
0.020000,16.947314,12.739941,5.500060,3.850419,-6.492691,0.000000,6.172870
0.020000,17.022588,12.731828,5.575769,3.720565,-6.492691,-0.000000,6.178817
0.020000,17.095325,12.724426,5.648882,3.590711,-6.492691,0.000000,6.184751
0.020000,17.165519,12.717702,5.719398,3.460857,-6.492691,0.000000,6.190650
0.020000,17.233165,12.711623,5.787316,3.331003,-6.492691,-0.000000,6.196495
0.020000,17.298257,12.706154,5.852638,3.201149,-6.492691,0.000000,6.202267
0.020000,17.360790,12.701261,5.915362,3.071296,-6.492691,-0.000000,6.207946
0.020000,17.420760,12.696908,5.975490,2.941442,-6.492691,0.000000,6.213516
0.020000,17.478161,12.693059,6.033020,2.811588,-6.492691,-0.000000,6.218959
0.020000,17.532990,12.689678,6.087953,2.681734,-6.492691,0.000000,6.224260
0.020000,17.585243,12.686730,6.140289,2.551880,-6.492691,0.000000,6.229404
0.020000,17.634917,12.684179,6.190029,2.422027,-6.492691,0.000000,6.234376
0.020000,17.682008,12.681991,6.237171,2.292173,-6.492691,-0.000000,6.239163
0.020000,17.726514,12.680133,6.281715,2.162319,-6.492691,0.000000,6.243752
0.020000,17.768433,12.678571,6.323663,2.032465,-6.492691,0.000000,6.248132
0.020000,17.807762,12.677273,6.363014,1.902611,-6.492691,-0.000000,6.252291
0.020000,17.844500,12.676210,6.399768,1.772757,-6.492691,0.000000,6.256220
0.020000,17.878646,12.675352,6.433924,1.642904,-6.492691,0.000000,6.259910
0.020000,17.910198,12.674672,6.465484,1.513050,-6.492691,-0.000000,6.263351
0.020000,17.939156,12.674143,6.494446,1.383196,-6.492691,0.000000,6.266535
0.020000,17.965518,12.673743,6.520812,1.253342,-6.492691,0.000000,6.269457
0.020000,17.989285,12.673448,6.544580,1.123488,-6.492691,-0.000000,6.272109
0.020000,18.010455,12.673239,6.565751,0.993635,-6.492691,0.000000,6.274485
0.020000,18.029028,12.673097,6.584325,0.863781,-6.492691,-0.000000,6.276581
0.020000,18.045005,12.673006,6.600302,0.733927,-6.492691,0.000000,6.278392
0.020000,18.058385,12.672952,6.613682,0.604073,-6.492691,-0.000000,6.279914
0.020000,18.069168,12.672923,6.624465,0.474219,-6.492691,0.000000,6.281145
0.020000,18.077354,12.672910,6.632651,0.344365,-6.492691,-0.000000,6.282082
0.020000,18.082943,12.672906,6.638240,0.214512,-6.492691,0.000000,6.282722
0.020000,18.085934,12.672905,6.641232,0.084658,-6.492691,-0.000000,6.283065
0.020000,18.086880,12.672905,6.642177,0.009865,-3.739619,137.653581,6.283174
0.020000,18.086978,12.672905,6.642276,0.000000,-0.493274,162.317271,0.000000
0.020000,18.086978,12.672905,6.642276,0.000000,0.000000,24.663690,0.000000
