dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.518521,12.536894,0.000649,0.064927,3.246345,162.317271,0.000693
0.020000,11.518225,12.536894,0.000945,0.014780,-2.507348,-287.684695,0.000394
0.020000,11.519395,12.536893,0.002115,0.058491,2.185534,234.644149,6.282983
0.020000,11.526302,12.536889,0.009022,0.345343,14.342600,607.853253,6.282090
0.020000,11.535514,12.536873,0.018233,0.460590,5.762348,-429.012563,6.280902
0.020000,11.547033,12.536838,0.029753,0.575963,5.768668,0.315991,6.279421
0.020000,11.560862,12.536774,0.043582,0.691482,5.775950,0.364075,6.277650
0.020000,11.577006,12.536668,0.059726,0.807175,5.784663,0.435684,6.275594
0.020000,11.595467,12.536506,0.078187,0.923088,5.795624,0.548054,6.273255
0.020000,11.616250,12.536273,0.098972,1.039241,5.807673,0.602423,6.270640
0.020000,11.639361,12.535949,0.122086,1.155669,5.821385,0.685591,6.267754
0.020000,11.664806,12.535517,0.147534,1.272408,5.836970,0.779260,6.264603
0.020000,11.692590,12.534953,0.175324,1.389497,5.854420,0.872532,6.261194
0.020000,11.722721,12.534235,0.205463,1.506964,5.873368,0.947368,6.257534
0.020000,11.755205,12.533338,0.237960,1.624848,5.894221,1.042636,6.253633
0.020000,11.790052,12.532235,0.272824,1.743196,5.917360,1.156978,6.249500
0.020000,11.827268,12.530900,0.310065,1.862032,5.941822,1.223071,6.245144
0.020000,11.866864,12.529302,0.349693,1.981406,5.968705,1.344196,6.240576
0.020000,11.908849,12.527412,0.391720,2.101352,5.997284,1.428951,6.235808
0.020000,11.953232,12.525197,0.436158,2.221914,6.028098,1.540692,6.230852
0.020000,12.000024,12.522625,0.483021,2.343132,6.060887,1.639448,6.225722
0.020000,12.049236,12.519663,0.532322,2.465050,6.095936,1.752443,6.220432
0.020000,12.100879,12.516276,0.584076,2.587705,6.132758,1.841108,6.214996
0.020000,12.154965,12.512431,0.638299,2.711144,6.171925,1.958327,6.209430
0.020000,12.211507,12.508091,0.695007,2.835406,6.213112,2.059360,6.203752
0.020000,12.270517,12.503221,0.754217,2.960533,6.256336,2.161207,6.197978
0.020000,12.332009,12.497787,0.815949,3.086568,6.301763,2.271325,6.192127
0.020000,12.395996,12.491752,0.880220,3.213549,6.349035,2.363625,6.186218
0.020000,12.462493,12.485083,0.947050,3.341517,6.398410,2.468764,6.180271
0.020000,12.531514,12.477746,1.016460,3.470511,6.449701,2.564536,6.174306
0.020000,12.603075,12.469706,1.088472,3.600569,6.502916,2.660732,6.168346
0.020000,12.677192,12.460932,1.163106,3.731728,6.557939,2.751141,6.162412
0.020000,12.753882,12.451394,1.240387,3.864024,6.614768,2.841446,6.156527
0.020000,12.833161,12.441063,1.320337,3.997489,6.673294,2.926303,6.150715
0.020000,12.915049,12.429911,1.402980,4.132159,6.733503,3.010479,6.145001
0.020000,12.999563,12.417914,1.488341,4.268065,6.795293,3.089509,6.139409
0.020000,13.086723,12.405051,1.576446,4.405238,6.858650,3.167849,6.133964
0.020000,13.176551,12.391301,1.667320,4.543708,6.923493,3.242107,6.128694
0.020000,13.269068,12.376650,1.760990,4.683504,6.989789,3.314833,6.123625
0.020000,13.364298,12.361085,1.857483,4.824654,7.057493,3.385185,6.118784
0.020000,13.462264,12.344599,1.956827,4.967187,7.126679,3.459319,6.114199
0.020000,13.562993,12.327186,2.059049,5.111131,7.197164,3.524251,6.109898
0.020000,13.666512,12.308849,2.164180,5.256513,7.269133,3.598441,6.105911
0.020000,13.772850,12.289594,2.272247,5.403365,7.342565,3.671598,6.102268
0.020000,13.882038,12.269433,2.383281,5.551713,7.417440,3.743731,6.098998
0.020000,13.994110,12.248383,2.497313,5.701591,7.493899,3.822975,6.096133
0.020000,14.109101,12.226469,2.614374,5.853031,7.571972,3.903645,6.093704
0.020000,14.227050,12.203723,2.734495,6.006067,7.651794,3.991090,6.091743
0.020000,14.347995,12.180185,2.857710,6.160736,7.733465,4.083535,6.090284
0.020000,14.471981,12.155901,2.984051,6.317078,7.817086,4.181052,6.089359
0.020000,14.598416,12.131053,3.112905,6.442685,6.280363,-76.836124,6.089005
0.020000,14.725519,12.106066,3.242440,6.476768,1.704142,-228.811053,6.089239
0.020000,14.851475,12.081374,3.370794,6.417675,-2.954654,-232.939823,6.090048
0.020000,14.975531,12.057192,3.497185,6.319549,-4.906301,-97.582348,6.091398
0.020000,15.097569,12.033608,3.621481,6.214790,-5.237921,-16.581004,6.093255
0.020000,15.217565,12.010679,3.743649,6.108393,-5.319865,-4.097169,6.095587
0.020000,15.335498,11.988456,3.863656,6.000394,-5.399975,-4.005493,6.098359
0.020000,15.451341,11.966984,3.981473,5.890826,-5.478358,-3.919154,6.101542
0.020000,15.565070,11.946301,4.097067,5.779726,-5.555000,-3.832107,6.105103
0.020000,15.676659,11.926437,4.210410,5.667124,-5.630129,-3.756452,6.109013
0.020000,15.786079,11.907419,4.321471,5.553049,-5.703764,-3.681749,6.113241
0.020000,15.893304,11.889265,4.430222,5.437530,-5.775909,-3.607247,6.117759
0.020000,15.998304,11.871990,4.536634,5.320598,-5.846623,-3.535714,6.122539
0.020000,16.101051,11.855601,4.640679,5.202279,-5.915956,-3.466630,6.127551
0.020000,16.201515,11.840104,4.742331,5.082601,-5.983873,-3.395860,6.132769
0.020000,16.299665,11.825497,4.841563,4.961595,-6.050331,-3.322904,6.138165
0.020000,16.395473,11.811773,4.938349,4.839287,-6.115395,-3.253173,6.143715
0.020000,16.488908,11.798925,5.032663,4.715708,-6.178915,-3.176046,6.149390
0.020000,16.579940,11.786938,5.124481,4.590890,-6.240941,-3.101289,6.155168
0.020000,16.668539,11.775795,5.213778,4.464863,-6.301346,-3.020243,6.161023
0.020000,16.754677,11.765476,5.300531,4.337660,-6.360130,-2.939186,6.166931
0.020000,16.838323,11.755958,5.384718,4.209317,-6.417168,-2.851893,6.172870
0.020000,16.919451,11.747215,5.466315,4.079867,-6.472500,-2.766594,6.178817
0.020000,16.998032,11.739218,5.545302,3.949348,-6.525922,-2.671132,6.184751
0.020000,17.074040,11.731938,5.621658,3.817798,-6.577498,-2.578809,6.190650
0.020000,17.147449,11.725341,5.695363,3.685255,-6.627193,-2.484710,6.196495
0.020000,17.218235,11.719394,5.766398,3.551759,-6.674791,-2.379924,6.202267
0.020000,17.286374,11.714062,5.834745,3.417349,-6.720466,-2.283725,6.207946
0.020000,17.351843,11.709310,5.900386,3.282069,-6.764041,-2.178767,6.213516
0.020000,17.414621,11.705100,5.963306,3.145956,-6.805609,-2.078384,6.218959
0.020000,17.474688,11.701396,6.023487,3.009058,-6.844937,-1.966404,6.224260
0.020000,17.532025,11.698161,6.080915,2.871410,-6.882366,-1.871483,6.229404
0.020000,17.586615,11.695358,6.135576,2.733061,-6.917479,-1.755615,6.234376
0.020000,17.638440,11.692951,6.187457,2.594044,-6.950821,-1.667112,6.239163
0.020000,17.687485,11.690903,6.236545,2.454409,-6.981749,-1.546388,6.243752
0.020000,17.733737,11.689179,6.282829,2.314190,-7.010957,-1.460424,6.248132
0.020000,17.777182,11.687746,6.326298,2.173433,-7.037844,-1.344331,6.252291
0.020000,17.817808,11.686570,6.366941,2.032171,-7.063118,-1.263733,6.256220
0.020000,17.855605,11.685620,6.404750,1.890451,-7.086016,-1.144901,6.259910
0.020000,17.890563,11.684867,6.439716,1.748301,-7.107469,-1.072639,6.263351
0.020000,17.922673,11.684281,6.471831,1.605769,-7.126637,-0.958407,6.266535
0.020000,17.951927,11.683836,6.501089,1.462879,-7.144491,-0.892686,6.269457
0.020000,17.978319,11.683509,6.527483,1.319674,-7.160255,-0.788219,6.272109
0.020000,18.001841,11.683276,6.551006,1.176188,-7.174303,-0.702357,6.274485
0.020000,18.022490,11.683118,6.571655,1.032452,-7.186767,-0.623230,6.276581
0.020000,18.040260,11.683017,6.589425,0.888499,-7.197651,-0.544207,6.278392
0.020000,18.055147,11.682957,6.604313,0.744361,-7.206891,-0.461977,6.279914
0.020000,18.067148,11.682925,6.616314,0.600070,-7.214583,-0.384620,6.281145
0.020000,18.076261,11.682911,6.625427,0.455655,-7.220721,-0.306890,6.282082
0.020000,18.082484,11.682906,6.631650,0.311149,-7.225339,-0.230884,6.282722
0.020000,18.085816,11.682905,6.634982,0.166580,-7.228437,-0.154914,6.283065
0.020000,18.086868,11.682905,6.636034,0.052636,-5.697213,76.561229,6.283174
0.020000,18.086978,11.682905,6.636144,0.005494,-2.357089,167.006154,0.000000
