dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.518521,14.516893,0.000649,0.064927,3.246345,162.317271,6.282492
0.020000,11.518225,14.516893,0.000945,0.014780,-2.507348,-287.684695,6.282791
0.020000,11.519395,14.516894,0.002115,0.058491,2.185534,234.644149,0.000202
0.020000,11.526302,14.516898,0.009022,0.345343,14.342600,607.853253,0.001095
0.020000,11.535514,14.516914,0.018233,0.460590,5.762348,-429.012563,0.002284
0.020000,11.547033,14.516949,0.029753,0.575963,5.768668,0.315991,0.003765
0.020000,11.560862,14.517013,0.043582,0.691482,5.775950,0.364075,0.005535
0.020000,11.577006,14.517119,0.059726,0.807175,5.784663,0.435684,0.007592
0.020000,11.595467,14.517281,0.078187,0.923088,5.795624,0.548054,0.009930
0.020000,11.616250,14.517514,0.098972,1.039241,5.807673,0.602423,0.012545
0.020000,11.639361,14.517838,0.122086,1.155669,5.821385,0.685591,0.015431
0.020000,11.664806,14.518270,0.147534,1.272408,5.836970,0.779260,0.018582
0.020000,11.692590,14.518834,0.175324,1.389497,5.854420,0.872532,0.021992
0.020000,11.722721,14.519552,0.205463,1.506964,5.873368,0.947368,0.025651
0.020000,11.755205,14.520449,0.237960,1.624848,5.894221,1.042636,0.029552
0.020000,11.790052,14.521551,0.272824,1.743196,5.917360,1.156978,0.033685
0.020000,11.827268,14.522887,0.310065,1.862032,5.941822,1.223071,0.038042
0.020000,11.866864,14.524485,0.349693,1.981406,5.968705,1.344196,0.042609
0.020000,11.908849,14.526375,0.391720,2.101352,5.997284,1.428951,0.047377
0.020000,11.953232,14.528590,0.436158,2.221914,6.028098,1.540692,0.052333
0.020000,12.000024,14.531162,0.483021,2.343132,6.060887,1.639448,0.057463
0.020000,12.049236,14.534124,0.532322,2.465050,6.095936,1.752443,0.062754
0.020000,12.100879,14.537511,0.584076,2.587705,6.132758,1.841108,0.068189
0.020000,12.154965,14.541356,0.638299,2.711144,6.171925,1.958327,0.073755
0.020000,12.211507,14.545696,0.695007,2.835406,6.213112,2.059360,0.079433
0.020000,12.270517,14.550566,0.754217,2.960533,6.256336,2.161207,0.085207
0.020000,12.332009,14.556000,0.815949,3.086568,6.301763,2.271325,0.091058
0.020000,12.395996,14.562034,0.880220,3.213549,6.349035,2.363625,0.096967
0.020000,12.462493,14.568704,0.947050,3.341517,6.398410,2.468764,0.102915
0.020000,12.531514,14.576041,1.016460,3.470511,6.449701,2.564536,0.108879
0.020000,12.603075,14.584081,1.088472,3.600569,6.502916,2.660732,0.114839
0.020000,12.677192,14.592855,1.163106,3.731728,6.557939,2.751141,0.120773
0.020000,12.753882,14.602393,1.240387,3.864024,6.614768,2.841446,0.126658
0.020000,12.833161,14.612724,1.320337,3.997489,6.673294,2.926303,0.132470
0.020000,12.915049,14.623876,1.402980,4.132159,6.733503,3.010479,0.138184
0.020000,12.999563,14.635873,1.488341,4.268065,6.795293,3.089509,0.143777
0.020000,13.086723,14.648736,1.576446,4.405238,6.858650,3.167849,0.149221
0.020000,13.176551,14.662486,1.667320,4.543708,6.923493,3.242107,0.154491
0.020000,13.269068,14.677137,1.760990,4.683504,6.989789,3.314833,0.159560
0.020000,13.364298,14.692702,1.857483,4.824654,7.057493,3.385185,0.164402
0.020000,13.462264,14.709188,1.956827,4.967187,7.126679,3.459319,0.168987
0.020000,13.562993,14.726601,2.059049,5.111131,7.197164,3.524251,0.173287
0.020000,13.666512,14.744938,2.164180,5.256513,7.269133,3.598441,0.177274
0.020000,13.772850,14.764193,2.272247,5.403365,7.342565,3.671598,0.180917
0.020000,13.882038,14.784354,2.383281,5.551713,7.417440,3.743731,0.184187
0.020000,13.994110,14.805404,2.497313,5.701591,7.493899,3.822975,0.187052
0.020000,14.109101,14.827318,2.614374,5.853031,7.571972,3.903645,0.189481
0.020000,14.227050,14.850063,2.734495,6.006067,7.651794,3.991090,0.191442
0.020000,14.347995,14.873602,2.857710,6.160736,7.733465,4.083535,0.192902
0.020000,14.471981,14.897886,2.984051,6.317078,7.817086,4.181052,0.193826
0.020000,14.598416,14.922734,3.112905,6.442685,6.280363,-76.836124,0.194181
0.020000,14.725519,14.947720,3.242440,6.476768,1.704142,-228.811053,0.193946
0.020000,14.851475,14.972413,3.370794,6.417675,-2.954654,-232.939823,0.193137
0.020000,14.975531,14.996595,3.497185,6.319549,-4.906301,-97.582348,0.191787
0.020000,15.097569,15.020179,3.621481,6.214790,-5.237921,-16.581004,0.189930
0.020000,15.217565,15.043108,3.743649,6.108393,-5.319865,-4.097169,0.187599
0.020000,15.335498,15.065331,3.863656,6.000394,-5.399975,-4.005493,0.184826
0.020000,15.451341,15.086803,3.981473,5.890826,-5.478358,-3.919154,0.181644
0.020000,15.565070,15.107486,4.097067,5.779726,-5.555000,-3.832107,0.178082
0.020000,15.676659,15.127350,4.210410,5.667124,-5.630129,-3.756452,0.174173
0.020000,15.786079,15.146368,4.321471,5.553049,-5.703764,-3.681749,0.169944
0.020000,15.893304,15.164522,4.430222,5.437530,-5.775909,-3.607247,0.165426
0.020000,15.998304,15.181797,4.536634,5.320598,-5.846623,-3.535714,0.160647
0.020000,16.101051,15.198185,4.640679,5.202279,-5.915956,-3.466630,0.155634
0.020000,16.201515,15.213683,4.742331,5.082601,-5.983873,-3.395860,0.150416
0.020000,16.299665,15.228290,4.841563,4.961595,-6.050331,-3.322904,0.145020
0.020000,16.395473,15.242014,4.938349,4.839287,-6.115395,-3.253173,0.139471
0.020000,16.488908,15.254862,5.032663,4.715708,-6.178915,-3.176046,0.133795
0.020000,16.579940,15.266849,5.124481,4.590890,-6.240941,-3.101289,0.128017
0.020000,16.668539,15.277992,5.213778,4.464863,-6.301346,-3.020243,0.122162
0.020000,16.754677,15.288311,5.300531,4.337660,-6.360130,-2.939186,0.116254
0.020000,16.838323,15.297829,5.384718,4.209317,-6.417168,-2.851893,0.110315
0.020000,16.919451,15.306572,5.466315,4.079867,-6.472500,-2.766594,0.104368
0.020000,16.998032,15.314569,5.545302,3.949348,-6.525922,-2.671132,0.098434
0.020000,17.074040,15.321849,5.621658,3.817798,-6.577498,-2.578809,0.092535
0.020000,17.147449,15.328446,5.695363,3.685255,-6.627193,-2.484710,0.086690
0.020000,17.218235,15.334393,5.766398,3.551759,-6.674791,-2.379924,0.080918
0.020000,17.286374,15.339725,5.834745,3.417349,-6.720466,-2.283725,0.075239
0.020000,17.351843,15.344477,5.900386,3.282069,-6.764041,-2.178767,0.069669
0.020000,17.414621,15.348687,5.963306,3.145956,-6.805609,-2.078384,0.064226
