dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.517835,13.526893,0.000649,0.064927,3.246345,162.317271,6.282492
0.020000,11.517835,13.526893,0.003246,0.194781,6.492691,162.317271,6.282791
0.020000,11.519595,13.526894,0.008440,0.324635,6.492691,0.000000,0.000202
0.020000,11.527386,13.526899,0.016232,0.454488,6.492691,0.000000,0.001095
0.020000,11.537775,13.526916,0.026620,0.584342,6.492691,-0.000000,0.002284
0.020000,11.550760,13.526956,0.039605,0.714196,6.492691,0.000000,0.003765
0.020000,11.566342,13.527028,0.055188,0.844050,6.492691,0.000000,0.005535
0.020000,11.584521,13.527147,0.073367,0.973904,6.492691,-0.000000,0.007592
0.020000,11.605297,13.527329,0.094144,1.103757,6.492691,0.000000,0.009930
0.020000,11.628669,13.527592,0.117518,1.233611,6.492691,0.000000,0.012545
0.020000,11.654638,13.527955,0.143488,1.363465,6.492691,-0.000000,0.015431
0.020000,11.683201,13.528441,0.172056,1.493319,6.492691,0.000000,0.018582
0.020000,11.714360,13.529074,0.203221,1.623173,6.492691,0.000000,0.021992
0.020000,11.748112,13.529878,0.236983,1.753027,6.492691,0.000000,0.025651
0.020000,11.784457,13.530881,0.273342,1.882880,6.492691,-0.000000,0.029552
0.020000,11.823394,13.532113,0.312298,2.012734,6.492691,0.000000,0.033685
0.020000,11.864920,13.533603,0.353852,2.142588,6.492691,-0.000000,0.038042
0.020000,11.909035,13.535383,0.398002,2.272442,6.492691,0.000000,0.042609
0.020000,11.955735,13.537486,0.444749,2.402296,6.492691,0.000000,0.047377
0.020000,12.005018,13.539946,0.494094,2.532149,6.492691,-0.000000,0.052333
0.020000,12.056881,13.542796,0.546035,2.662003,6.492691,0.000000,0.057463
0.020000,12.111321,13.546073,0.600574,2.791857,6.492691,0.000000,0.062754
0.020000,12.168334,13.549811,0.657710,2.921711,6.492691,0.000000,0.068189
0.020000,12.227916,13.554048,0.717442,3.051565,6.492691,-0.000000,0.073755
0.020000,12.290063,13.558818,0.779772,3.181419,6.492691,0.000000,0.079433
0.020000,12.354770,13.564157,0.844699,3.311272,6.492691,0.000000,0.085207
0.020000,12.422032,13.570102,0.912223,3.441126,6.492691,-0.000000,0.091058
0.020000,12.491843,13.576685,0.982344,3.570980,6.492691,0.000000,0.096967
0.020000,12.564198,13.583942,1.055062,3.700834,6.492691,-0.000000,0.102915
0.020000,12.639091,13.591904,1.130377,3.830688,6.492691,0.000000,0.108879
0.020000,12.716516,13.600602,1.208290,3.960541,6.492691,0.000000,0.114839
0.020000,12.796467,13.610066,1.288799,4.090395,6.492691,0.000000,0.120773
0.020000,12.878938,13.620323,1.371906,4.220249,6.492691,-0.000000,0.126658
0.020000,12.963923,13.631398,1.457609,4.350103,6.492691,0.000000,0.132470
0.020000,13.051416,13.643313,1.545910,4.479957,6.492691,-0.000000,0.138184
0.020000,13.141412,13.656088,1.636807,4.609810,6.492691,0.000000,0.143777
0.020000,13.233904,13.669738,1.730302,4.739664,6.492691,0.000000,0.149221
0.020000,13.328890,13.684277,1.826394,4.869518,6.492691,0.000000,0.154491
0.020000,13.426364,13.699713,1.925083,4.999372,6.492691,0.000000,0.159560
0.020000,13.526323,13.716050,2.026369,5.129226,6.492691,-0.000000,0.164402
0.020000,13.628766,13.733290,2.130252,5.259080,6.492691,0.000000,0.168987
0.020000,13.733690,13.751428,2.236732,5.388933,6.492691,-0.000000,0.173287
0.020000,13.841095,13.770453,2.345809,5.518787,6.492691,0.000000,0.177274
0.020000,13.950982,13.790351,2.457483,5.648641,6.492691,0.000000,0.180917
0.020000,14.063354,13.811100,2.571755,5.778495,6.492691,0.000000,0.184187
0.020000,14.178214,13.832673,2.688623,5.908349,6.492691,0.000000,0.187052
0.020000,14.295568,13.855037,2.808089,6.038202,6.492691,-0.000000,0.189481
0.020000,14.415422,13.878150,2.930151,6.168056,6.492691,0.000000,0.191442
0.020000,14.537786,13.901964,3.054811,6.297910,6.492691,0.000000,0.192902
0.020000,14.662670,13.926424,3.182068,6.427764,6.492691,0.000000,0.193826
0.020000,14.789449,13.951340,3.311272,6.492691,3.246345,-162.317271,0.194181
0.020000,14.916324,13.976282,3.440576,6.437629,-2.753072,-299.970852,0.193946
0.020000,15.041494,14.000821,3.568128,6.317641,-5.999417,-162.317271,0.193137
0.020000,15.164238,14.024746,3.693183,6.187787,-6.492691,-24.663690,0.191787
0.020000,15.284471,14.047982,3.815640,6.057933,-6.492691,0.000000,0.189930
0.020000,15.402201,14.070478,3.935500,5.928080,-6.492691,0.000000,0.187599
0.020000,15.517436,14.092192,4.052763,5.798226,-6.492691,-0.000000,0.184826
0.020000,15.630181,14.113090,4.167429,5.668372,-6.492691,0.000000,0.181644
0.020000,15.740441,14.133143,4.279498,5.538518,-6.492691,0.000000,0.178082
0.020000,15.848219,14.152328,4.388970,5.408664,-6.492691,-0.000000,0.174173
0.020000,15.953515,14.170630,4.495844,5.278811,-6.492691,0.000000,0.169944
0.020000,16.056329,14.188037,4.600122,5.148957,-6.492691,0.000000,0.165426
0.020000,16.156661,14.204544,4.701803,5.019103,-6.492691,0.000000,0.160647
0.020000,16.254508,14.220151,4.800886,4.889249,-6.492691,-0.000000,0.155634
0.020000,16.349866,14.234861,4.897373,4.759395,-6.492691,0.000000,0.150416
0.020000,16.442732,14.248682,4.991262,4.629541,-6.492691,-0.000000,0.145020
0.020000,16.533102,14.261627,5.082554,4.499688,-6.492691,0.000000,0.139471
0.020000,16.620970,14.273710,5.171249,4.369834,-6.492691,0.000000,0.133795
0.020000,16.706331,14.284950,5.257348,4.239980,-6.492691,0.000000,0.128017
0.020000,16.789180,14.295370,5.340849,4.110126,-6.492691,0.000000,0.122162
0.020000,16.869509,14.304993,5.421753,3.980272,-6.492691,-0.000000,0.116254
0.020000,16.947314,14.313846,5.500060,3.850419,-6.492691,0.000000,0.110315
0.020000,17.022588,14.321959,5.575769,3.720565,-6.492691,-0.000000,0.104368
0.020000,17.095325,14.329361,5.648882,3.590711,-6.492691,0.000000,0.098434
0.020000,17.165519,14.336085,5.719398,3.460857,-6.492691,0.000000,0.092535
0.020000,17.233165,14.342164,5.787316,3.331003,-6.492691,-0.000000,0.086690
0.020000,17.298257,14.347633,5.852638,3.201149,-6.492691,0.000000,0.080918
0.020000,17.360790,14.352526,5.915362,3.071296,-6.492691,-0.000000,0.075239
0.020000,17.420760,14.356879,5.975490,2.941442,-6.492691,0.000000,0.069669
