dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,11.517149,12.536894,0.000649,0.064927,3.246345,162.317271,6.282492
0.020000,11.517444,12.536894,0.000945,0.014780,-2.507348,-287.684695,6.282791
0.020000,11.519795,12.536894,0.003296,0.117549,5.138473,382.291093,0.000202
0.020000,11.528471,12.536899,0.011971,0.433782,15.811621,533.657390,0.001095
0.020000,11.540035,12.536919,0.023536,0.578233,7.222570,-429.452579,0.002284
0.020000,11.554487,12.536963,0.037988,0.722577,7.217171,-0.269942,0.003765
0.020000,11.571822,12.537043,0.055323,0.866768,7.209547,-0.381212,0.005535
0.020000,11.592037,12.537176,0.075538,1.010772,7.200225,-0.466074,0.007592
0.020000,11.615128,12.537378,0.098630,1.154575,7.190153,-0.503624,0.009930
0.020000,11.641089,12.537670,0.124593,1.298131,7.177793,-0.617993,0.012545
0.020000,11.669914,12.538073,0.153421,1.441407,7.163777,-0.700783,0.015431
0.020000,11.701597,12.538612,0.185108,1.584372,7.148271,-0.775324,0.018582
0.020000,11.736130,12.539313,0.219648,1.726995,7.131161,-0.855481,0.021992
0.020000,11.773504,12.540203,0.257033,1.869233,7.111887,-0.963701,0.025651
0.020000,11.813709,12.541314,0.297254,2.011050,7.090855,-1.051613,0.029552
0.020000,11.856736,12.542675,0.340302,2.152419,7.068433,-1.121070,0.033685
0.020000,11.902572,12.544319,0.386168,2.293285,7.043333,-1.255012,0.038042
0.020000,11.951205,12.546282,0.434840,2.433622,7.016824,-1.325452,0.042609
0.020000,12.002621,12.548597,0.486308,2.573380,6.987928,-1.444803,0.047377
0.020000,12.056804,12.551301,0.540558,2.712525,6.957238,-1.534476,0.052333
0.020000,12.113738,12.554430,0.597579,2.851013,6.924379,-1.642970,0.057463
0.020000,12.173406,12.558021,0.657355,2.988806,6.889654,-1.736262,0.062754
0.020000,12.235789,12.562112,0.719872,3.125855,6.852446,-1.860401,0.068189
0.020000,12.300868,12.566739,0.785114,3.262123,6.813439,-1.950321,0.073755
0.020000,12.368620,12.571939,0.853066,3.397568,6.772251,-2.059416,0.079433
0.020000,12.439023,12.577749,0.923709,3.532147,6.728930,-2.166051,0.085207
0.020000,12.512055,12.584203,0.997025,3.665821,6.683720,-2.260491,0.091058
0.020000,12.587691,12.591336,1.072996,3.798547,6.636262,-2.372910,0.096967
0.020000,12.665904,12.599180,1.151602,3.930286,6.586943,-2.465928,0.102915
0.020000,12.746669,12.607766,1.232822,4.060998,6.535639,-2.565201,0.108879
0.020000,12.829958,12.617123,1.316635,4.190648,6.482470,-2.658446,0.114839
0.020000,12.915743,12.627278,1.403019,4.319196,6.427422,-2.752410,0.120773
0.020000,13.003995,12.638254,1.491951,4.446609,6.370621,-2.840080,0.126658
0.020000,13.094685,12.650072,1.583408,4.572850,6.312071,-2.927468,0.132470
0.020000,13.187784,12.662750,1.677365,4.697888,6.251890,-3.009075,0.138184
0.020000,13.283260,12.676303,1.773799,4.821690,6.190085,-3.090245,0.143777
0.020000,13.381085,12.690740,1.872684,4.944225,6.126758,-3.166328,0.149221
0.020000,13.481228,12.706068,1.973993,5.065463,6.061921,-3.241843,0.154491
0.020000,13.583659,12.722288,2.077701,5.185376,5.995626,-3.314782,0.159560
0.020000,13.688349,12.739399,2.183779,5.303933,5.927882,-3.387182,0.164402
0.020000,13.795268,12.757392,2.292201,5.421110,5.858810,-3.453595,0.168987
0.020000,13.904387,12.776255,2.402939,5.536874,5.788216,-3.529727,0.173287
0.020000,14.015678,12.795968,2.515963,5.651199,5.716276,-3.596977,0.177274
0.020000,14.129115,12.816508,2.631244,5.764058,5.642908,-3.668428,0.180917
0.020000,14.244670,12.837845,2.748752,5.875417,5.567993,-3.745734,0.184187
0.020000,14.362318,12.859942,2.868457,5.985248,5.491553,-3.822013,0.187052
0.020000,14.482034,12.882756,2.990328,6.093517,5.413451,-3.905105,0.189481
0.020000,14.603794,12.906236,3.114331,6.200190,5.333631,-3.990993,0.191442
0.020000,14.727576,12.930327,3.240436,6.305229,5.251971,-4.082998,0.192902
0.020000,14.853358,12.954962,3.368608,6.408596,5.168329,-4.182113,0.193826
0.020000,14.980482,12.979946,3.498163,6.477770,3.458695,-85.481691,0.194181
0.020000,15.107129,13.004843,3.627234,6.453553,-1.210868,-233.478128,0.193946
0.020000,15.231513,13.029228,3.753986,6.337596,-5.797852,-229.349227,0.193137
0.020000,15.352945,13.052898,3.877704,6.185879,-7.585833,-89.399007,0.191787
0.020000,15.471373,13.075784,3.998322,6.030928,-7.747532,-8.084995,0.189930
0.020000,15.586836,13.097848,4.115875,5.877617,-7.665537,4.099788,0.187599
0.020000,15.699374,13.119054,4.230393,5.725909,-7.585443,4.004694,0.184826
0.020000,15.809021,13.139378,4.341908,5.575766,-7.507131,3.915583,0.181644
0.020000,15.915813,13.158800,4.450451,5.427158,-7.430395,3.836793,0.178082
0.020000,16.019779,13.177307,4.556053,5.280052,-7.355288,3.755345,0.174173
0.020000,16.120951,13.194892,4.658741,5.134418,-7.281697,3.679549,0.169944
0.020000,16.219355,13.211552,4.758545,4.990228,-7.209531,3.608317,0.165426
0.020000,16.315018,13.227292,4.855494,4.847452,-7.138783,3.537387,0.160647
0.020000,16.407964,13.242117,4.949616,4.706063,-7.069470,3.465691,0.155634
0.020000,16.498217,13.256039,5.040936,4.566032,-7.001559,3.395504,0.150416
0.020000,16.585799,13.269074,5.129483,4.427331,-6.935042,3.325855,0.145020
0.020000,16.670731,13.281240,5.215282,4.289930,-6.870028,3.250719,0.139471
0.020000,16.753032,13.292558,5.298358,4.153801,-6.806457,3.178572,0.133795
0.020000,16.832723,13.303051,5.378736,4.018912,-6.744459,3.099890,0.128017
0.020000,16.909820,13.312748,5.456440,3.885231,-6.684024,3.021723,0.122162
0.020000,16.984342,13.321675,5.531495,3.752726,-6.625262,2.938124,0.116254
0.020000,17.056305,13.329864,5.603922,3.621363,-6.568176,2.854297,0.110315
0.020000,17.125725,13.337346,5.673744,3.491104,-6.512914,2.763094,0.104368
0.020000,17.192617,13.344153,5.740983,3.361916,-6.459412,2.675108,0.098434
0.020000,17.256998,13.350320,5.805658,3.233759,-6.407828,2.579205,0.092535
0.020000,17.318880,13.355882,5.867790,3.106595,-6.358226,2.480099,0.086690
0.020000,17.378279,13.360872,5.927397,2.980385,-6.310510,2.385806,0.080918
0.020000,17.435207,13.365327,5.984499,2.855087,-6.264896,2.280702,0.075239
0.020000,17.489676,13.369281,6.039112,2.730661,-6.221293,2.180124,0.069669
0.020000,17.541701,13.372769,6.091254,2.607065,-6.179820,2.073639,0.064226
